u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
42787407,42787409,0,False,residential,136th Street,51.415,,,,,,,,,,,5699903,
42787409,42787407,0,False,residential,136th Street,51.415,,,,,,,,,,,5699903,
42787409,42829079,0,False,residential,87th Avenue,77.041,,,,,,,,,,,5709404,
42787409,42857821,0,False,residential,87th Avenue,76.538,,,,,,,,,,,5709404,
42788088,42788092,0,True,residential,112th Street,84.4,,,,,,,,,,,5699919,
42788088,42882420,0,False,residential,Park Lane South,274.598,,,,,,,yes,,,,"[220105539, 46769652, 46769651]",
42788088,2547440226,0,False,residential,Park Lane South,248.398,,,,,,,,,,,220105539,
42788092,42788098,0,False,residential,112th Street,110.538,,,,,,,,,,,274869360,
42788092,42912087,0,False,residential,84th Avenue,87.179,,,,,,,,,,,276422700,
42788098,42808772,0,False,residential,85th Avenue,78.276,,,,,,,,,,,5701254,
42788098,42808767,0,False,residential,85th Avenue,106.263,,,,,,,,,,,5701254,
42788098,42788092,0,False,residential,112th Street,110.538,,,,,,,,,,,274869360,
42788098,42788102,0,False,residential,112th Street,62.786,,,,,,,,,,,274869373,
42788102,42899731,0,False,primary,Myrtle Avenue,90.884,,,,,,,,,,,220105537,
42788102,42858006,0,False,primary,Myrtle Avenue,94.223,,,,,,,,,,,220105537,
42788102,42788098,0,False,residential,112th Street,62.786,,,,,,,,,,,274869373,
42804138,42829079,0,True,secondary,Van Wyck Expressway West,335.319,,,,,,,,,,,25734628,
42804138,280638550,0,True,motorway_link,,135.282,,,,,,,,,,,183103739,
42806047,42806048,0,False,residential,84th Road,91.242,,,,,,,,,,,5701073,
42806047,42843025,0,True,residential,Austin Street,96.154,,,,,,,,,,,219610833,
42806048,42806051,0,False,residential,84th Road,49.699,,,,,,,,,,,5701073,
42806048,42806047,0,False,residential,84th Road,91.242,,,,,,,,,,,5701073,
42806048,42890530,0,True,residential,Talbot Street,84.101,,,,,,,,,,,5706349,
42806051,42806048,0,False,residential,84th Road,49.699,,,,,,,,,,,5701073,
42806051,42813233,0,False,residential,Kew Gardens Road,58.838,,,,,,,,,,,219610809,
42806051,42813229,0,False,residential,Kew Gardens Road,127.213,,,,,,,,,,,219610809,
42808767,42788098,0,False,residential,85th Avenue,106.263,,,,,,,,,,,5701254,
42808767,42858006,0,False,primary,Myrtle Avenue,28.394,,,,,,,,,,,220105538,
42808767,42899721,0,False,primary,Myrtle Avenue,58.944,,,,,,,,,,,220105538,
42808772,42808774,0,False,residential,85th Avenue,81.297,,,,,,,,,,,5701254,
42808772,42788098,0,False,residential,85th Avenue,78.276,,,,,,,,,,,5701254,
42808772,42899731,0,False,residential,113th Street,107.811,,,,,,,,,,,5707866,
42808772,42912087,0,False,residential,113th Street,146.882,,,,,,,,,,,5707866,
42808774,42808780,0,False,residential,85th Avenue,78.009,,,,,,,,,,,5701254,
42808774,42808772,0,False,residential,85th Avenue,81.297,,,,,,,,,,,5701254,
42808774,42868635,0,True,residential,114th Street,152.253,,,,,,,,,,,5704942,
42808780,42808787,0,False,residential,85th Avenue,34.48,,,,,,,,,,,5701254,
42808780,42808774,0,False,residential,85th Avenue,78.009,,,,,,,,,,,5701254,
42808780,42830885,0,True,residential,Bessemer Street,122.144,,,,,,,,,,,5708611,
42808787,42808791,0,False,residential,85th Avenue,38.731,,,,,,,,,,,5701254,
42808787,42808780,0,False,residential,85th Avenue,34.48,,,,,,,,,,,5701254,
42808787,42824892,0,True,residential,Babbage Street,80.233,,,,,,,,,,,5702211,
42808791,42808793,0,False,residential,85th Avenue,80.96,,,,,,,,,,,5701254,
42808791,42808787,0,False,residential,85th Avenue,38.731,,,,,,,,,,,5701254,
42808791,42824896,0,False,residential,116th Street,48.52,,,,,,,,,,,5702574,
42808791,42830819,0,False,residential,116th Street,179.972,,,,,,,,,,,5702574,
42808793,42808795,0,False,residential,85th Avenue,79.492,,,,,,,,,,,5701254,
42808793,42808791,0,False,residential,85th Avenue,80.96,,,,,,,,,,,5701254,
42808793,42824899,0,False,residential,117th Street,123.06,,,,,,,,,,,5709229,
42808793,42927777,0,False,residential,117th Street,189.095,,,,,,,,,,,5709229,
42808795,42808798,0,False,residential,85th Avenue,78.964,,,,,,,,,,,5701254,
42808795,42808793,0,False,residential,85th Avenue,79.492,,,,,,,,,,,5701254,
42808795,42891591,0,True,residential,118th Street,188.182,,,,,,,,,,,275008808,
42808798,42808801,0,False,residential,85th Avenue,79.228,,,,,,,,,,,5701254,
42808798,42808795,0,False,residential,85th Avenue,78.964,,,,,,,,,,,5701254,
42808798,42890737,0,False,tertiary,Lefferts Boulevard,187.203,,,,,,,,,,,5706365,
42808798,42890744,0,False,tertiary,Lefferts Boulevard,162.022,,,,,,,,,,,5706365,
42808801,42808798,0,False,residential,85th Avenue,79.228,,,,,,,,,,,5701254,
42808801,42933619,0,False,residential,120th Street,192.698,,,,,,,,,,,5710393,
42808801,42808805,0,False,residential,85th Avenue,103.676,,,,,,,,,,,5701254,
42808805,42808810,0,False,residential,85th Avenue,54.708,,,,,,,,,,,5701254,
42808805,42808801,0,False,residential,85th Avenue,103.676,,,,,,,,,,,5701254,
42808805,42855478,0,False,residential,121st Street,166.954,,,,,,,,,,,5704062,
42808810,42808813,0,False,residential,85th Avenue,79.302,,,,,,,,,,,5701254,
42808810,42808805,0,False,residential,85th Avenue,54.708,,,,,,,,,,,5701254,
42808810,42820413,0,False,residential,122nd Street,163.991,,,,,,,,,,,5701975,
42808810,42820412,0,False,residential,122nd Street,144.953,,,,,,,,,,,5701975,
42808813,42808816,0,False,residential,85th Avenue,78.391,,,,,,,,,,,5701254,
42808813,42808810,0,False,residential,85th Avenue,79.302,,,,,,,,,,,5701254,
42808813,42937567,0,False,residential,123rd Street,164.896,,,,,,,,,,,5710175,
42808813,42843869,0,False,residential,123rd Street,198.578,,,,,,,,,,,5710175,
42808816,42808819,0,False,residential,85th Avenue,116.494,,,,,,,,,,,5701254,
42808816,42808813,0,False,residential,85th Avenue,78.391,,,,,,,,,,,5701254,
42808816,42843874,0,False,residential,124th Street,140.364,,,,,,,,,,,5706153,
42808816,42887400,0,False,residential,124th Street,165.47,,,,,,,,,,,276425724,
42808819,42808825,0,False,residential,85th Avenue,55.758,,,,,,,,,,,5701254,
42808819,42808816,0,False,residential,85th Avenue,116.494,,,,,,,,,,,5701254,
42808819,42837095,0,False,residential,125th Street,168.181,,,,,,,,,,,5702970,
42808819,42837092,0,False,residential,125th Street,41.615,,,,,,,,,,,5702970,
42808825,42808819,0,False,residential,85th Avenue,55.758,,,,,,,,,,,5701254,
