u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
42944578,42946563,0,False,residential,Maple Parkway,93.955,,,,,,,,,,,222788117,
42944578,42944589,0,False,residential,,75.77,,,,,,,,,,,"[5710797, 5710798]",
42944578,42969175,0,False,residential,Maple Parkway,88.641,,,,,,,,,,,222788117,
42944589,42944578,0,False,residential,,75.77,,,,,,,,,,,"[5710797, 5710798]",
42944600,42944603,0,False,residential,,82.781,,,,,,,,,,,5710799,
42944600,42982568,0,False,residential,Netherland Avenue,72.01,,,,,,,,,,,5713490,
42944600,42952105,0,False,residential,Lockman Avenue,143.917,,,,,,,,,,,5713815,
42944603,42944600,0,False,residential,,82.781,,,,,,,,,,,5710799,
42944849,42981037,0,False,residential,Murdock Place,74.644,,,,,,,,,,,5714416,
42944849,447858178,0,True,residential,Willow Road West,59.606,,,,,,,,,,,5711029,
42946563,42946566,0,False,residential,,29.432,,,,,,,,,,,5710936,
42946563,42944578,0,False,residential,Maple Parkway,93.955,,,,,,,,,,,222788117,
42946563,42969165,0,False,residential,Maple Parkway,65.773,,,,,,,,,,,222788117,
42946566,2542126437,0,False,residential,,41.797,,,,,,,,,,,5710936,
42946566,42946563,0,False,residential,,29.432,,,,,,,,,,,5710936,
42946566,42946572,0,False,residential,,41.524,,,,,,,,,,,5710937,
42946572,42946566,0,False,residential,,41.524,,,,,,,,,,,5710937,
42947569,42944849,0,True,residential,Willow Road West,77.224,,,,,,,,,,,5711029,
42947569,42981035,0,False,residential,Bowles Avenue,69.86,,,,,,,,,,,5716232,
42948679,42948681,0,False,residential,Downey Place,131.021,,,,,,,,,,,5711096,
42948679,42982572,0,False,residential,Mersereau Avenue,77.097,,,,,,,,,,,5716031,
42948679,42952112,0,False,residential,Mersereau Avenue,62.955,,,,,,,,,,,5716031,
42948681,42948679,0,False,residential,Downey Place,131.021,,,,,,,,,,,5711096,
42948681,42981281,0,False,residential,Grandview Avenue,76.1,,,,,,,,,,,222788078,
42948681,42952115,0,False,residential,Grandview Avenue,63.073,,,,,,,,,,,222788078,
42952079,42952081,0,False,residential,Continental Place,128.223,,,,,,,,,,,5711344,
42952079,42969158,0,False,residential,Maple Parkway,85.751,,,,,,,,,,,222788117,
42952079,42969155,0,False,residential,Maple Parkway,118.187,,,,,,,,,,,222788117,
42952081,42952087,0,False,residential,Continental Place,108.724,,,,,,,,,,,5711344,
42952081,42952079,0,False,residential,Continental Place,128.223,,,,,,,,,,,5711344,
42952081,43004292,0,False,residential,Union Avenue,84.687,,,,,,,,,,,222788191,
42952081,43004287,0,False,residential,Union Avenue,132.019,,,,,,,,,,,222788191,
42952087,42952095,0,False,residential,Continental Place,90.086,,,,,,,,,,,5711344,
42952087,42952081,0,False,residential,Continental Place,108.724,,,,,,,,,,,5711344,
42952087,43025442,0,False,residential,Gridley Avenue,83.711,,,,,,,,,,,5717485,
42952087,43017437,0,False,residential,Gridley Avenue,147.553,,,,,,,,,,,5717485,
42952095,42952087,0,False,residential,Continental Place,90.086,,,,,,,,,,,5711344,
42952095,42985659,0,False,residential,Harbor Road,26.378,,,,,,,,,,,142744310,
42952095,3656009585,0,False,residential,Harbor Road,81.946,,,,,,,,,,,142744310,
42952105,42952107,0,False,residential,Continental Place,74.115,,,,,,,,,,,5711345,
42952105,42944600,0,False,residential,Lockman Avenue,143.917,,,,,,,,,,,5713815,
42952105,42986490,0,False,residential,Lockman Avenue,158.971,,,,,,,,,,,5713815,
42952107,42952112,0,False,residential,Continental Place,94.813,,,,,,,,,,,5711345,
42952107,42952105,0,False,residential,Continental Place,74.115,,,,,,,,,,,5711345,
42952107,42982568,0,False,residential,Andros Avenue,143.696,,,,,,,,,,,5714512,
42952112,42952115,0,False,residential,Continental Place,130.77,,,,,,,,,,,5711345,
42952112,42952107,0,False,residential,Continental Place,94.813,,,,,,,,,,,5711345,
42952112,42948679,0,False,residential,Mersereau Avenue,62.955,,,,,,,,,,,5716031,
42952115,42952118,0,False,residential,Continental Place,90.998,,,,,,,,,,,5711345,
42952115,42952112,0,False,residential,Continental Place,130.77,,,,,,,,,,,5711345,
42952115,42948681,0,False,residential,Grandview Avenue,63.073,,,,,,,,,,,222788078,
42952115,42981266,0,False,residential,Grandview Avenue,206.933,,,,,,,,,,,222788078,
42952118,42952115,0,False,residential,Continental Place,90.998,,,,,,,,,,,5711345,
42952118,42971125,0,False,tertiary,South Avenue,25.036,,,,,,,,,,,222788182,
42952118,42971120,0,False,tertiary,South Avenue,206.579,,,,,,,,,,,222788182,
42956077,42956079,0,False,residential,Orinoco Place,21.94,,,,,,,,,,,5711590,
42956079,42956087,0,False,residential,Orinoco Place,76.63,,,,,,,,,,,5711590,
42956079,42956077,0,False,residential,Orinoco Place,21.94,,,,,,,,,,,5711590,
42956079,1563342077,0,False,residential,Erastina Place,209.082,,,,,,,,,,,5714861,
42956087,42956079,0,False,residential,Orinoco Place,76.63,,,,,,,,,,,5711590,
42956087,43025863,0,False,residential,De Hart Avenue,89.313,,,,,,,,,,,5717560,
42956087,43014545,0,False,residential,De Hart Avenue,391.638,,,,,,,yes,,,,"[5717560, 142867021, 142867022]",
42958175,42958177,0,False,residential,Bush Avenue,110.807,,,,,,,,,,,5711712,
42958175,42985635,0,False,secondary,Richmond Terrace,92.976,,,,,,,,,,,5717453,
42958175,42974526,0,False,secondary,Richmond Terrace,34.281,,,,,,,,,,,5717453,
42958177,42958180,0,False,residential,Bush Avenue,135.08,,,,,,,,,,,5711712,
42958177,42958175,0,False,residential,Bush Avenue,110.807,,,,,,,,,,,5711712,
42958177,3659229832,0,False,residential,Sylvan Place,17.956,,,,,,,,,,,5716288,
42958180,42958184,0,False,residential,Bush Avenue,69.537,,,,,,,,,,,5711712,
42958180,42958177,0,False,residential,Bush Avenue,135.08,,,,,,,,,,,5711712,
42958180,3659229831,0,False,residential,Forest Court,17.08,,,,,,,,,,,5711803,
42958184,42958180,0,False,residential,Bush Avenue,69.537,,,,,,,,,,,5711712,
42958230,42958232,0,False,residential,Giordan Court,54.473,,,,,,,,,,,5711715,
42958230,43013470,0,False,secondary,Richmond Terrace,97.385,,,,,,,,,,,5717453,
42958230,42990326,0,False,secondary,Richmond Terrace,64.263,,,,,,,,,,,5717453,
42958232,42958230,0,False,residential,Giordan Court,54.473,,,,,,,,,,,5711715,
42958287,43006853,0,False,secondary,Richmond Terrace,88.084,,,,,,,,,,,5717453,
42958287,42967105,0,False,secondary,Richmond Terrace,24.634,,,,,,,,,,,5717453,
42958301,42958303,0,False,residential,Lake Avenue,83.858,,,,,,,,,,,142867025,
42958303,43017930,0,True,residential,Wenlock Street,101.113,,,,,,,,,,,5716567,
42958303,42958305,0,False,residential,Lake Avenue,76.912,,,,,,,,,,,142867025,
42958303,42958301,0,False,residential,Lake Avenue,83.858,,,,,,,,,,,142867025,
42958303,43006865,0,False,residential,Wenlock Street,83.554,,,,,,,,,,,570004402,
42958305,42982733,0,False,residential,Westbrook Avenue,97.022,,,,,,,,,,,5713501,
42958305,42958306,0,False,residential,Lake Avenue,117.101,,,,,,,,,,,142867025,
42958305,42958303,0,False,residential,Lake Avenue,76.912,,,,,,,,,,,142867025,
42958306,42958305,0,False,residential,Lake Avenue,117.101,,,,,,,,,,,142867025,
42958306,43000419,0,False,secondary,Forest Avenue,10.365,,,,,,,,,,,222788064,
42958306,42980978,0,False,secondary,Forest Avenue,66.311,,,,,,,,,,,222788064,
42959179,42982555,0,False,residential,Van Name Avenue,74.907,,,,,,,,,,,142867033,
42959179,42959183,0,False,residential,Avalon Court,65.372,,,,,,,,,,,5711789,
42959179,42990380,0,False,residential,Van Name Avenue,226.156,,,,,,,,,,,142867033,
42959183,42959179,0,False,residential,Avalon Court,65.372,,,,,,,,,,,5711789,
42959370,3659229831,0,False,residential,Forest Court,84.03,,,,,,,,,,,5711803,
42959370,43004238,0,False,residential,Union Avenue,135.898,,,,,,,,,,,5715020,
42959370,42997249,0,False,residential,Union Avenue,201.039,,,,,,,yes,,,,"[142867032, 5715020, 142867031]",
42960615,42960618,0,False,residential,Davidson Court,44.479,,,,,,,,,,,5711901,
42960615,43014059,0,False,residential,Davidson Street,49.97,,,,,,,,,,,5717369,
42960615,42998669,0,False,residential,Davidson Street,48.538,,,,,,,,,,,5717369,
42960618,42960615,0,False,residential,Davidson Court,44.479,,,,,,,,,,,5711901,
42962118,42962119,0,False,residential,Richmond Court,27.414,,,,,,,,,,,5712018,
42962119,42962124,0,False,residential,Richmond Court,13.178,,,,,,,,,,,5712018,
42962119,42962118,0,False,residential,Richmond Court,27.414,,,,,,,,,,,5712018,
42962119,42962136,0,False,residential,Richmond Court,39.832,,,,,,,,,,,5712020,
42962124,42962127,0,False,residential,Richmond Court,40.022,,,,,,,,,,,5712018,
42962124,42962119,0,False,residential,Richmond Court,13.178,,,,,,,,,,,5712018,
42962124,42962132,0,False,residential,Richmond Court,23.167,,,,,,,,,,,5712019,
42962127,42962124,0,False,residential,Richmond Court,40.022,,,,,,,,,,,5712018,
42962127,42981210,0,False,residential,Grandview Avenue,26.356,,,,,,,,,,,5713354,
42962127,42981220,0,False,residential,Grandview Avenue,262.482,,,,,,,,,,,5713354,
42962132,42962124,0,False,residential,Richmond Court,23.167,,,,,,,,,,,5712019,
42962136,42962119,0,False,residential,Richmond Court,39.832,,,,,,,,,,,5712020,
42962136,42971108,0,False,secondary,Richmond Terrace,72.912,,,,,,,,,,,5717453,
42962136,42981210,0,False,secondary,Richmond Terrace,48.061,,,,,,,,,,,5717453,
42965483,42967105,0,False,secondary,Richmond Terrace,48.242,,,,,,,,,,,5717453,
42965483,43010961,0,False,secondary,Richmond Terrace,86.235,,,,,,,,,,,5717453,
42965483,43002319,0,False,residential,"['Houseman Avenue', 'Wright Avenue']",576.054,,,,,,,,,,,"[5712282, 276428771]",
42965821,43013470,0,False,residential,Van Pelt Avenue,110.56,,,,,,,,,,,5715945,
42965821,42965823,0,False,residential,Laguna Lane,156.855,,,,,,,,,,,5712306,
42965821,42967151,0,False,residential,Van Pelt Avenue,228.294,,,,,,,yes,,,,"[5715945, 142867035, 142867036]",
42965823,42965828,0,False,residential,Laguna Lane,51.007,,,,,,,,,,,5712306,
42965823,42990333,0,False,residential,Van Name Avenue,58.368,,,,,,,,,,,5714012,
42965823,42965821,0,False,residential,Laguna Lane,156.855,,,,,,,,,,,5712306,
42965823,42990326,0,False,residential,Van Name Avenue,132.181,,,,,,,,,,,5714012,
42965828,42965823,0,False,residential,Laguna Lane,51.007,,,,,,,,,,,5712306,
42965828,42990333,0,False,residential,Mariners Lane,107.074,,,,,,,,,,,5714356,
42965828,42996152,0,False,residential,Mariners Lane,147.506,,,,,,,,,,,5714356,
42966402,42966405,0,False,residential,Breezy Court,59.498,,,,,,,,,,,5712341,
42966402,42979795,0,False,residential,Harbor Road,28.145,,,,,,,,,,,142744310,
42966405,42966402,0,False,residential,Breezy Court,59.498,,,,,,,,,,,5712341,
42966765,43002305,0,False,residential,La Salle Street,27.375,,,,,,,,,,,5714813,
42966765,42972755,0,False,tertiary,Morningstar Road,100.999,,,,,,,yes,,,,"[142867027, 5712756, 142867028]",
42966765,42972745,0,False,tertiary,Morningstar Road,285.063,,,,,,,,,,,5712756,
42967005,42981210,0,False,secondary,Richmond Terrace,60.917,,,,,,,,,,,5717453,
42967005,43014042,0,False,secondary,Richmond Terrace,98.99,,,,,,,,,,,5717453,
42967005,42967011,0,False,residential,Post Lane,253.135,,,,,,,,,,,5712392,
42967011,42981220,0,False,residential,Cowen Place,41.537,,,,,,,,,,,5716150,
42967011,43015068,0,False,residential,Cowen Place,33.415,,,,,,,,,,,5716150,
42967011,42967005,0,False,residential,Post Lane,253.135,,,,,,,,,,,5712392,
42967105,42958287,0,False,secondary,Richmond Terrace,24.634,,,,,,,,,,,5717453,
42967105,42965483,0,False,secondary,Richmond Terrace,48.242,,,,,,,,,,,5717453,
42967105,42967111,0,False,residential,Emeric Court,50.956,,,,,,,,,,,5712398,
42967111,42967105,0,False,residential,Emeric Court,50.956,,,,,,,,,,,5712398,
42967146,42967151,0,False,residential,Heusden Street,146.07,,,,,,,,,,,5712402,
42967146,42990354,0,False,residential,Van Name Avenue,139.263,,,,,,,,,,,142867033,
42967146,3656061312,0,False,residential,Van Name Avenue,54.76,,,,,,,yes,,,,"[142867033, 142867034, 5714012]",
42967151,42967146,0,False,residential,Heusden Street,146.07,,,,,,,,,,,5712402,
42967151,42987074,0,False,residential,Van Pelt Avenue,187.003,,,,,,,,,,,222788195,
42967151,42969151,0,False,residential,"['Linden Avenue', 'Maple Parkway']",241.602,,,,,,,,,,,"[5715378, 5712500]",
42967151,42965821,0,False,residential,Van Pelt Avenue,228.294,,,,,,,yes,,,,"[5715945, 142867035, 142867036]",
42969151,43014545,0,False,residential,Walloon Street,57.759,,,,,,,,,,,5716087,
42969151,42969155,0,False,residential,Maple Parkway,125.302,,,,,,,,,,,5712500,
42969151,42967151,0,False,residential,"['Linden Avenue', 'Maple Parkway']",241.602,,,,,,,,,,,"[5715378, 5712500]",
42969155,43010592,0,True,residential,De Ruyter Place,99.006,,,,,,,,,,,5715643,
42969155,42969151,0,False,residential,Maple Parkway,125.302,,,,,,,,,,,5712500,
42969155,42952079,0,False,residential,Maple Parkway,118.187,,,,,,,,,,,222788117,
42969158,43004292,0,False,residential,Confederation Place,120.089,,,,,,,,,,,5717406,
42969158,42969162,0,False,residential,Maple Parkway,83.983,,,,,,,,,,,222788117,
42969158,42952079,0,False,residential,Maple Parkway,85.751,,,,,,,,,,,222788117,
42969162,42969165,0,False,residential,Maple Parkway,55.938,,,,,,,,,,,222788117,
42969162,42969158,0,False,residential,Maple Parkway,83.983,,,,,,,,,,,222788117,
42969162,42982549,0,False,residential,Netherland Avenue,92.082,,,,,,,,,,,276428870,
42969162,2810212575,0,False,residential,Netherland Avenue,80.361,,,,,,,,,,,276428870,
42969165,42982298,0,False,residential,Spirit Lane,115.071,,,,,,,,,,,5713472,
