osmid,x,y,ref,highway
42945838,-74.2322781,40.5247344,,
42945952,-74.2288964,40.5256673,,motorway_junction
42947172,-74.2324326,40.5247409,,
42947180,-74.2337565,40.5253468,1,motorway_junction
42948346,-74.2390753,40.5175083,,
42948348,-74.239948,40.517253,,
42948350,-74.240808,40.516908,,
42953158,-74.2392396,40.5165179,,
42953163,-74.238704,40.515992,,
42953164,-74.238106,40.515416,,
42953168,-74.236668,40.513875,,
42954243,-74.228838,40.52136,,
42954246,-74.229706,40.521188,,
42954250,-74.230472,40.521044,,
42959561,-74.235638,40.514388,,
42959564,-74.235143,40.512914,,
42959567,-74.23491,40.512239,,
42959571,-74.234825,40.511972,,
42959623,-74.2341513,40.5138549,,
42959842,-74.237885,40.517265,,
42959848,-74.237191,40.516848,,
42959854,-74.236371,40.516346,,
42959859,-74.234571,40.515052,,
42961413,-74.2330646,40.5121232,,
42961415,-74.2328856,40.5115635,,
42961418,-74.232714,40.5110271,,
42963626,-74.2313913,40.511605,,
42963628,-74.230577,40.5117931,,
42968253,-74.2399827,40.5161037,,
42968257,-74.239465,40.515548,,
42970853,-74.231467,40.511821,,
42971237,-74.240543,40.517701,,traffic_signals
42972694,-74.236003,40.512744,,
42973525,-74.2406926,40.5156322,,
42973527,-74.240634,40.5155739,,
42973532,-74.240248,40.515121,,
42973538,-74.239654,40.514521,,
42973542,-74.238172,40.512982,,
42974281,-74.23601,40.514203,,
42974283,-74.237464,40.515736,,
42977256,-74.2325964,40.5158391,,
42978537,-74.241027,40.514668,,
42978538,-74.241755,40.514069,,
42983668,-74.240238,40.51873,,
42983670,-74.2395718,40.5182876,,
42983675,-74.2389539,40.5179201,,
42984132,-74.238952,40.514965,,
42984135,-74.239788,40.514476,,
42984795,-74.2315823,40.5175385,,
42985764,-74.2304239,40.5246498,,
42987232,-74.229299,40.519984,,
42987234,-74.229514,40.520588,,
42987237,-74.229547,40.520689,,
42987245,-74.229691,40.52362,,
42987248,-74.2295058,40.5245256,,
42987989,-74.2384851,40.5169378,,
42991500,-74.2268165,40.5191927,,
42991518,-74.2294605,40.5191003,,
42991567,-74.232304,40.516851,,
42991570,-74.2328079,40.5163584,,traffic_signals
42991575,-74.23736,40.513514,,
42991579,-74.237462,40.513466,,
42993485,-74.23038,40.520423,,
42994735,-74.23392,40.520703,,
42994737,-74.2334025,40.524767,,
42996121,-74.232528,40.515541,,
42996133,-74.233036,40.515301,,
42997309,-74.228778,40.521225,,
42997358,-74.22879,40.523409,,
42997373,-74.228647,40.523736,,
42999211,-74.2309046,40.5125519,,
42999213,-74.231646,40.5124005,,
43000435,-74.241275,40.51484,,
43000862,-74.230868,40.520627,,
43000925,-74.235112,40.520917,,traffic_signals
43000929,-74.2394451,40.5212846,,traffic_signals
43001097,-74.2348281,40.5238375,,
43001119,-74.2392648,40.5250149,,
43004335,-74.236833,40.512036,,
43004353,-74.235895,40.512064,,
43005856,-74.2435262,40.5157644,,
43012512,-74.2280346,40.520261,,
43013796,-74.236865,40.512122,,
43014427,-74.228015,40.520977,,
43018124,-74.235748,40.511642,,
43020192,-74.2321348,40.5123479,,
43020763,-74.236353,40.510616,,
43027901,-74.233543,40.51808,,
60650604,-74.2307332,40.5255629,,
447832071,-74.2348788,40.5248975,,
447832593,-74.2345269,40.5246104,,
447832820,-74.2344582,40.5245452,,
447832826,-74.2334133,40.5246823,,
447832827,-74.2322787,40.5246403,,
447832829,-74.2304338,40.5245558,,
447832833,-74.2348187,40.5240819,,
447839968,-74.2268536,40.5243103,,
3005414868,-74.2324226,40.5246466,,
3224006712,-74.2402291,40.5178963,,
3566540124,-74.2310794,40.5174222,,
3566540125,-74.2313149,40.5178626,,
4341468763,-74.2295442,40.5194277,,
4341468777,-74.2295936,40.519654,,
5448975144,-74.2405173,40.5156688,,
5448975145,-74.2401495,40.515968,,
