osmid,x,y,ref,highway
42787429,-73.822734,40.58516,,
42787431,-73.822068,40.585407,,
42804084,-73.8289871,40.5801712,,
42806019,-73.8402057,40.5763249,,
42806042,-73.8443295,40.5749291,,
42807319,-73.8372609,40.5797932,,traffic_signals
42807329,-73.8382757,40.5817767,,traffic_signals
42808131,-73.829954,40.580062,,
42808133,-73.829535,40.580192,,
42810848,-73.8298728,40.5818845,,
42810851,-73.829673,40.5814934,,
42810860,-73.8294168,40.5810186,,
42815050,-73.8241646,40.5842264,,
42819174,-73.823239,40.5859389,,traffic_signals
42819175,-73.822867,40.585368,,
42819180,-73.822626,40.584989,,
42819182,-73.8224672,40.5847277,,
42819192,-73.821729,40.583563,,
42819194,-73.821475,40.583156,,
42819198,-73.820955,40.5823372,,
42827169,-73.8455172,40.5769807,,
42827172,-73.8465176,40.5786986,,
42827177,-73.8475811,40.5805654,,
42827182,-73.8483072,40.5818514,,
42828148,-73.8451514,40.5745817,,
42828151,-73.8460171,40.5742902,,
42828955,-73.8399168,40.5809199,,
42828959,-73.8407418,40.5806439,,
42828963,-73.8415658,40.5803648,,
42828970,-73.8423857,40.5800925,,
42828974,-73.8432005,40.5798186,,
42828981,-73.844034,40.5795404,,
42828985,-73.8448566,40.5792632,,
42828990,-73.8456829,40.5789817,,
42828994,-73.8473794,40.5784083,,
42828997,-73.8482329,40.5781367,,
42832280,-73.8389423,40.5792599,,
42832285,-73.8403307,40.5817056,,
42832319,-73.832901,40.5810313,,
42841259,-73.8251354,40.5812447,,
42841263,-73.8260915,40.5830647,,traffic_signals
42841270,-73.8263761,40.5836258,,
42844649,-73.8255574,40.5838427,,
42844654,-73.8233078,40.5844614,,traffic_signals
42844662,-73.8217791,40.5849558,,
42847149,-73.8194101,40.582774,,
42847151,-73.8202598,40.5825263,,
42847155,-73.8218583,40.5821274,,traffic_signals
42847160,-73.8236338,40.5816795,,
42851068,-73.8337232,40.5807899,,
42851795,-73.8414222,40.5784397,,
42851798,-73.8405974,40.5787071,,
42852307,-73.821109,40.583857,,
42852311,-73.820339,40.584221,,
42852581,-73.8471828,40.5763349,,
42852585,-73.8463606,40.5766808,,
42852590,-73.8446873,40.5773093,,traffic_signals
42852593,-73.8438862,40.5776006,,
42852595,-73.8430659,40.5778765,,
42852599,-73.842254,40.578157,,traffic_signals
42852609,-73.8397776,40.5789746,,
42852616,-73.8381296,40.5795312,,
42852618,-73.8362734,40.5800831,,
42852620,-73.8354312,40.5803105,,
42852621,-73.8345797,40.5805535,,
42852626,-73.832042,40.5812507,,
42852631,-73.8307687,40.581616,,
42852635,-73.8302115,40.5817813,,
42852639,-73.8276828,40.5826019,,
42852646,-73.823064,40.5839324,,traffic_signals
42860124,-73.821871,40.582994,,
42876552,-73.8305785,40.5812427,,
42879404,-73.8467421,40.5808542,,
42879406,-73.8473383,40.5818722,,
42883544,-73.8262102,40.5850706,,traffic_signals
42883579,-73.841289,40.5816594,,
