osmid,x,y,ref,highway
42943622,-74.2087808,40.5436772,,
42943625,-74.209077,40.5442783,,
42943628,-74.209885,40.54643,,
42943633,-74.210495,40.548052,,
42943640,-74.210527,40.548142,,
42943643,-74.210782,40.548786,,
42943648,-74.211025,40.549397,,
42943652,-74.211073,40.549523,,
42943655,-74.211268,40.54997,,
42943656,-74.211426,40.550374,,
42943660,-74.211474,40.550543,,
42943663,-74.211693,40.551132,,
42943666,-74.21201,40.551959,,
42943669,-74.212241,40.552516,,
42943672,-74.212287,40.552687,,
42943675,-74.2125303,40.553272,,
42943681,-74.2125646,40.5533502,,
42943687,-74.2129287,40.5542523,,
42943697,-74.2133063,40.5551913,,
42943699,-74.213502,40.555668,,
42944923,-74.2090239,40.5567083,,
42946607,-74.2197779,40.5503263,,
42948272,-74.220359,40.547835,,
42948274,-74.217375,40.548481,,
42948275,-74.216445,40.548702,,
42948479,-74.204238,40.543993,,
42948572,-74.204579,40.542517,,
42948574,-74.20471,40.542863,,
42948579,-74.205098,40.543791,,
42948583,-74.205634,40.542663,,
42948660,-74.2184251,40.5429475,,
42948672,-74.2201588,40.5418061,,
42949487,-74.230516,40.545456,,
42950099,-74.20291,40.554945,,
42950105,-74.2023319,40.5537447,,
42950113,-74.202628,40.554343,,
42950495,-74.219461,40.547268,,
42950512,-74.2190926,40.5466039,,
42952266,-74.2031227,40.5442872,,
42952269,-74.2027251,40.5435074,,
42952506,-74.200544,40.545247,,
42952509,-74.199629,40.545452,,
42952516,-74.198605,40.54568,,
42952798,-74.219871,40.541869,,
42953575,-74.217209,40.554715,,
42955095,-74.2013861,40.5471089,,
42955099,-74.2021706,40.5467092,,
42955106,-74.20324,40.546406,,
42955114,-74.2033788,40.5450072,,
42955117,-74.2024,40.5452243,,
42956897,-74.2184489,40.5467463,,
42956901,-74.218596,40.547123,,
42957119,-74.211137,40.5446436,,
42957120,-74.211763,40.54621,,
42957124,-74.212339,40.547686,,
42957129,-74.212561,40.54826,,
42957969,-74.2082938,40.5568934,,
42957995,-74.214053,40.5548066,,
42958001,-74.2185202,40.5516356,,
42958006,-74.2208251,40.5490611,,
42958022,-74.210129,40.553177,,
42958235,-74.2153174,40.5457957,,
42959402,-74.200099,40.544294,,
42960355,-74.2166,40.54647,,
42960356,-74.215584,40.546704,,
42960363,-74.215511,40.5465024,,
42960365,-74.215816,40.547347,,
42960367,-74.215923,40.547639,,
42960371,-74.216843,40.547135,,
42960585,-74.211927,40.54919,,
42961097,-74.21554,40.546373,,
42961222,-74.2180177,40.541829,,
42961223,-74.215029,40.542103,,
42961229,-74.212323,40.542519,,
42962061,-74.213788,40.548041,,
42962081,-74.214538,40.547691,,
42962097,-74.2012999,40.5477631,,
42962098,-74.2007185,40.5479085,,
42962099,-74.19985,40.548132,,
42962713,-74.214689,40.550575,,
42962718,-74.213495,40.551122,,
42962758,-74.212559,40.55107,,
42962771,-74.210168,40.551461,,
42962775,-74.209517,40.551603,,
42964121,-74.21223,40.549742,,
42964151,-74.214338,40.549135,,
42964156,-74.21463,40.549908,,
42970666,-74.208023,40.544605,,
42970671,-74.2088199,40.5466602,,
42970674,-74.209505,40.54826,,
42972699,-74.2173833,40.5511611,,
42973691,-74.21399,40.552045,,
42973694,-74.2138015,40.5516113,,
42974092,-74.215305,40.542871,,
42974099,-74.215565,40.543606,,
42974117,-74.215807,40.544297,,
42974120,-74.216055,40.54498,,
42974125,-74.216308,40.545672,,
42974140,-74.217097,40.547796,,
42974144,-74.21765,40.549159,,
42974150,-74.217914,40.549837,,
42974422,-74.219222,40.548788,,
42974426,-74.216125,40.549505,,
42974442,-74.215728,40.549407,,
42974506,-74.214595,40.54981,,
42976126,-74.208271,40.548527,,
42976811,-74.2009932,40.5462637,,
42976813,-74.200091,40.546477,,
42976817,-74.1991076,40.5467161,,
42977142,-74.2181747,40.54225,,
42977144,-74.211969,40.543292,,
42977152,-74.206465,40.544109,,
42977950,-74.202162,40.55336,,
42979447,-74.200404,40.544935,,
42979451,-74.200703,40.545598,,
42979454,-74.2014256,40.5472142,,
42980880,-74.214372,40.555588,,
42981366,-74.218737,40.543668,,
42981371,-74.214262,40.544487,,
42982071,-74.2208948,40.549231,,
42982073,-74.2216158,40.5490615,,
42983083,-74.228764,40.546675,,
42983085,-74.228428,40.546167,,
42983946,-74.2018658,40.5527124,,
42985455,-74.198409,40.545307,,
42990551,-74.211952,40.543971,,
42993571,-74.2122042,40.5447271,,
42993576,-74.212733,40.546095,,
42995130,-74.209873,40.550731,,
42996951,-74.2187791,40.5466733,,
42996955,-74.218925,40.547072,,
42998502,-74.217982,40.547255,,
42998516,-74.217435,40.545816,,
43000196,-74.212362,40.550337,,
43000211,-74.211597,40.54861,,
