u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
42943531,4913659400,0,False,secondary,Richmond Road,61.426,4,,,30 mph,,,,,,,183103319,
42943531,42989402,0,False,secondary,Richmond Road,90.016,4,,,30 mph,,,,,,,183103319,
42948050,3643159098,0,False,tertiary,Todt Hill Road,2.667,,,,25 mph,,,,,,,68665048,
42948050,42974944,0,False,tertiary,Todt Hill Road,98.199,,,,25 mph,,,,,,,68665048,
42948050,42948052,0,False,residential,Circle Road,136.589,,,,,,,,,,,5711047,
42948052,42948054,0,False,residential,Circle Road,122.186,,,,,,,,,,,5711047,
42948052,42964848,0,False,residential,Buttonwood Road,126.39,,,,,,,,,,,42675966,
42948052,533656365,0,False,residential,Buttonwood Road,146.027,,,,,,,,,,,42675966,
42948052,42948050,0,False,residential,Circle Road,136.589,,,,,,,,,,,5711047,
42948054,42948052,0,False,residential,Circle Road,122.186,,,,,,,,,,,5711047,
42948054,42968220,0,False,residential,Benedict Road,130.791,,,,,,,,,,,5712435,
42948054,42968216,0,False,residential,Benedict Road,245.14,,,,,,,,,,,5712435,
42948054,3567183128,0,False,residential,Circle Road,234.459,,,,,,,,,,,5711047,
42948076,42968216,0,False,residential,Willow Pond Road,166.666,,,,,,,,,,,5712586,
42948076,42966393,0,False,residential,Westminster Court,50.862,,,,,,,,,,,5713413,
42948076,3567183128,0,False,residential,Circle Road,160.611,,,,,,,,,,,5711047,
42949018,42990615,0,False,residential,Ridge Avenue,66.882,,,,,,,,,,,5716629,
42949504,42968754,0,False,residential,Rome Avenue,76.319,2,,,,,,,,,,5714018,
42949504,42979466,0,False,residential,Rome Avenue,82.865,2,,,,,,,,,,5714018,
42949504,42949506,0,False,residential,Upton Street,141.53,,,,,,,,,,,5711154,
42949506,42949509,0,False,residential,Upton Street,192.507,,,,,,,,,,,5711154,
42949506,42968755,0,False,residential,Sparkill Avenue,76.531,,,,,,,,,,,5714030,
42949506,42979468,0,False,residential,Sparkill Avenue,74.788,,,,,,,,,,,5714030,
42949506,42949504,0,False,residential,Upton Street,141.53,,,,,,,,,,,5711154,
42949509,42949506,0,False,residential,Upton Street,192.507,,,,,,,,,,,5711154,
42949514,42949516,0,False,residential,Upton Street,117.792,,,,,,,,,,,5711156,
42949516,42949514,0,False,residential,Upton Street,117.792,,,,,,,,,,,5711156,
42949516,42968758,0,False,residential,Vista Avenue,83.332,,,,,,,,,,,5713783,
42949516,42955340,0,False,residential,Vista Avenue,71.633,,,,,,,,,,,5713783,
42950043,42950045,0,False,residential,Fairview Place,110.612,,,,,,,,,,,5711190,
42950043,42968239,0,False,residential,Four Corners Road,65.58,,,,,,,,,,,5717394,
42950043,42984790,0,False,residential,Four Corners Road,56.187,,,,,,,,,,,5717394,
42950045,42950048,0,False,residential,Fairview Place,159.643,,,,,,,,,,,5711190,
42950045,42950048,1,False,residential,Cromwell Circle,319.214,,,,,,,,,,,5714469,
42950045,42950043,0,False,residential,Fairview Place,110.612,,,,,,,,,,,5711190,
42950048,42950050,0,False,residential,Fairview Place,85.171,,,,,,,,,,,5711190,
42950048,42950045,0,False,residential,Fairview Place,159.643,,,,,,,,,,,5711190,
42950048,42950045,1,False,residential,Cromwell Circle,319.214,,,,,,,,,,,5714469,
42950050,42950048,0,False,residential,Fairview Place,85.171,,,,,,,,,,,5711190,
42950050,42964181,0,False,tertiary,Todt Hill Road,317.597,,,,25 mph,,,,,,,68665048,
42950050,42993090,0,False,tertiary,Todt Hill Road,208.27,,,,25 mph,,,,,,,68665048,
42950619,42964532,0,False,residential,Elmhurst Avenue,79.318,2,,,,,,,,,,5712205,
42950619,42950645,0,False,residential,Wooddale Avenue,126.28,2,,,,,,,,,,5711232,
42950645,42950619,0,False,residential,Wooddale Avenue,126.28,2,,,,,,,,,,5711232,
42950670,42988056,0,False,residential,Ridge Avenue,83.741,,,,,,,,,,,5716629,
42950670,42986055,0,False,residential,Ridge Avenue,160.013,,,,,,,,,,,5716629,
42950670,42951225,0,False,residential,"['Wooddale Avenue', 'Oakdale Avenue']",172.279,,,,,,,,,,,"[574791114, 5717692]",
42950680,42981913,0,False,residential,Hillview Place,70.296,,,,,,,,,,,5713936,
42950680,42982485,0,False,residential,Hillview Lane,46.049,,,,,,,,,,,5714254,
42950680,42971037,0,False,residential,Old Farmers Lane,269.458,,,,,,,,,,,34626875,
42950901,42984790,0,False,residential,Northentry Road,58.144,,,,,,,,,,,5713670,
42950901,42981294,0,False,residential,Northentry Road,97.653,,,,,,,,,,,5713670,
42950901,43023394,0,False,residential,"['Coventry Road', 'Julieann Court']",210.279,,,,,,,,,,,"[5717144, 5711245]",
42950901,42977856,0,False,residential,"['Coventry Road', 'Romer Road']",151.466,,,,,,,,,,,"[5713145, 5711245]",
42950921,43011357,0,False,residential,Copperflagg Lane,94.417,,,,,,,,,,,5716546,
42950921,43011357,1,False,residential,"['Coventry Road', 'Flagg Court']",324.712,,,,,,,,,,,"[42676530, 5715733]",
42950921,42950923,0,False,residential,Coventry Road,64.627,,,,,,,,,,,42676530,
42950923,533665624,0,False,residential,Copperleaf Terrace,141.914,,,,,,,,,,,42676387,
42950923,42950926,0,False,residential,Coventry Road,72.96,,,,,,,,,,,42676530,
42950923,42950921,0,False,residential,Coventry Road,64.627,,,,,,,,,,,42676530,
42950926,42950923,0,False,residential,Coventry Road,72.96,,,,,,,,,,,42676530,
42950926,42972729,0,False,tertiary,Todt Hill Road,93.704,,,,25 mph,,,,,,,68665048,
42950926,42964181,0,False,tertiary,Todt Hill Road,138.582,,,,25 mph,,,,,,,68665048,
42951219,42951225,0,False,residential,Alderwood Place,118.835,,,,,,,,,,,5711262,
42951219,409274724,0,False,residential,Greenport Street,121.787,,,,,,,,,,,5711552,
42951219,42955340,0,False,residential,Greenport Street,95.556,,,,,,,,,,,5711552,
42951225,42951219,0,False,residential,Alderwood Place,118.835,,,,,,,,,,,5711262,
42951225,42968758,0,False,residential,Oakdale Avenue,78.741,,,,,,,,,,,5717692,
42951225,42950670,0,False,residential,"['Wooddale Avenue', 'Oakdale Avenue']",172.279,,,,,,,,,,,"[574791114, 5717692]",
42951786,42951788,0,False,residential,Flagg Place,150.204,,,,,,,,,,,5711322,
42951786,42993099,0,False,tertiary,Todt Hill Road,444.081,,,,25 mph,,,,,,,68665048,
42951788,42951794,0,False,residential,Flagg Place,423.359,,,,,,,,,,,5711322,
42951788,42951786,0,False,residential,Flagg Place,150.204,,,,,,,,,,,5711322,
42951788,42972724,0,False,residential,Iron Mine Drive,324.094,,,,,,,,,,,5717553,
42951794,42958538,0,False,residential,Iron Mine Drive,15.487,,,,,,,,,,,5717553,
42951794,42951798,0,False,residential,Flagg Place,302.173,,,,,,,,,,,5711322,
42951794,42951788,0,False,residential,Flagg Place,423.359,,,,,,,,,,,5711322,
42951798,42951803,0,False,residential,Flagg Place,258.387,,,,,,,,,,,5711322,
42951798,42951794,0,False,residential,Flagg Place,302.173,,,,,,,,,,,5711322,
42951798,42958525,0,False,residential,Westentry Road,164.181,,,,,,,,,,,5711750,
42951803,42991194,0,False,residential,Eastentry Road,35.997,,,,,,,,,,,5717011,
42951803,42951807,0,False,residential,Flagg Place,250.036,,,,,,,,,,,5711322,
42951803,42951798,0,False,residential,Flagg Place,258.387,,,,,,,,,,,5711322,
42951807,4913659397,0,False,residential,Four Corners Road,3.375,,,,,,,,,,,5717394,
