u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
42731925,42731929,0,False,residential,Birchall Avenue,114.378,,,,,,,,,,,5696387,
42731929,42731932,0,False,residential,Birchall Avenue,113.114,,,,,,,,,,,5696387,
42731929,42731925,0,False,residential,Birchall Avenue,114.378,,,,,,,,,,,5696387,
42731929,42734248,0,False,residential,Sagamore Street,44.574,,,,,,,,,,,5699053,
42731929,42739938,0,False,residential,"['Unionport Road', 'Sagamore Street']",279.709,,,,,,,,,,,"[284842656, 5699053]",
42731932,42731929,0,False,residential,Birchall Avenue,113.114,,,,,,,,,,,5696387,
42731932,42769018,0,False,secondary,White Plains Road,123.43,,,,,,,,,,,223940533,
42734239,42756707,0,False,secondary,Morris Park Avenue,77.744,,,,,,,,,,,552161490,
42734239,42739948,0,False,secondary,Morris Park Avenue,23.236,,,,,,,,,,,552161490,
42734239,42739923,0,False,residential,Unionport Road,199.87,,,,,,,,,,,294187360,
42734239,5334639189,0,True,residential,Amethyst Street,247.764,,,,,,,,,,,552540590,
42734241,5334639189,0,True,residential,Rhinelander Avenue,10.149,,,,,,,,,,,5698229,
42734241,42761375,0,False,residential,Rhinelander Avenue,58.281,,,,,,,,,,,275060864,
42734241,42734248,0,False,residential,Amethyst Street,205.511,,,,,,,,,,,5696564,
42734248,42769018,0,False,residential,Sagamore Street,38.468,,,,,,,,,,,5699053,
42734248,42731929,0,False,residential,Sagamore Street,44.574,,,,,,,,,,,5699053,
42734248,42734241,0,False,residential,Amethyst Street,205.511,,,,,,,,,,,5696564,
42739854,42749891,0,True,residential,Van Nest Avenue,75.651,,,,,,,,,,,5698550,
42739857,42739854,0,True,residential,Fillmore Street,213.28,,,,,,,,,,,5696936,
42739857,42749889,0,False,secondary,Morris Park Avenue,75.977,,,,,,,,,,,552161490,
42739857,42739948,0,False,secondary,Morris Park Avenue,85.322,,,,,,,,,,,552161490,
42739909,2977507320,0,False,secondary,White Plains Road,39.548,,,,,,,,,,,98268407,
42739909,2977507321,0,False,secondary,White Plains Road,12.657,,,,,,,,,,,223940533,
42739915,42749895,0,True,residential,Mead Street,183.943,,,,,,,,,,,5697752,
42739915,42739923,0,False,residential,Unionport Road,79.597,,,,,,,,,,,294187360,
42739915,2977507321,0,False,residential,Unionport Road,69.398,,,,,,,,,,,294187360,
42739923,42739854,0,True,residential,Van Nest Avenue,93.664,,,,,,,,,,,5698550,
42739923,42734239,0,False,residential,Unionport Road,199.87,,,,,,,,,,,294187360,
42739923,42739915,0,False,residential,Unionport Road,79.597,,,,,,,,,,,294187360,
42739938,42731932,0,True,secondary,Bronx Park East,119.132,,,,,,,,,,,5697265,
42739938,42731929,0,False,residential,"['Unionport Road', 'Sagamore Street']",279.709,,,,,,,,,,,"[284842656, 5699053]",
42739948,42734239,0,False,secondary,Morris Park Avenue,23.236,,,,,,,,,,,552161490,
42739948,42739857,0,False,secondary,Morris Park Avenue,85.322,,,,,,,,,,,552161490,
42743756,42744988,0,False,tertiary,Bronxdale Avenue,111.648,,,,,,,,,,,5697685,
42744829,42739938,0,True,secondary,Bronx Park East,134.388,,,,,,,,,,,5697265,
42744988,42743756,0,False,tertiary,Bronxdale Avenue,111.648,,,,,,,,,,,5697685,
42745146,2977951637,0,False,residential,Matthews Avenue,38.934,,,,,,,,,,,5697285,
42745146,42762586,0,True,residential,Van Nest Avenue,76.085,,,,,,,,,,,5698550,
42745146,42745149,0,True,residential,Matthews Avenue,80.154,,,,,,,,,,,275066832,
42745149,42745153,0,True,residential,Matthews Avenue,84.155,,,,,,,,,,,275066832,
42745153,42745160,0,True,residential,Matthews Avenue,256.12,,,,,,,,,,,275066832,
42745153,42756732,0,False,secondary,Morris Park Avenue,78.825,,,,,,,,,,,552161490,
42745153,42756720,0,False,secondary,Morris Park Avenue,76.489,,,,,,,,,,,552161490,
42745160,42757341,0,False,residential,Rhinelander Avenue,78.934,,,,,,,,,,,275060864,
42745160,42761395,0,False,residential,Rhinelander Avenue,76.0,,,,,,,,,,,275060864,
42746718,2977951633,0,False,residential,Wallace Avenue,81.743,,,,,,,,,,,5697377,
42746718,42766795,0,True,residential,Van Nest Avenue,75.893,,,,,,,,,,,5698550,
42746718,42746721,0,True,residential,Wallace Avenue,167.856,,,,,,,,,,,275066836,
42746721,42746723,0,True,residential,Wallace Avenue,253.882,,,,,,,,,,,275066836,
42746721,42756720,0,False,secondary,Morris Park Avenue,75.633,,,,,,,,,,,552161490,
42746721,42756713,0,False,secondary,Morris Park Avenue,76.09,,,,,,,,,,,552161490,
42746723,42761395,0,False,residential,Rhinelander Avenue,75.977,,,,,,,,,,,275060864,
42746723,42761390,0,False,residential,Rhinelander Avenue,76.191,,,,,,,,,,,275060864,
42749889,42739857,0,False,secondary,Morris Park Avenue,75.977,,,,,,,,,,,552161490,
42749889,42756701,0,False,secondary,Morris Park Avenue,76.383,,,,,,,,,,,552161490,
42749891,42749889,0,True,residential,Garfield Street,213.545,,,,,,,,,,,5697580,
42749891,42766780,0,True,residential,Van Nest Avenue,76.334,,,,,,,,,,,5698550,
42749891,42749895,0,False,residential,Garfield Street,75.213,,,,,,,,,,,273890051,
42749895,42749899,0,False,residential,Garfield Street,77.086,,,,,,,,,,,273890051,
42749895,42749891,0,False,residential,Garfield Street,75.213,,,,,,,,,,,273890051,
42749899,42739909,0,True,residential,Baker Avenue,183.086,,,,,,,,,,,5698942,
42749899,471775620,0,False,residential,Garfield Street,33.987,,,,,,,,,,,273890051,
42749899,42749895,0,False,residential,Garfield Street,77.086,,,,,,,,,,,273890051,
42751745,42780445,0,True,residential,Holland Avenue,42.316,,,,,,,,,,,574772332,
42752850,42766788,0,False,secondary,White Plains Road,65.168,,,,,,,,,,,223940533,
42752850,2977507321,0,False,secondary,White Plains Road,71.262,,,,,,,,,,,223940533,
42752850,42739915,0,True,residential,Mead Street,35.299,,,,,,,,,,,5697752,
42753861,42766764,0,True,residential,Van Nest Avenue,47.051,,,,,,,,,,,5698550,
42753861,42753867,0,False,tertiary,East 180th Street,44.045,,,,,,,,,,,219926582,
42753867,42753861,0,False,tertiary,East 180th Street,44.045,,,,,,,,,,,219926582,
42753867,42753877,0,True,tertiary,East 180th Street,25.456,,,,,,,,,,,552548001,
42753877,42753880,0,False,tertiary,East 180th Street,4.832,,,,,,,yes,,,,552540554,
42753880,5334691209,0,False,secondary,East Tremont Avenue,16.285,,,,,,,yes,,,,420585092,
42753880,42753877,0,False,tertiary,East 180th Street,4.832,,,,,,,yes,,,,552540554,
42753880,42766764,0,False,secondary,East Tremont Avenue,69.913,,,,,,,yes,,,,"[223939822, 98268397, 420585094]",
42754035,471775662,0,False,residential,Melville Street,158.596,,,,,,,,,,,5697794,
42754035,42754039,0,True,residential,Melville Street,213.388,,,,,,,,,,,275060863,
42754035,42766776,0,True,residential,Van Nest Avenue,76.513,,,,,,,,,,,5698550,
