u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
221336022,3586629401,0,False,residential,Lyon Court,52.548,,,,,,,,,,,20617769,
221336063,221492819,0,False,residential,Lafayette Street,119.293,,,,30 mph,,,,,,,20633650,
221336063,3028982917,0,False,residential,Bank Street,241.179,,,,30 mph,,,,,,,20617774,
221336063,221437271,0,False,residential,Lafayette Street,406.755,,,,30 mph,,,,,,,20633650,
221352140,221482226,0,False,residential,Crownwood Drive,383.569,,,,,,,,,,,20633068,
221352140,691144280,0,False,residential,John Clendon Road,202.152,,,,,,,,,,,20633423,
221352140,691144279,0,False,residential,John Clendon Road,72.91,,,,,,,,,,,20633423,
221352154,691144279,0,False,residential,Penbrook Road,292.23,,,,,,,,,,,20619378,
221366816,221366819,0,True,motorway_link,,272.115,"['1', '2']",,,,,,,,,,"[87102340, 315120726, 20621143]",
221366816,221366823,0,True,motorway,Adirondack Northway,533.018,3,,,65 mph,,,,,,,315119099,I 87
221366819,221433129,0,False,primary,Aviation Road,216.421,5,,,35 mph,,,yes,,,,"[87102338, 42240051, 42240050]",NY 254
221366819,221489418,0,False,primary,Aviation Road,175.297,5,,,35 mph,,,,,,,"[87102338, 298456742]",NY 254
221366819,221366823,0,True,motorway_link,,272.081,1,,,,,,,,,,"[87102339, 315120727]",
221368422,3586629401,0,False,residential,West Wood Road,36.009,,,,,,,,,,,20632717,
221368422,221368433,0,False,residential,,42.166,,,,,,,,,,,20621349,
221368422,221368465,0,False,residential,,78.32,,,,,,,,,,,20621349,
221368433,221451052,0,False,residential,Cascade Court,45.502,,,,,,,,,,,20629435,
221368433,221368465,0,False,residential,,46.486,,,,,,,,,,,20621349,
221368433,221368422,0,False,residential,,42.166,,,,,,,,,,,20621349,
221368465,221500747,0,False,residential,Crane Court,48.161,,,,,,,,,,,20633722,
221368465,221368422,0,False,residential,,78.32,,,,,,,,,,,20621349,
221368465,221368433,0,False,residential,,46.486,,,,,,,,,,,20621349,
221376329,221376332,0,False,residential,Kiley Lane,122.965,,,,30 mph,,,,,,,20632789,
221376329,221460604,0,False,residential,Kiley Lane,122.197,,,,30 mph,,,,,,,20632789,
221376329,221407105,0,False,residential,Sweet Briar Lane,260.803,,,,30 mph,,,,,,,20630205,
221376332,221412813,0,False,residential,Willow Road,119.201,,,,30 mph,,,,,,,20631777,
221376332,221476172,0,False,residential,Willow Road,460.996,,,,30 mph,,,,,,,20631777,
221376332,221376329,0,False,residential,Kiley Lane,122.965,,,,30 mph,,,,,,,20632789,
221389523,221389530,0,False,residential,,43.665,,,,,,,,,,,20623916,
221389530,221389523,0,False,residential,,43.665,,,,,,,,,,,20623916,
221389530,221462070,0,False,residential,Baybrook Drive,153.402,,,,,,,,,,,20630374,
221389530,221462070,1,False,residential,Baybrook Drive,144.208,,,,,,,,,,,20630374,
221391996,1336089357,0,True,motorway,Adirondack Northway,387.417,3,,,65 mph,,,,,,,315119100,I 87
221391996,221433129,0,True,motorway_link,,478.006,"['1', '2']",,,,,,,,,,"[20624241, 98662147]",
221402293,221474570,0,False,tertiary,Aviation Road,251.239,2,,,35 mph,,,,,,,298693164,
221402293,221475923,0,False,tertiary,Aviation Road,61.173,2,,,35 mph,,,,,,,298693164,
221402293,221402304,0,False,residential,Short End Drive,63.033,,,,,,,,,,,20625487,
221402304,221402293,0,False,residential,Short End Drive,63.033,,,,,,,,,,,20625487,
221402354,221402356,0,False,residential,Hummingbird Lane,99.262,,,,,,,,,,,20625491,
221402354,221410176,0,False,residential,Whipporwill Road,127.127,,,,,,,,,,,20626219,
221402354,221410181,0,False,residential,Whippoorwill Road,504.001,,,,,,,,,,,"[20629596, 20626220]",
221402356,221402360,0,False,residential,Hummingbird Lane,208.453,,,,,,,,,,,20625491,
221402356,221402354,0,False,residential,Hummingbird Lane,99.262,,,,,,,,,,,20625491,
221402356,221506178,0,False,residential,Robin Lane,110.825,,,,,,,,,,,20634122,
221402360,221402356,0,False,residential,Hummingbird Lane,208.453,,,,,,,,,,,20625491,
221402424,221475928,0,False,tertiary,Aviation Road,86.788,2,,,35 mph,,,,,,,298693164,
221402424,221475928,1,False,residential,"['Eldridge Road', 'Bennett Road']",780.335,,,,30 mph,,,,,,,"[20625500, 20632047]",
221402503,221402519,0,False,residential,Woodvale,348.813,,,,,,,,,,,20625510,
221402503,221457624,0,False,tertiary,Glenwood Avenue,307.881,2,,,30 mph,,,,,,,20629980,CR 34
221402503,221457621,0,False,tertiary,Glenwood Avenue,161.697,2,,,30 mph,,,,,,,20629980,CR 34
221402519,221402503,0,False,residential,Woodvale,348.813,,,,,,,,,,,20625510,
221402519,221443535,0,False,tertiary,Country Club Road,359.926,,,,45 mph,,,,,,,47338462,CR 66
221402519,221451780,0,False,tertiary,Country Club Road,374.721,,,,45 mph,,,,,,,47338462,CR 66
221403575,602849642,0,False,residential,Sweet Road,85.774,,,,,,,,,,,20628795,
221403575,1352878408,0,False,residential,Nova Lane,197.174,,,,,,,,,,,20625643,
221403575,1352878529,0,False,residential,Sweet Road,701.812,,,,,,,,,,,20628795,
221404504,1336089397,0,False,residential,Heinrick Street,45.58,,,,30 mph,,,,,,,20626711,
221404504,221404504,0,False,residential,Heinrick Circle,683.454,,,,30 mph,,,,,,,20625755,
221404504,221404504,1,False,residential,Heinrick Circle,683.454,,,,30 mph,,,,,,,20625755,
221407090,221407093,0,False,residential,Haven Lane,106.412,,,,30 mph,,,,,,,20625963,
221407090,221476179,0,False,residential,Sylvan Avenue,238.14,,,,30 mph,,,,,,,20632273,
221407090,221475897,0,False,residential,Sylvan Avenue,256.449,,,,30 mph,,,,,,,20632273,
221407093,221407097,0,False,residential,Haven Lane,104.706,,,,30 mph,,,,,,,20625963,
221407093,221407090,0,False,residential,Haven Lane,106.412,,,,30 mph,,,,,,,20625963,
221407093,221427344,0,False,residential,Buena Vista Avenue,231.802,,,,30 mph,,,,,,,20627544,
221407093,221427318,0,False,residential,Buena Vista Avenue,261.789,,,,30 mph,,,,,,,20627544,
221407097,221407101,0,False,residential,Haven Lane,106.965,,,,30 mph,,,,,,,20625963,
221407097,221407093,0,False,residential,Haven Lane,104.706,,,,30 mph,,,,,,,20625963,
221407097,221476176,0,False,residential,Centennial Drive,225.215,,,,30 mph,,,,,,,20632508,
221407097,221485896,0,False,residential,Centennial Drive,260.694,,,,30 mph,,,,,,,20632508,
