u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
212640629,212797174,0,False,primary,Main Street West,112.724,,,,,,,,,,,26596731,NY 33
212640629,212901137,0,False,primary,Main Street West,14.115,,,,,,,,,,,26596731,NY 33
212645672,212645675,0,False,residential,Terry Street,47.049,,,,,,,,,,,20113064,
212645672,2500057018,0,False,secondary,Jefferson Avenue,177.738,,,,,,,,,,,20129569,
212645675,212645679,0,False,residential,Terry Street,103.044,,,,,,,,,,,20113064,
212645675,212645672,0,False,residential,Terry Street,47.049,,,,,,,,,,,20113064,
212645675,212899158,0,False,residential,Arklow Street,199.234,,,,,,,,,,,20135976,
212645679,212645675,0,False,residential,Terry Street,103.044,,,,,,,,,,,20113064,
212645679,212799842,0,False,tertiary,Brown Street,130.853,,,,,,,,,,,242538720,
212645679,2500057014,0,False,tertiary,Brown Street,117.599,,,,,,,,,,,242538720,
212669332,212669334,0,False,residential,Hertel Street,52.287,,,,,,,,,,,20114547,
212669332,212814456,0,False,tertiary,Brown Street,71.1,,,,,,,,,,,242538720,
212669332,212814453,0,False,tertiary,Brown Street,119.228,,,,,,,,,,,242538720,
212669334,212669338,0,False,residential,Hertel Street,57.447,,,,,,,,,,,20114547,
212669334,212669332,0,False,residential,Hertel Street,52.287,,,,,,,,,,,20114547,
212669334,212720045,0,False,residential,Victoria Street,71.146,,,,,,,,,,,20118120,
212669338,212669334,0,False,residential,Hertel Street,57.447,,,,,,,,,,,20114547,
212669338,212684729,0,False,residential,Silver Street,76.745,,,,,,,,,,,20115765,
212669338,212684725,0,False,residential,Silver Street,12.477,,,,,,,,,,,20115765,
212684725,212669338,0,False,residential,Silver Street,12.477,,,,,,,,,,,20115765,
212684729,212684733,0,False,residential,Silver Street,72.456,,,,,,,,,,,20115765,
212684729,212669338,0,False,residential,Silver Street,76.745,,,,,,,,,,,20115765,
212684729,212720045,0,False,residential,Eddy Street,58.849,,,,,,,,,,,20136493,
212684733,212684737,0,False,residential,Silver Street,56.77,,,,,,,,,,,20115765,
