osmid,x,y,ref,highway
212626130,-77.57655,43.175096,,
212632082,-77.564358,43.172304,,
212632086,-77.564396,43.173269,,
212632102,-77.564366,43.174319,,
212633051,-77.577084,43.171945,,
212633053,-77.576039,43.173902,,
212643431,-77.576176,43.175805,,traffic_signals
212643433,-77.573842,43.175874,,
212643439,-77.57153,43.175954,,
212643441,-77.571347,43.175958,,
212643444,-77.57037,43.175988,,
212643452,-77.568394,43.17605,,
212643460,-77.567387,43.176084,,
212643465,-77.566593,43.176103,,
212643467,-77.565792,43.17613,,
212643469,-77.565647,43.176137,,
212643481,-77.562315,43.176236,,
212643484,-77.56148,43.176258,,
212643486,-77.561283,43.176263,,
212643488,-77.560316,43.176294,,
212643490,-77.559017,43.176328,,
212656033,-77.568287,43.172639,,
212696988,-77.574887,43.173917,,
212696990,-77.57375,43.17394,,
212696993,-77.572606,43.173963,,
212696996,-77.571446,43.173982,,
212697004,-77.57137,43.174127,,
212697011,-77.570385,43.17415,,
212697015,-77.56938,43.174178,,
212697018,-77.568371,43.174215,,
212697025,-77.56744,43.174234,,
212697029,-77.566418,43.174268,,
212697032,-77.565426,43.174287,,
212697035,-77.563328,43.174348,,
212697039,-77.562298,43.174379,,
212697042,-77.561291,43.174402,,
212697049,-77.560093,43.174321,,
212697051,-77.55865,43.173883,,
212715957,-77.559884,43.171528,,traffic_signals
212715961,-77.559583,43.1721,,
212715964,-77.559399,43.172448,,
212715966,-77.559107,43.173011,,
212756698,-77.578084,43.172227,,
212838118,-77.577817,43.172727,,
212838761,-77.566052,43.171377,,
212888546,-77.566418,43.171365,,
212888548,-77.565365,43.171396,,
212903621,-77.577366,43.173566,,
