u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
212601407,212601449,0,True,motorway_link,,210.698,,,,,,,,,,,20110184,
212601407,212937563,0,False,tertiary,Bridge View Drive,517.657,,,,,,,,,,,20138086,
212601407,212655329,0,False,tertiary,Bridge View Drive,180.196,,,,,,,,,,,385022626,
212601449,212601466,0,True,motorway_link,,74.436,,,,,,,,,,,20110184,
212601473,212726854,0,True,motorway_link,,186.16,,,,,,,,,,,20110185,
212601473,1143413877,0,True,motorway,Ridge Road West,336.271,3,,,,,,,,,,138100343,NY 104
212605574,212638165,0,False,residential,Mt Read Boulevard,541.709,,,,,,,yes,,,,"[112748931, 20110413, 112748941]",
212605574,212612546,0,False,residential,"['Mt Read Boulevard', 'West Outer Drive']",249.749,,,,,,,,,,,"[20110413, 327921550]",
212609172,212692019,0,True,trunk,Mount Read Boulevard,462.826,,,,,,,,,,,112748937,
212609175,212609178,0,False,tertiary,,206.353,,,,,,,,,,,49953403,
212609175,212609172,0,True,trunk_link,,66.021,,,,,,,,,,,20110642,
212609175,212638212,0,False,unclassified,Mt Read Blvd South Srv Rd,524.182,,,,,,,,,,,112748938,
212609178,212638165,0,False,tertiary,Mt Read Blvd South Srv Rd,233.658,,,,,,,,,,,20112566,
212609178,212609175,0,False,tertiary,,206.353,,,,,,,,,,,49953403,
212609178,212812202,0,False,secondary,Ridgeway Avenue,105.774,"['4', '2']",,,,,,,,,,"[554203201, 554203202]",
212609178,212857300,0,False,secondary,Ridgeway Avenue,68.191,4,,,,,,yes,,,,"[554203203, 554203204, 49953286]",
212611562,212612578,0,True,trunk,Mount Read Boulevard,60.185,,,,,,,,,,,450298015,
212611562,212611583,0,True,trunk_link,,81.695,,,,,,,,,,,112748932,CR 150
212611583,212612546,0,False,trunk_link,,27.393,,,,,,,,,,,20110910,CR 150
212611583,212612578,0,True,trunk_link,,84.762,,,,,,,,,,,49953295,
212611798,212611743,0,True,trunk_link,,210.163,,,,,,,,,,,20110839,CR 150
212611798,212616167,0,True,primary,Ridge Road West,54.804,6,,,,,,,,,,262377925,NY 104
212612546,212611583,0,False,trunk_link,,27.393,,,,,,,,,,,20110910,CR 150
212612546,212605574,0,False,residential,"['Mt Read Boulevard', 'West Outer Drive']",249.749,,,,,,,,,,,"[20110413, 327921550]",
212612578,212616509,0,True,trunk,Mount Read Boulevard,104.124,,,,,,,,,,,450298015,
212612865,212794840,0,False,residential,Dorothy Avenue,34.857,,,,,,,,,,,20125608,
212613869,212857297,0,True,trunk_link,Mt Read Blvd North Srv Rd,71.211,,,,,,,,,,,20131214,
212613869,212857303,0,True,trunk,Mount Read Boulevard,515.119,,,,,,,,,,,139602975,
212616121,212611743,0,True,trunk,Mount Read Boulevard,119.368,,,,,,,,,,,20116226,
212616121,212616167,0,True,trunk_link,,234.671,,,,,,,,,,,20111169,
212616167,212737028,0,True,primary,Ridge Road West,97.736,6,,,,,,,,,,262377925,NY 104
212616509,212605574,0,True,trunk_link,,49.594,,,,,,,,,,,20111205,
212616509,212638168,0,True,trunk,Mount Read Boulevard,523.019,,,,,,,yes,,,,"[112748935, 112748937, 450298015]",
212619139,212619142,0,False,unclassified,Mt Read Blvd South Srv Rd,96.62,,,,,,,,,,,20112569,
212619139,212638237,0,False,unclassified,Mt Read Blvd South Srv Rd,65.606,,,,,,,,,,,20112569,
212619142,212619139,0,False,unclassified,Mt Read Blvd South Srv Rd,96.62,,,,,,,,,,,20112569,
