osmid,x,y,ref,highway
41689950,-73.688064,42.719848,,
41689955,-73.68886,42.720347,,
41691957,-73.6850233,42.7276264,,traffic_signals
41734737,-73.6910655,42.7276932,,traffic_signals
41734741,-73.691391,42.7261623,,traffic_signals
41734744,-73.6915529,42.7254628,,
41734745,-73.6917395,42.72451,,
41734747,-73.6919464,42.7236072,,
41734751,-73.6920684,42.7230001,,traffic_signals
41734757,-73.6924046,42.7214799,,traffic_signals
41734759,-73.6926423,42.7204015,,
41737957,-73.6949135,42.721767,,
41737962,-73.693668,42.7216229,,traffic_signals
41737972,-73.6911821,42.721336,,traffic_signals
41737990,-73.6899382,42.721186,,
41737994,-73.6892998,42.7211049,,
41737997,-73.6885871,42.7210449,,traffic_signals
41739311,-73.6889828,42.7197245,,
41739312,-73.688941,42.719949,,
41740715,-73.69064,42.725355,,
41740718,-73.690804,42.724737,,
41748459,-73.693841,42.726674,,
41748461,-73.69406,42.725762,,
41748464,-73.694255,42.724807,,
41748465,-73.6945738,42.7232948,,traffic_signals
41748473,-73.6951543,42.7206957,,
41748477,-73.695265,42.7201786,,
41760116,-73.687608,42.7203127,,
41760117,-73.687164,42.720758,,
41776921,-73.6881369,42.720635,,
41776923,-73.6875754,42.7211466,,
41779235,-73.688416,42.723153,,
41781280,-73.692632,42.726421,,
41781286,-73.6928002,42.7256219,,
41781287,-73.693018,42.724664,,
41781291,-73.6931881,42.7237607,,
41781293,-73.6933208,42.7231578,,traffic_signals
41781301,-73.693912,42.720553,,
41781307,-73.694014,42.720032,,
41790460,-73.695286,42.725903,,
41790476,-73.690334,42.725319,,traffic_signals
41790479,-73.6900875,42.7252886,,
41790483,-73.6890708,42.7251776,,
41790489,-73.68844,42.725109,,
41797803,-73.6892859,42.722506,,
41797810,-73.688541,42.722589,,
41826739,-73.6898412,42.7275428,,traffic_signals
41826741,-73.690199,42.7259151,,
41826744,-73.6902105,42.7258704,,
41826749,-73.690549,42.72437,,
41826758,-73.6908397,42.7228614,,traffic_signals
41826764,-73.691409,42.720254,,
41826767,-73.69154,42.719739,,
41829668,-73.6957898,42.7234228,,
41829728,-73.6896047,42.7227176,,
41829731,-73.6893526,42.7226915,,traffic_signals
41830571,-73.6872425,42.7197546,,
41830573,-73.6871527,42.7201858,,
41830737,-73.6961566,42.7250295,,
41848456,-73.688203,42.724085,,
41848461,-73.688637,42.722141,,
41849563,-73.688568,42.727388,,traffic_signals
41865345,-73.689716,42.722238,,
41865837,-73.6895126,42.7232092,,
41865840,-73.6894394,42.7235135,,
41865841,-73.689275,42.724227,,
41866131,-73.6902036,42.7198591,,
41866134,-73.690154,42.720105,,
41871070,-73.689876,42.724297,,
41871112,-73.6853034,42.7196293,,
41871148,-73.683558,42.719838,,
41879772,-73.688822,42.723438,,
41897845,-73.696667,42.725067,,
41897851,-73.69551,42.724938,,
41897874,-73.688675,42.724157,,
41919858,-73.695128,42.7269,,
1239938921,-73.6873314,42.7272281,,
2544579475,-73.696256,42.7284779,,
