osmid,x,y,ref,highway
254114036,-73.871278,40.925566,,
254114039,-73.869643,40.927182,,
254115247,-73.869003,40.918911,,
254115255,-73.8661319,40.9206515,,
254121943,-73.877543,40.9096,,
254121948,-73.877154,40.910644,,
254138279,-73.8759701,40.9316249,,
254138979,-73.8743064,40.9316113,3,motorway_junction
254138989,-73.8710391,40.9308428,,
254144269,-73.87133,40.931388,,
254145269,-73.8756008,40.9306734,,
254145426,-73.8757408,40.9237377,,
254150465,-73.8784478,40.9299604,4,motorway_junction
254156066,-73.879482,40.927613,,
254156074,-73.870712,40.931288,,
254156414,-73.875391,40.912384,,
254156423,-73.873629,40.914472,1,motorway_junction
254162390,-73.880738,40.915933,,
254174295,-73.864395,40.922006,,
254174469,-73.8805703,40.9097846,,
254174472,-73.8802201,40.9098698,,
254175061,-73.878892,40.916079,,
254175068,-73.878413,40.917671,,
254188631,-73.884011,40.909664,,
254188649,-73.8834902,40.9096021,,
254197802,-73.883729,40.908742,,
254197804,-73.884375,40.908849,,
254199736,-73.881845,40.91222,,
254199767,-73.88172,40.916091,,
254207441,-73.8655351,40.9222542,,
254207442,-73.8663654,40.9219689,,
254207443,-73.867207,40.921677,,
254207444,-73.868015,40.921387,,
254207445,-73.868999,40.921042,,
254207703,-73.8660692,40.9237561,,
254207708,-73.8670842,40.9232052,,
254207709,-73.867425,40.923151,,
254207713,-73.867841,40.922782,,
254207714,-73.868243,40.922202,,
254207716,-73.868673,40.921552,,
254207717,-73.869097,40.920889,,
254207718,-73.869521,40.920264,,
254207720,-73.870071,40.919551,,
254210121,-73.864013,40.921358,,
254213385,-73.873225,40.918185,,
254213389,-73.871552,40.918479,,
254213993,-73.878284,40.906342,,
254213994,-73.8778842,40.9088137,,
254214003,-73.876722,40.911169,,
254214007,-73.875662,40.912127,,
254214020,-73.873927,40.914398,,
254214021,-73.873541,40.915033,,
254214030,-73.870737,40.917854,,
254214031,-73.869929,40.918447,,
254214032,-73.869229,40.918972,,
254214033,-73.868479,40.919513,,
254214034,-73.867845,40.919959,,
254214036,-73.867315,40.920234,,
254219234,-73.876364,40.91842,,
254219256,-73.875506,40.920822,,
254220129,-73.884061,40.907742,,
254220132,-73.8832567,40.9103685,,
254220133,-73.883182,40.910822,,
254220134,-73.8831859,40.9109,,
254220136,-73.8828622,40.9120556,,
254220137,-73.8824847,40.9133992,,
254226358,-73.8838419,40.9104725,,
254234083,-73.8786888,40.9090465,,
254234087,-73.8781247,40.9104666,,
254234093,-73.8778671,40.9129061,,
254234095,-73.877127,40.915641,,
254234096,-73.876517,40.917705,,
254242493,-73.872144,40.923868,,
254242498,-73.871247,40.92468,,
254250223,-73.868621,40.92607,,
254250290,-73.869742,40.924764,,
254250293,-73.868511,40.925952,,
254256629,-73.870631,40.928469,,
254256633,-73.8703971,40.9276455,,
254256637,-73.869136,40.926669,,
254256638,-73.869062,40.926587,,
254256640,-73.868112,40.925504,,
254256641,-73.8680263,40.9254071,,
254256657,-73.8629801,40.9217793,,
254547826,-73.8742276,40.9237773,,
254563494,-73.8724619,40.9213395,,
254621247,-73.87744,40.917718,,
254621254,-73.875594,40.917548,,
254621289,-73.874312,40.917347,,
254660623,-73.868856,40.924339,,
254661403,-73.878189,40.905983,13,motorway_junction
254683144,-73.883251,40.910832,,
254683160,-73.882324,40.9107836,,
254683195,-73.881427,40.911453,,
254683254,-73.8797079,40.9119371,,traffic_signals
254683260,-73.8801472,40.9096317,,
254683263,-73.8796059,40.9094059,,
254683274,-73.8787875,40.9090842,,
254683455,-73.8799662,40.9107586,,
254700211,-73.883695,40.913612,,
254700212,-73.883438,40.913568,,
254700214,-73.8815601,40.9132488,,
254723627,-73.8790407,40.9106133,,
254723699,-73.878796,40.913053,,
254723726,-73.878013,40.915794,,
254735614,-73.871227,40.922404,,
254745478,-73.871848,40.921925,,
254745480,-73.87264,40.922521,,
254773285,-73.871967,40.926035,,
254776333,-73.8776134,40.9103921,,
254783442,-73.882998,40.907502,,
254783492,-73.8821756,40.9118472,,
254786091,-73.880915,40.9099799,,
254788641,-73.874495,40.913637,,
254788642,-73.874438,40.914445,,
254788643,-73.874393,40.915196,,
254788645,-73.874271,40.916619,,
254788652,-73.873533,40.919947,,
254788654,-73.872945,40.920729,,
254788658,-73.870591,40.922895,,
254788659,-73.869977,40.923361,,
254788660,-73.869352,40.923821,,
254789412,-73.8791894,40.9150835,,
254804049,-73.86658,40.920525,,
254804748,-73.8728379,40.9243163,,
254804753,-73.87046,40.924413,,
254810533,-73.8656807,40.9208082,,
254810534,-73.864833,40.9211031,,
254816122,-73.872958,40.917744,,
254816427,-73.876209,40.915493,,
254816428,-73.875243,40.915327,,
254824277,-73.870561,40.925148,,
254824278,-73.869984,40.924876,,
254829351,-73.875557,40.912493,,
254829354,-73.8750344,40.9161947,,
254829810,-73.8661279,40.9232319,,
254834001,-73.876475,40.91265,,
254868538,-73.871399,40.923466,,
254877147,-73.874651,40.920457,,
254879501,-73.87676,40.91385,,
254888050,-73.876346,40.9135,,
443258777,-73.879239,40.906365,,
443258779,-73.880111,40.906591,,
1396345070,-73.8656704,40.9207606,,
3474198535,-73.8724033,40.9256696,,turning_circle
3641428809,-73.8842121,40.9102641,,
3641428810,-73.8841496,40.9105185,,
3641428811,-73.8840805,40.9107997,,
