osmid,x,y,ref,highway
42723849,-73.877985,40.823482,,
42723857,-73.8780727,40.8238059,,
42723865,-73.8743648,40.824306,,
42723874,-73.8826989,40.8228251,,traffic_signals
42735904,-73.877564,40.821682,,
42737328,-73.8734181,40.8240726,,
42750715,-73.876634,40.821802,,
42750718,-73.8770574,40.823592,,
42750724,-73.8771371,40.8239293,,
42752993,-73.881687,40.822979,,
42752996,-73.880752,40.82311,,
42752998,-73.879834,40.823233,,
42753001,-73.878901,40.823358,,
42753468,-73.881772,40.8233837,,
42753473,-73.879918,40.823611,,
42753476,-73.8789825,40.8236825,,
42753481,-73.8762187,40.8240592,,
42753482,-73.8752832,40.8241891,,
42754997,-73.8812425,40.8211802,,
42761595,-73.879404,40.821431,,
42768887,-73.880331,40.821302,,
42781836,-73.878485,40.821555,,
60653787,-73.8777682,40.8237417,,
60653937,-73.8776582,40.8236439,52,motorway_junction
106675133,-73.8742017,40.8239553,,
566379402,-73.8789989,40.8235795,51,motorway_junction
