u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
213571086,213571115,0,False,residential,,226.531,,,,,,,,,,,20194725,
213571086,213714508,0,False,residential,Chestnut Road,136.237,,,,,,,,,,,20226071,
213571086,213962139,0,False,residential,Shady Ac Tr P,64.105,,,,,,,,,,,20227249,
213571086,213714509,0,False,residential,Beech Lane,143.894,,,,,,,,,,,20238968,
213571115,213571086,0,False,residential,,226.531,,,,,,,,,,,20194725,
213571115,213714508,0,False,residential,Cutler Road,183.445,,,,,,,,,,,277176047,
213571115,213714489,0,False,residential,Cutler Road,148.551,,,,,,,,,,,277176047,
213580840,213828233,0,False,primary,,78.357,2,,,,,,,,,,50097574,US 209; NY 55
213580840,213883520,0,False,primary,,136.68,2,,,,,,,,,,50097574,US 209; NY 55
213582136,213582140,0,False,residential,,99.419,,,,,,,,,,,20195843,
213582136,213712954,0,False,tertiary,Ulster Heights Road,386.988,,,,,,,,,,,20225152,CR 52
213582136,213618422,0,False,tertiary,Ulster Heights Road,162.185,,,,,,,,,,,20225152,CR 52
213582140,213582136,0,False,residential,,99.419,,,,,,,,,,,20195843,
213582638,213651289,0,False,tertiary,Ulster Heights Road,149.171,,,,,,,,,,,20225152,CR 52
213582638,213651304,0,False,tertiary,Ulster Heights Road,110.88,,,,,,,,,,,20225152,CR 52
213586648,213586659,0,False,residential,,238.86,,,,,,,,,,,20196338,
213586648,213600391,0,False,residential,Lundy Road,2004.207,,,,,,,,,,,277176029,
213586648,213849020,0,False,residential,Lundy Road,573.307,,,,,,,,,,,277176029,
213586659,213586648,0,False,residential,,238.86,,,,,,,,,,,20196338,
213592493,213592497,0,False,residential,,166.875,,,,,,,yes,,,,"[238212585, 20196948]",
213592493,213600391,0,False,residential,Lundy Road,1060.968,,,,,,,,,,,277176029,
213592497,2460607062,0,False,residential,,497.134,,,,,,,,,,,20199420,
213592497,213616822,0,False,residential,,1133.37,,,,,,,,,,,20199420,
213592497,213592493,0,False,residential,,166.875,,,,,,,yes,,,,"[238212585, 20196948]",
213594973,213594976,0,False,residential,,132.02,,,,,,,,,,,20197191,
213594973,213844254,0,False,residential,Sherman Road,602.313,,,,,,,,,,,20219022,
213594973,213713306,0,False,residential,Sherman Road,490.638,,,,,,,,,,,20219022,
213594976,213594973,0,False,residential,,132.02,,,,,,,,,,,20197191,
213595070,213595080,0,False,residential,,95.741,,,,,,,,,,,20197200,
213595070,213659777,0,False,residential,Weiser Road,153.228,,,,,,,,,,,20209868,
213595070,213713238,0,False,residential,Weiser Road,518.592,,,,,,,,,,,20209868,
213595080,213595070,0,False,residential,,95.741,,,,,,,,,,,20197200,
213595284,213595306,0,False,residential,,271.663,,,,,,,,,,,20197223,
213595284,213869378,0,False,residential,Brown Road,114.391,,,,,,,,,,,20241354,
213595284,213627662,0,False,residential,Brown Road,228.131,,,,,,,,,,,20241354,
213595306,213595284,0,False,residential,,271.663,,,,,,,,,,,20197223,
213595498,213595503,0,False,residential,,74.144,,,,,,,,,,,20197235,
213595498,213911440,0,False,residential,Camp Road,1411.78,,,,,,,,,,,20224162,
213595498,213667862,0,False,residential,Camp Road,520.916,,,,,,,,,,,20224162,
213595503,213595498,0,False,residential,,74.144,,,,,,,,,,,20197235,
213595546,213844499,0,False,secondary,State Highway 55,205.107,,,,,,,,,,,177223616,NY 55
213595546,213595552,0,False,residential,,87.023,,,,,,,,,,,20197240,
213595546,213667315,0,False,secondary,State Highway 55,273.151,,,,,,,,,,,177223616,NY 55
213595552,213595546,0,False,residential,,87.023,,,,,,,,,,,20197240,
213598819,213598847,0,False,residential,,182.037,,,,,,,,,,,20197502,
