u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
41828189,41901705,0,False,secondary,Washington Street,106.686,,,,45 mph,,,,,,,96113037,NY 29
41828189,42179348,0,False,secondary,Washington Street,116.349,,,,45 mph,,,,,,,96113037,NY 29
41828189,41828206,0,False,residential,Eastman Lane,263.802,,,,,,,,,,,5627752,
41828206,41828189,0,False,residential,Eastman Lane,263.802,,,,,,,,,,,5627752,
41828216,41828241,0,False,residential,Ulysses Drive,234.205,,,,,,,,,,,5627754,
41828216,41884861,0,False,residential,Burgoyne Avenue,282.101,,,,,,,,,,,5635425,
41828216,41884811,0,False,residential,Burgoyne Avenue,253.668,,,,,,,,,,,5635425,
41828241,41828216,0,False,residential,Ulysses Drive,234.205,,,,,,,,,,,5627754,
41828241,41926053,0,False,residential,Acland Boulevard,203.448,,,,,,,,,,,5638798,
41828241,41925992,0,False,residential,Acland Boulevard,94.469,,,,,,,,,,,5638798,
41828424,41828435,0,False,residential,Sunshine Drive,131.793,,,,,,,,,,,5627762,
41828424,41918391,0,False,residential,Travers Road,49.998,,,,30 mph,,,,,,,5638310,
41828424,41902571,0,False,residential,Travers Road,171.48,,,,30 mph,,,,,,,5638310,
41828435,41828451,0,False,residential,Sunshine Drive,260.169,,,,,,,,,,,5627762,
41828435,41828451,1,False,residential,Moonglow Road,359.21,,,,,,,,,,,5646720,
41828435,41828424,0,False,residential,Sunshine Drive,131.793,,,,,,,,,,,5627762,
41828451,41828435,0,False,residential,Sunshine Drive,260.169,,,,,,,,,,,5627762,
41828451,41828435,1,False,residential,Moonglow Road,359.21,,,,,,,,,,,5646720,
41828451,1668161030,0,False,residential,Moonglow Road,208.359,,,,,,,,,,,5646720,
41829278,42021297,0,False,secondary,Union Avenue,327.714,,,,45 mph,,,,,,,136126949,NY 9P
41829278,42022157,0,False,secondary,Union Avenue,789.024,,,,45 mph,,,,,,,136126949,NY 9P
41830234,41830249,0,False,residential,,272.584,,,,,,,,,,,5627984,
41830234,42263401,0,False,primary,Maple Avenue,136.596,2,,,40 mph,,,,,,,5658078,US 9
41830234,41944391,0,False,primary,Maple Avenue,284.014,2,,,40 mph,,,,,,,5658078,US 9
41830249,41830234,0,False,residential,,272.584,,,,,,,,,,,5627984,
41830437,41837670,0,True,motorway,Adirondack Northway,2050.726,3,,,65 mph,,,yes,,,,"[33539624, 33538906, 33539623]",I 87
41830601,41857744,0,False,residential,,36.264,,,,,,,,,,,5631647,
41830601,41830628,0,False,residential,,258.323,,,,,,,,,,,5628040,
41830601,41830628,1,False,residential,,296.715,,,,,,,,,,,5631647,
41830628,41830631,0,False,residential,,21.969,,,,,,,,,,,5628040,
41830628,41830601,0,False,residential,,258.323,,,,,,,,,,,5628040,
41830628,41830601,1,False,residential,,296.715,,,,,,,,,,,5631647,
41830631,41830628,0,False,residential,,21.969,,,,,,,,,,,5628040,
41830702,41830731,0,False,residential,,819.232,,,,,,,,,,,5628051,
41830731,42069265,0,False,tertiary,Rowland Street,127.433,,,,,,,,,,,482937270,
41830731,41830702,0,False,residential,,819.232,,,,,,,,,,,5628051,
