year,month,day,hour,minute,AM/PM,lat,lon,node_1,node_2
2018,5,4,5,25,PM,39.06644333,-77.03048,1019539143,3494305676
2016,8,28,6,32,PM,38.99320333,-77.06336833,49181051,973470189
2015,2,11,6,53,AM,39.00156,-77.077305,2609324214,49165117
2018,10,2,6,53,AM,38.99734333,-77.06558833,49177652,49181078
2018,7,6,1,20,PM,39.14501333,-77.14426333,49160425,49188522
2017,9,13,7,26,PM,39.191895,-77.24529333,49170918,49242088
2019,3,8,5,30,AM,39.04127167,-77.05186667,555787066,555786716
2017,11,30,7,44,PM,39.12721333,-77.07204667,49234578,49226213
2018,6,15,12,34,PM,38.95759833,-77.10242667,49160834,49181984
2015,5,8,4,13,PM,39.05352167,-77.13381833,49274762,49297296
2019,2,21,11,58,AM,39.09724833,-77.18058667,49341091,900042082
2017,9,25,4,32,PM,38.998505,-77.02658,49159149,49219131
2017,6,13,7,57,AM,39.02408,-77.01117,329862873,711252248
2016,10,8,7,34,PM,38.99742336,-77.02601954,49159147,1156426847
2016,11,29,7,5,PM,39.08019167,-77.078615,582374713,5349024801
2016,5,8,8,23,PM,39.08866667,-76.99942667,1496839047,1496839044
2018,3,7,9,5,AM,38.99018333,-77.10521167,49320035,49326457
2018,10,10,5,25,PM,39.02673333,-77.13241667,49209824,1258102756
2018,8,24,10,19,AM,39.08114298,-76.94645553,869770112,1438520991
2019,5,21,10,10,AM,39.086706,-77.175175,900042607,900042620
2015,6,15,6,6,PM,38.95867833,-77.109165,49250180,3667862380
2015,10,9,5,0,PM,39.09085783,-77.15366983,49305846,49305848
2015,2,6,6,21,PM,39.18550833,-77.25397,609702247,648347899
2015,3,7,6,59,PM,39.21651667,-77.253695,49167389,49266641
2017,1,11,8,33,AM,39.19208044,-77.23343879,49170939,49238496
2016,12,6,7,1,PM,39.07761333,-77.07087333,582342931,582343843
2018,3,11,4,20,PM,39.10966333,-77.217415,1065042147,1065042121
2016,12,9,6,10,AM,39.01063167,-76.97909833,911545640,49160842
2015,12,17,8,40,PM,39.274815,-77.21503167,49260416,748876559
2015,8,28,5,43,PM,39.04679417,-77.067343,3564758037,1184915375
2016,11,1,8,10,AM,38.97873667,-77.12881167,49158020,49174100
2016,10,31,7,2,PM,39.08040667,-77.08064,49257997,49257995
2018,9,10,6,54,PM,39.12781833,-77.19884333,49171260,49171251
2016,5,12,6,24,PM,39.03477,-77.02464667,49161736,49162454
2015,7,15,5,13,PM,39.16683619,-77.15415001,903703793,903703794
2018,7,26,1,15,AM,39.1413964,-77.2942914,49148088,49170981
2016,5,24,6,10,PM,39.17793176,-77.27062225,49171142,5334744460
2016,11,9,3,23,PM,39.079545,-77.08044,582599945,582374713
2016,12,22,2,29,PM,39.07415337,-77.00255021,797787211,797787114
2015,8,25,1,18,PM,39.19373333,-77.27014,3719548548,1157164805
2018,5,16,5,30,PM,39.11442881,-77.2094357,3726961186,3726961146
2017,8,1,6,46,PM,39.19001833,-77.22204667,49130022,49130041
2016,4,20,1,20,PM,39.15276459,-77.21204281,903707590,49210842
2018,2,15,1,43,PM,39.06680833,-77.15376333,903683687,903683682
2017,2,17,6,34,PM,39.11264667,-76.932975,49167628,49217764
2015,12,9,4,33,PM,39.05456667,-77.05038833,49236534,582343759
2017,6,9,8,42,AM,38.991317,-77.11772,49185659,49185661
2016,9,29,1,15,AM,39.0802063,-77.08205357,49188118,49257995
2017,5,7,8,57,PM,38.97540924,-76.99423939,1156539156,3047784986
2019,2,10,3,30,AM,39.05054,-77.05170333,49234289,49171460
2015,3,9,5,7,PM,39.103445,-77.19097667,5332781671,341541472
2017,12,9,12,7,AM,39.07612214,-76.98043942,49157031,49176693
2015,6,19,7,37,AM,39.14394084,-77.16219664,1662304066,341514763
2018,1,14,7,59,AM,39.12257833,-77.19240167,869821360,341531632
2018,8,1,1,39,PM,39.21165,-77.24824167,49152064,49371772
2016,3,13,6,51,PM,38.999885,-76.99557667,49147888,49321845
2017,2,26,5,44,AM,39.16139217,-77.14550817,49180810,49180834
2017,10,27,5,30,PM,39.16819,-77.20485333,1980792354,903706225
2017,7,16,8,52,PM,39.13839667,-77.18192,49178777,49178779
2016,6,22,8,10,AM,39.09253833,-77.19441167,49194188,49164306
2015,8,25,6,57,PM,39.118545,-77.254595,1170540339,49194078
2015,12,18,7,0,AM,39.00358667,-77.11028,5608941424,49228360
2016,4,18,8,13,AM,39.05551333,-77.14809667,49156823,903682944
2017,6,2,4,12,PM,39.05183507,-76.9781971,1129161516,49229650
2016,9,22,9,49,AM,39.14968667,-77.01302833,49185484,49201899
2018,8,21,8,15,AM,39.08451667,-77.07846,582342880,49257997
2015,2,9,3,38,PM,39.070275,-77.131235,49264860,49191866
2017,10,22,4,13,PM,39.19727667,-77.25195833,49182955,49182959
2017,5,11,10,36,AM,39.05836833,-77.04838333,49136642,49285888
2016,8,1,11,28,AM,39.11324833,-77.23638333,1170540320,1813210159
2017,8,18,4,2,PM,39.05334,-77.109655,49300617,49305334
2018,2,21,8,14,AM,39.01450667,-77.089335,49283821,49287088
2018,12,18,6,49,PM,39.14,-77.04,49258824,49334161
2018,11,1,10,15,AM,39.09241717,-76.940439,869770106,49229704
2017,5,1,2,21,PM,38.98168533,-77.00985617,49286943,3366677293
2016,3,1,3,28,PM,39.23617667,-77.27582667,49227501,1170606420
2015,2,12,2,2,PM,39.00668667,-77.07876,49143722,293011478
2019,3,16,8,18,PM,39.06191704,-76.96072078,49281199,582802773
2019,1,3,8,15,AM,39.14042005,-77.22069819,49282987,1170540658
2018,10,11,12,42,PM,39.11612917,-77.07522667,4343745218,3742199763
2017,9,30,4,29,PM,39.0154,-76.97777833,49253819,667224552
2016,9,29,8,7,PM,39.15244,-77.19595667,1316712894,393461573
2016,7,5,8,29,AM,39.09099667,-77.12971333,49310433,825313112
2016,4,24,4,45,PM,39.06885064,-77.00274467,49243081,797787195
2017,2,28,8,13,PM,39.14585046,-77.21983463,49235841,49282967
2015,10,23,7,21,PM,39.00036333,-76.988055,723642984,1458405615
2016,9,28,9,22,AM,39.04559333,-76.990825,911523906,1985538375
2018,3,25,2,10,PM,39.07797,-77.122989,49307354,900898738
2016,3,8,5,45,PM,39.07950833,-76.94464667,49183802,49350632
2015,11,22,4,31,PM,39.15457167,-77.192365,49367534,1650280031
2017,10,7,11,16,PM,39.14170405,-77.19817042,49159339,49210801
2019,4,21,8,59,PM,39.02643167,-77.14181167,2562060523,292598883
2016,6,30,7,12,PM,38.98594389,-76.98816285,667222136,49288691
2017,3,16,12,28,PM,39.08520433,-77.147545,49259462,4557876826
2016,11,24,7,37,AM,39.1093799,-77.07602262,599164337,599164338
2018,5,28,2,6,PM,39.05070194,-77.11763978,648538736,795429588
2016,3,23,1,33,PM,39.10073077,-77.15675443,49367458,245152580
2018,2,27,1,0,PM,38.99853867,-77.05618633,49184046,495184291
2019,2,21,6,25,AM,39.15936167,-77.198285,1170524264,1988195366
2017,5,11,10,17,AM,39.15623803,-77.1645999,903703816,903703822
2016,11,11,1,58,PM,39.16346517,-77.28456438,1170553349,1170553285
2015,11,19,11,40,AM,39.1126557,-77.07014322,49271441,3643587390
2016,10,26,12,28,PM,39.03462,-77.106735,49291685,49291687
2016,9,1,7,5,AM,39.14815,-77.23699667,49299816,1992176937
2017,6,12,1,5,PM,39.111251,-76.994852,797787310,797787309
2016,8,4,11,13,AM,39.02291,-77.13228167,49199587,1258102874
2018,5,24,9,57,AM,39.20228833,-77.25264833,1065064180,49260627
2016,5,31,7,37,AM,38.97412667,-77.12387667,293561047,2189162382
2015,10,28,12,48,PM,39.14928265,-77.01370955,49185484,49209502
2015,1,26,3,48,PM,38.96539167,-77.08863,49192983,1064368187
2017,11,3,2,40,PM,39.03162667,-77.00460333,49322091,49184657
2017,4,28,11,10,AM,39.006755,-77.049195,49152875,49184065
2015,9,27,10,30,PM,38.99303333,-76.99056833,49189997,49196999
2018,12,29,10,51,AM,39.12897044,-77.16756348,341503378,1193764341
2016,11,23,10,17,AM,39.05485667,-76.99530833,797787121,797787123
2018,3,22,9,32,AM,38.97941167,-77.13133833,49158020,49174100
2018,4,25,10,23,AM,39.18297576,-77.25769401,839511957,1157167349
2015,11,27,5,2,PM,39.030142,-77.047732,49234256,49234254
2017,12,24,1,46,PM,39.16323,-77.283575,1170553431,49196712
2017,3,13,5,17,PM,39.010165,-76.979175,911545640,49160842
2018,10,9,7,14,PM,39.10014451,-77.0771116,1069867147,582343012
2016,8,12,12,0,PM,39.25366833,-77.22898167,49230184,49260489
2018,8,28,10,27,PM,38.987055,-77.07725167,49247241,2146603062
2017,6,13,1,40,PM,39.03900833,-77.07781833,49214699,49244245
2018,7,8,5,3,PM,39.01110167,-76.97897,911545640,49160842
2017,6,13,6,51,PM,39.20146167,-77.25377167,1065064169,1065081941
2018,6,7,8,11,PM,39.108575,-77.21809,1065042023,1065042058
2016,4,13,7,4,AM,39.192165,-77.152295,49178958,49178963
2018,10,1,12,21,PM,39.08239,-76.94618,834922359,49350488
2015,11,5,7,1,AM,39.205705,-77.18617167,49152012,49152193
2016,6,12,12,4,AM,39.020405,-77.01313,555738398,553742245
2018,5,10,3,21,PM,39.09323177,-77.07932711,582343088,1069867040
2019,3,12,12,30,PM,39.06015167,-77.050825,1193729527,1193729466
2017,6,19,6,18,PM,39.18724667,-77.27383,49153239,49153257
2017,12,8,8,45,PM,39.1008645,-77.19147367,2280630942,2280630959
2016,9,14,8,49,AM,39.16781773,-77.18322515,49187364,49231453
2018,2,19,7,32,AM,39.09578333,-77.00225833,49184778,797787231
2015,9,18,8,10,AM,38.94994333,-77.10211833,49211107,870406953
2019,5,7,12,54,PM,38.96265833,-77.12109,393454817,4633510439
2017,12,6,7,43,PM,39.07579167,-77.11815667,5343127374,900908813
2015,11,20,11,0,PM,39.04465273,-77.11179256,296990714,3720673736
2017,8,20,2,26,PM,39.17597,-77.20961833,49130117,49130127
2017,4,4,1,27,PM,39.01172667,-77.09825833,290765475,5330882402
2016,7,2,7,56,AM,39.01114167,-76.97748333,655209821,655211025
2018,2,28,12,6,PM,38.98817667,-77.099095,49163869,49163871
2019,5,24,7,0,AM,39.0849255,-77.14784617,49186438,49259462
2019,5,27,8,15,AM,39.067215,-77.05793333,49227853,3742207491
2015,7,11,4,34,PM,39.162121,-77.270837,49209739,1788903600
2015,12,10,3,32,PM,39.20474833,-77.24584333,648286107,49260613
2015,2,21,4,48,PM,39.08528,-77.20618,49312164,49312169
2019,4,10,1,10,PM,38.99582467,-77.077389,49248682,49257896
2017,2,12,11,35,PM,39.14951667,-77.36099,49193922,49193951
2017,3,8,8,18,PM,38.992815,-76.99129333,554978721,554978855
2017,4,25,7,58,AM,39.1510365,-77.06226717,779147515,49330931
2015,11,10,10,43,PM,39.20206167,-77.184455,49254036,1561887274
2015,7,6,7,17,PM,39.19402833,-77.24347167,674596530,674596531
2019,3,4,12,50,PM,39.05313833,-77.113425,49167265,49286890
2017,9,3,5,28,PM,39.02346167,-77.011415,711252248,1295629301
2016,4,23,11,50,PM,39.09036333,-77.07195167,49369109,3629504240
2016,1,2,4,19,PM,39.176102,-77.263606,1221037921,838296327
2019,4,25,6,56,AM,39.13177333,-77.22559167,49282997,49283009
2019,1,15,5,20,PM,39.289972,-77.20553917,49245301,49260765
2016,12,11,12,19,AM,39.16241167,-77.21437,903709952,49130193
2018,8,20,2,30,PM,38.9838273,-77.09398718,666985881,1037951709
2015,4,23,6,15,AM,39.000065,-76.99065833,723642984,1458405615
2015,8,19,2,21,PM,39.06188833,-76.99843,797787174,797787200
2018,11,29,1,15,PM,39.09274119,-77.08093931,49271206,3674099440
2017,4,11,4,32,PM,39.13241548,-76.91861853,869778786,1493903194
2017,3,10,9,13,AM,39.08279833,-77.13535667,49245639,49254605
2015,4,29,7,17,PM,39.035295,-76.99684333,49164243,49213185
2015,12,4,2,45,PM,38.99820818,-77.00359225,49272317,49272338
2016,9,16,4,38,PM,39.151163,-77.21015453,903710835,903707595
2016,3,22,8,18,AM,39.11428333,-77.07562167,3742199769,582640443
2017,6,5,3,2,PM,39.07611167,-77.18230833,49219540,49231817
2016,11,13,11,33,AM,39.15661241,-77.16516852,903703816,903703822
2019,3,20,1,50,PM,39.04316167,-77.05266,49173317,49173319
2017,9,25,5,40,PM,39.182945,-77.15050167,903703782,903703747
2018,5,15,8,35,AM,38.98146855,-76.98883876,49220115,3047784987
2015,6,28,9,21,PM,39.08051517,-77.13765133,3129433800,599164259
