year,month,day,hour,minute,lat,lon,node_1,node_2
2020,8,12,14,45,40.717754,-73.75815,42845585,42845588
2020,8,1,9,0,40.653984,-73.7427,42831938,42832214
2020,7,23,14,15,40.550816,-74.16572,42976536,42976544
2020,7,4,0,25,40.73243,-73.83512,597389887,511252384
2020,8,4,18,0,40.7182,-73.80137,42899845,42899849
2020,6,30,13,30,40.70998,-73.963936,42501314,42505383
2020,8,16,16,6,40.827496,-73.90527,42762858,42768816
2020,7,12,12,40,40.745567,-73.971825,42449691,42422899
2020,8,9,11,22,40.59661,-73.95693,42506086,42514120
2020,7,21,9,0,40.729855,-73.81853,42865600,42881691
2020,7,10,5,15,40.63057,-73.92712,42503210,42521011
2020,8,16,17,25,40.657413,-73.983,588152222,42496466
2020,7,16,21,46,40.86131,-73.92124,42445644,42451736
2020,8,20,20,0,40.829597,-73.902245,42742479,42764660
2020,7,30,14,54,40.75205,-73.92792,42876795,42926409
2020,7,25,15,20,40.676666,-73.90607,42515447,597748787
2020,8,16,9,55,40.679695,-73.90959,42477955,42477959
2020,8,14,12,50,40.755157,-73.83566,42895118,42895121
2020,8,8,8,22,40.5839,-73.93874,42477402,2318552248
2020,7,31,8,55,40.870346,-73.9044,42719562,42742974
2020,7,12,23,20,40.67547,-73.85953,42846236,42845878
2020,7,3,15,0,40.757393,-73.94041,42876757,42889760
2020,6,29,17,0,40.849323,-73.859436,42758090,42761403
2020,7,26,13,25,40.695827,-73.9819,598043812,588036488
2020,8,5,16,25,40.737606,-73.74073,280229275,464737828
2020,7,18,20,55,40.678425,-73.92744,42485616,42515961
2020,7,8,12,15,40.735588,-73.97945,42451787,1692450029
2020,7,1,5,55,40.697243,-73.813324,2931099284,42821885
2020,7,8,11,0,40.745285,-73.94831,42855824,42825919
2020,7,10,17,40,40.743767,-73.83748,106643601,106657384
2020,7,31,9,0,40.675045,-73.892235,42467155,42468359
2020,8,8,23,40,40.70313,-73.816795,3915754594,280641025
2020,7,8,19,15,40.8165,-73.946556,42435844,42439588
2020,8,11,9,0,40.70654,-73.95041,42477588,42514959
2020,7,4,17,0,40.70743,-73.95505,42488278,42491450
2020,6,29,14,40,40.64254,-73.87652,452389990,452393056
2020,7,18,20,25,40.655834,-73.839035,42874477,2756630002
2020,7,10,1,29,40.81304,-73.908165,42755244,42768288
2020,7,20,0,0,40.716557,-73.82869,280637997,461784428
2020,7,2,16,35,40.827873,-73.93466,371337197,371337250
2020,7,19,13,20,40.73866,-73.81027,462109416,462109427
2020,7,3,20,45,40.702686,-73.92084,42511927,42521479
2020,8,18,12,48,40.839367,-73.941025,561035380,561035381
2020,7,12,15,40,40.8452,-73.92444,42743072,60924370
2020,7,9,2,25,40.861862,-73.91282,595749116,60915916
2020,7,20,13,40,40.69811,-73.94496,42526320,42471867
2020,8,17,13,50,40.644043,-73.93606,42493079,42537046
2020,8,3,17,25,40.67046,-73.88788,42515098,42515102
2020,6,30,13,44,40.846275,-73.892075,42757581,42775429
2020,7,28,9,40,40.737694,-73.88224,276314976,2089938012
2020,8,12,18,35,40.677868,-73.93742,597826193,42475395
2020,8,1,7,50,40.75829,-73.83431,5421218205,42870465
2020,8,16,7,0,40.65417,-73.91375,1942053911,2806833913
2020,8,12,18,50,40.82403,-73.94476,42432963,42434255
2020,8,14,16,15,40.552948,-74.168106,42999090,42999095
2020,7,18,12,10,40.830704,-73.89959,42763850,42765298
2020,7,9,22,30,40.67036,-73.94262,42518580,42467463
2020,8,8,23,40,40.81391,-73.95218,42427531,42448607
2020,8,3,8,31,40.82735,-73.82301,42747638,42758919
2020,7,21,16,38,40.84731,-73.9149,42758058,42770697
2020,7,4,20,13,40.757668,-73.95915,3785586748,276036211
2020,8,4,14,20,40.632725,-73.90017,42460142,42460148
2020,7,26,3,19,40.7331,-73.80499,42841950,5146436884
2020,8,5,5,20,40.72556,-73.89849,597363867,597328292
2020,8,1,20,5,40.813652,-73.906975,42733578,42733581
2020,7,9,13,51,40.628654,-73.99517,2620907639,42521616
2020,7,7,16,50,40.86964,-73.863396,42746704,42762616
2020,7,11,19,20,40.638695,-73.87859,452389379,452393062
2020,7,29,22,0,40.772507,-73.74302,42906393,42843931
2020,7,31,6,38,40.813175,-73.89845,42748728,42753420
2020,7,8,22,37,40.62298,-73.96381,42526484,42528324
2020,7,17,9,25,40.828407,-73.84392,42721635,596455943
