osmid,x,y,ref,highway
67111391,-71.121213,41.707014,,
67111511,-71.179846,41.682259,,
67111563,-71.150417,41.693528,,
67111589,-71.160277,41.688728,,
67111678,-71.145257,41.69312,7-6,motorway_junction
67111694,-71.10825,41.746489,,
67112042,-71.179049,41.6789,,
67112119,-71.13194,41.702397,,
67112137,-71.148017,41.682976,,
67112178,-71.154957,41.71235,,
67112284,-71.146718,41.663624,,
67112289,-71.160754,41.698786,,
67112305,-71.140706,41.681005,,
67112308,-71.130079,41.709919,,
67112590,-71.150088,41.664253,,
67112621,-71.157303,41.704108,,
67112629,-71.192126,41.679393,,
67112653,-71.155389,41.683126,,
67112705,-71.155374,41.695255,,
67112723,-71.142324,41.66437,,
67112729,-71.1584346,41.7030066,,
67112747,-71.142828,41.699615,,
67112771,-71.1574054,41.7105255,,
67112794,-71.183921,41.686537,,
67112840,-71.128088,41.692882,,
67112954,-71.166468,41.697933,,
67113068,-71.159634,41.697188,,
67113105,-71.150465,41.703888,,
67113146,-71.137045,41.729835,,
67113153,-71.166714,41.700689,,
67113190,-71.125171,41.687379,,
67113266,-71.131396,41.705233,,
67113323,-71.172923,41.684065,,
67113347,-71.145068,41.680965,,
67113420,-71.135566,41.72129,,
67113429,-71.167318,41.698919,,
67113456,-71.130341,41.707785,,
67113601,-71.141884,41.725315,,
67113754,-71.163059,41.677858,,
67113761,-71.144346,41.722964,,
67113769,-71.125545,41.690365,,
67113853,-71.169582,41.698396,,
67114235,-71.154756,41.68829,,
67114283,-71.133113,41.636823,,
67114496,-71.152458,41.669241,,
67114505,-71.123619,41.709071,,
67114582,-71.1294879,41.712037,,
67114589,-71.149601,41.724455,,
67114613,-71.148548,41.684177,,
67114620,-71.138541,41.722863,,
67114644,-71.159543,41.700066,,
67114649,-71.164632,41.696636,,
67114668,-71.150757,41.681026,,
67114687,-71.044763,41.721989,,
67114763,-71.127796,41.733831,,
67114913,-71.147192,41.708172,,
67114957,-71.154337,41.675517,,
67115000,-71.146949,41.718858,,
67115023,-71.1550663,41.6993614,,
67115063,-71.128098,41.694356,,
67115274,-71.1680822,41.6704209,,
67115283,-71.157158,41.687378,,
67115295,-71.12724,41.73428,,
67115781,-71.11319,41.736863,,
67115800,-71.110663,41.762826,,
67115810,-71.130558,41.690279,,
67115841,-71.12563,41.706834,,
67115897,-71.167998,41.687531,,
67116056,-71.15364,41.69612,,
67116104,-71.135729,41.711696,,
67116210,-71.150055,41.709409,,
67116226,-71.150964,41.719074,,
67116289,-71.132338,41.70473,,
67116369,-71.132513,41.724935,,
67116389,-71.155516,41.664819,,
67116408,-71.13036,41.705044,,
67116500,-71.175207,41.681026,,
67116730,-71.14648,41.698632,,
67116741,-71.146842,41.676062,,
67116807,-71.127115,41.709699,,
67116816,-71.149013,41.708602,,
67116838,-71.134137,41.690996,,
67116846,-71.146937,41.71033,,
67116860,-71.180397,41.685945,,
67116910,-71.124037,41.682413,,
67117070,-71.188155,41.67505,,
67117123,-71.071161,41.702684,,
67117144,-71.12962,41.693147,,
67117170,-71.14711,41.706189,,
67117202,-71.169116,41.668708,,
67117250,-71.152027,41.692653,,
67117291,-71.158085,41.705849,,
67117380,-71.155135,41.67774,,
67117507,-71.126294,41.684664,,
67117514,-71.130401,41.702118,,
67117621,-71.1596193,41.7046525,,
67117642,-71.172379,41.686513,,
67117645,-71.135474,41.726874,,
67117656,-71.157099,41.720473,,
67117710,-71.155194,41.669366,,
67117734,-71.125691,41.686518,,
67117841,-71.152007,41.702968,,
67117852,-71.15269,41.720119,,
67117872,-71.128395,41.70248,,
67117881,-71.130353,41.68956,,
67118321,-71.136879,41.731004,,
67118356,-71.17784,41.680509,,
67118393,-71.138364,41.711473,,
67118490,-71.15824,41.701033,,
67118547,-71.132715,41.710861,,
67118578,-71.150425,41.71578,,
67118627,-71.142939,41.682103,,traffic_signals
67118698,-71.135442,41.684506,8A,motorway_junction
67118841,-71.139559,41.713123,,
67118844,-71.151518,41.719874,,
67119074,-71.164773,41.687876,,
67119184,-71.1216,41.685286,,
67119201,-71.170533,41.691499,,
67119213,-71.157731,41.703033,,
67119251,-71.070213,41.717515,,
67119383,-71.157679,41.70082,,
67119414,-71.131029,41.71167,,
67119432,-71.133467,41.694317,,
67119540,-71.148668,41.686399,,
67119551,-71.191181,41.679843,,
67119581,-71.179412,41.687002,,
67119587,-71.149759,41.697173,,
67119685,-71.132807,41.685904,,
67119738,-71.19395,41.677723,,
67119830,-71.173224,41.697031,,
67119909,-71.137909,41.683679,3,motorway_junction
67119932,-71.121059,41.704022,,
67120015,-71.123821,41.749489,,
67120049,-71.137666,41.69168,,
67120059,-71.149178,41.685026,,
67120125,-71.130627,41.735796,,
67120145,-71.14169,41.697121,,
67120410,-71.144262,41.703702,,
67120471,-71.154365,41.696461,,
67120558,-71.131388,41.69873,,
67120757,-71.1489,41.697346,,
67120982,-71.138938,41.72796,,
67121060,-71.129213,41.731595,,
67121113,-71.156512,41.686432,,
67121400,-71.137251,41.711281,,
67121439,-71.173697,41.681736,,
67121459,-71.139279,41.723972,,
67121638,-71.149378,41.721556,,
67121669,-71.130529,41.711579,,
67121725,-71.013086,41.725183,,
67121877,-71.14797,41.697706,,
67121912,-71.152097,41.699828,,
67121919,-71.162528,41.702609,,
67121927,-71.164137,41.683666,,
67121965,-71.186749,41.682114,,
67121984,-71.131664,41.682997,,
67121998,-71.145277,41.680398,,
67122063,-71.149172,41.715556,,
67122071,-71.157028,41.691318,,
67122093,-71.159918,41.668749,,
67122138,-71.106992,41.762464,,
67122191,-71.153021,41.719428,,
67122214,-71.166681,41.678531,,
67122316,-71.179818,41.673991,,
67122448,-71.152392,41.705192,,
67122531,-71.132853,41.686618,,
67122582,-71.094078,41.693058,,
67122793,-71.131253,41.68907,,
67122933,-71.151846,41.711227,,
67123067,-71.121214,41.752423,,
67123101,-71.15192,41.687713,,
67123157,-71.099464,41.747952,,
67123196,-71.194961,41.677769,,
67123202,-71.14738,41.674585,,
67123216,-71.131044,41.70925,,
67123307,-71.136536,41.68967,,
67123410,-71.131355,41.736773,,
67123470,-71.132415,41.71255,,
67123726,-71.106487,41.762802,,
67123944,-71.146005,41.724738,,
67124038,-71.16838,41.692406,,
67124112,-71.15096,41.694092,,
67124180,-71.134542,41.728239,,
67124221,-71.132713,41.690018,,
67124257,-71.13368,41.730194,,
67124295,-71.117356,41.764177,,
67124494,-71.131662,41.648408,,
67124516,-71.128204,41.730712,,
67124532,-71.156453,41.689425,,
67124542,-71.162075,41.685921,,
67124609,-71.129994,41.720291,,
67124745,-71.10954,41.734677,,
67124820,-71.11498,41.763752,,
67124867,-71.178884,41.67911,,
67124882,-71.058561,41.70778,,
67125023,-71.147231,41.721019,,
67125055,-71.190262,41.677963,,
67125194,-71.018013,41.729963,,
67125215,-71.126896,41.691313,,
67125308,-71.137887,41.696762,,
67125313,-71.132159,41.702436,,
67125351,-71.129114,41.68556,,
67125468,-71.15113,41.705929,,
67125484,-71.1385,41.667568,,
67125537,-71.162062,41.703323,,
67125814,-71.1304,41.737332,,
67125821,-71.13055,41.69245,,
67125894,-71.157015,41.709837,,
67126009,-71.139754,41.70016,,
67126034,-71.154061,41.690388,,
67126144,-71.163605,41.682495,,
67126170,-71.122546,41.689796,,
67126189,-71.175438,41.682056,,
67126274,-71.15085,41.706873,,
67126305,-71.135311,41.713077,,
67126361,-71.157464,41.692398,,
67126460,-71.179776,41.685833,,
67126473,-71.185558,41.688133,,
67126483,-71.155294,41.715648,,
67126497,-71.152287,41.718115,,
67126521,-71.150642,41.686122,,
67126546,-71.151268,41.699679,,
67126601,-71.163942,41.683864,,
67126635,-71.181946,41.685236,,
67126732,-71.1885317,41.6738526,,
67126819,-71.144134,41.686123,,
67126828,-71.127738,41.732403,,
67126838,-71.146159,41.686535,,
67126954,-71.150652,41.669485,,
67127139,-71.137186,41.711032,,
67127176,-71.190537,41.681427,,
67127193,-71.130294,41.713119,,
67127238,-71.139979,41.726296,,
67127265,-71.13,41.707079,,
67127351,-71.127717,41.682052,,
67127448,-71.13175,41.683977,,
67127470,-71.156796,41.685731,,
67127545,-71.120009,41.757576,,
67127622,-71.132178,41.649022,,
67127684,-71.150232,41.72323,,
67127830,-71.1105476,41.7631557,,
67127991,-71.160018,41.675863,,
67128024,-71.128868,41.711914,,
67128137,-71.1495891,41.710813,,
67128157,-71.135641,41.722666,,
67128217,-71.142724,41.72406,,
67128262,-71.16933,41.668407,,
67128444,-71.092767,41.744857,,
67128463,-71.162392,41.700059,,
67128491,-71.174258,41.68833,,
67128691,-71.143054,41.662238,,
67128870,-71.190733,41.6838759,,
67128885,-71.139995,41.711782,,
67128952,-71.147214,41.694892,7,motorway_junction
67128966,-71.141157,41.71884,,
67129030,-71.153818,41.694452,,
67129067,-71.181631,41.686148,,
67129281,-71.128653,41.692348,,
67129346,-71.151562,41.678574,,
67129425,-71.181243,41.687317,,
67129449,-71.132876,41.718375,,
67129495,-71.15405,41.666617,,
67129503,-71.153093,41.673857,,
67129523,-71.117467,41.712308,,
67129534,-71.116312,41.759842,,
67129844,-71.148801,41.681314,,
67129881,-71.167864,41.69992,,
67130121,-71.125384,41.709395,,
67130148,-71.180995,41.677928,,
67130183,-71.133944,41.700946,,
67130237,-71.157092,41.684847,,
67130264,-71.167433,41.682337,,
67130286,-71.151129,41.720258,,
67130490,-71.145278,41.705845,,
67130551,-71.186253,41.684992,,
67130585,-71.150824,41.702118,,
67130591,-71.123624,41.683342,,
67130599,-71.13781,41.69371,,
67130689,-71.156322,41.684702,,
67130725,-71.149125,41.699272,,
67130790,-71.155793,41.708602,,
67130980,-71.157104,41.69688,,
67131007,-71.129666,41.712193,,
67131046,-71.140387,41.661761,,
67131065,-71.189282,41.678233,,
67131125,-71.135867,41.729211,,
67131167,-71.130795,41.695966,,
67131190,-71.126007,41.691811,,
67131199,-71.136707,41.716415,,
67131297,-71.144849,41.681567,,
67131367,-71.135982,41.701705,,
67131384,-71.124454,41.704647,,
67131464,-71.152868,41.689549,,
67131484,-71.163699,41.673217,,
67131515,-71.143642,41.667777,,
67131627,-71.136385,41.698437,,
67131767,-71.16314,41.687582,,
67131821,-71.171181,41.673607,,
67131922,-71.13649,41.694846,,
67131960,-71.159553,41.677917,,
67131992,-71.152557,41.717298,,
67132002,-71.150726,41.719045,,
67132014,-71.179037,41.685697,,
67132090,-71.11853,41.754125,,
67132109,-71.1646501,41.6827243,,
67132174,-71.147491,41.689763,,
67132283,-71.154242,41.67267,,
67132307,-71.157593,41.696271,,
67132410,-71.14371,41.699788,,
67132549,-71.129623,41.686819,,
67132620,-71.133473,41.716417,,
67132623,-71.152217,41.695367,,
67132627,-71.1649033,41.6734427,,
67132703,-71.130611,41.693349,,
67132771,-71.151217,41.69606,,
67132909,-71.131772,41.740599,,
67132921,-71.134191,41.731817,,
67132963,-71.160681,41.692775,,
67132990,-71.159433,41.703862,,
67133024,-71.148041,41.673966,,
67133085,-71.148422,41.70909,,
67133111,-71.131236,41.688105,,
67133138,-71.1519833,41.7220814,,
67133158,-71.116884,41.711624,,
67133172,-71.13702,41.680379,,
67133185,-71.151014,41.715889,,
67133232,-71.163834,41.686768,,
67133312,-71.12349,41.719625,,
67133453,-71.121706,41.708826,,
67133555,-71.154497,41.689063,,
67133603,-71.104907,41.741425,,
67133627,-71.130856,41.696872,,
67133876,-71.153572,41.698637,,
67133902,-71.14103,41.668177,,
67133962,-71.1090706,41.7631493,,
67134034,-71.134097,41.699119,,
67134097,-71.15255,41.685666,,
67134148,-71.132317,41.725641,,
67134202,-71.113592,41.76045,,
67134316,-71.152392,41.701399,,
67134409,-71.165687,41.683947,,
67134418,-71.171112,41.696666,,
67134725,-71.131857,41.688613,,
67134790,-71.147421,41.689925,,
67134809,-71.140345,41.70593,,
67134898,-71.139065,41.710035,,
67134979,-71.145159,41.722003,,
67135306,-71.061931,41.705778,,
67135364,-71.125579,41.70348,,
67135441,-71.148419,41.700658,,
