u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
66971694,2380757526,0,False,secondary,Essex Avenue,482.088,2,12.2,,,,,,,,,9078227,MA 133
271526613,271527631,0,True,trunk,Grant Circle,41.13,2,48.8,,55 mph,,,,,,roundabout,91994477,MA 128
271526862,271526870,0,True,motorway,Yankee Division Highway,1722.516,2,48.8,,55 mph,,,yes,,,,"[71371360, 56722820, 51832102, 56722778, 51832093]",MA 128
271526862,271526613,0,True,trunk,Grant Circle,70.684,2,48.8,,55 mph,,,,,,roundabout,91994479,
271526870,766748368,0,True,motorway,Yankee Division Highway,312.525,2,48.8,,55 mph,,,,,,,51832093,MA 128
271526870,766748247,0,True,motorway_link,,157.056,,,,,,,,,,,61410143,
271526873,849151146,0,True,motorway,Yankee Division Highway,1001.081,2,48.8,,55 mph,,,yes,,,,"[60144104, 60144105]",MA 128
271527631,271530130,0,True,secondary,Washington Street,113.471,,,,,,,,,,,24984148,
271527631,271527632,0,True,trunk,Grant Circle,53.518,2,48.8,,55 mph,,,,,,roundabout,91994477,MA 128
271527632,271527633,0,True,trunk,Grant Circle,18.564,2,48.8,,55 mph,,,,,,roundabout,91994477,MA 128
271527633,271527740,0,True,trunk,Grant Circle,52.225,2,48.8,,55 mph,,,,,,roundabout,24984072,
271527633,271527638,0,True,trunk,Yankee Division Highway,1136.139,2,"['48.8', '14.6']",,55 mph,,,yes,,,,"[48836802, 48836806, 48836807, 82146696, 48836783]",MA 128
271527638,691553855,0,True,trunk,,12.551,1,,,,,,,,,roundabout,91828512,MA 128
271527734,271527740,0,True,trunk,Yankee Division Highway,1141.412,2,"['14.6', '48.8']",,55 mph,,,yes,,,,"[48836804, 48836805, 48832681, 48832682, 9078189]",MA 128
271527734,271527638,0,True,trunk,,90.115,1,,,,,,,,,roundabout,91828507,
271527740,632488575,0,True,trunk,Grant Circle,14.905,2,48.8,,55 mph,,,,,,roundabout,91994478,MA 128
271527929,616746198,0,False,unclassified,Old Rockport Road,468.688,2,,,,,,,,,,9566989,
271527929,271528320,0,True,unclassified,Old Rockport Road,159.838,1,,,,,,,,,,24984051,
