u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
61180463,71937335,0,False,residential,Upland Road,209.764,2,12.2,,,,,,,,,9429454,
61180463,66452245,0,False,tertiary,"['Curtis Street', 'Winthrop Street']",83.825,2,12.2,,,,,,,,,"[9038936, 8604950]",
61180463,61180825,0,False,tertiary,Curtis Street,57.991,2,12.2,,,,,,,,,8604950,
61180825,61180463,0,False,tertiary,Curtis Street,57.991,2,12.2,,,,,,,,,8604950,
66421205,66448470,0,False,residential,Clewley Road,178.694,2,15.2,,,,,,,,,9038495,
66421205,66475032,0,False,residential,Clewley Road,89.119,2,15.2,,,,,,,,,9038495,
66421205,66445169,0,False,residential,Gleason Street,276.182,2,12.8,,,,,,,,,9038516,
66421210,66440669,0,False,residential,Victor Street,94.049,2,11.0,,,,,,,,,9038659,
66421210,66431273,0,False,residential,Maurice Street,263.464,2,11.3,,,,,,,,,9039030,
66421218,66443467,0,False,residential,Ronaele Road,46.133,2,15.9,,,,,,,,,9038519,
66421218,66421667,0,False,residential,Headland Way,83.453,2,15.2,,,,,,,,,9037730,
66421218,66445022,0,False,residential,Ronaele Road,292.658,2,15.9,,,,,,,,,9038519,
66421236,66437347,0,False,residential,Second Street,186.454,2,12.2,,,,,,,,,9037751,
66421236,66456499,0,False,residential,"['Craddock Avenue', 'First Street']",228.298,"['1', '2']","['12.8', '7.6']",,,,,,,,,"[9038288, 9037720]",
66421236,66454162,0,False,residential,Craddock Avenue,89.223,1,7.6,,,,,,,,,9038288,
66421246,66458969,0,False,residential,Hicks Avenue,75.322,2,15.5,,,,,,,,,9038234,
66421246,66487987,0,False,tertiary,Main Street,70.961,2,18.3,,,,,,,,,9038738,
66421246,66433662,0,False,residential,Bow Street,39.729,2,15.5,,25 mph,,,,,,,9038972,
66421246,66474485,0,False,tertiary,Main Street,146.352,2,18.3,,,,,,,,,9038738,
66421257,66472751,0,False,residential,Chardon Road,147.932,2,11.6,,,,,,,,,9039098,
66421257,66451162,0,False,secondary,Playstead Road,74.434,2,15.2,,,,,,,,,9037931,
66421257,66441202,0,False,secondary,Playstead Road,79.492,2,15.2,,,,,,,,,9037931,
66421274,66449915,0,False,residential,Arlington Street,158.508,2,13.4,,,,,,,,,9038544,
66421274,66478437,0,False,residential,Arlington Street,37.036,2,13.4,,,,,,,,,9038544,
66421274,66461132,0,False,residential,Hawthorn Street,67.418,2,10.4,,,,,,,,,9038959,
66421287,66432078,0,False,residential,Edison Avenue,129.4,2,12.2,,,,,,,,,9038922,
66421287,66435752,0,False,residential,Capen Street,118.892,2,12.8,,,,,,,,,93045969,
66421287,66458544,0,False,residential,Capen Street,93.93,2,12.8,,,,,,,,,93045969,
66421334,66458871,0,False,residential,Benmor Street,51.183,2,13.7,,,,,,,,,9038994,
66421334,66434734,0,False,residential,Benmor Street,46.807,2,13.7,,,,,,,,,9038994,
66421334,66469951,0,False,residential,Ellsworth Street,183.649,1,13.7,,,,,,,,,9037814,
66421340,66426359,0,False,residential,Massachusetts Avenue,91.43,2,12.2,,,,,,,,,9038274,
66421340,66468013,0,False,secondary,South Border Road,147.002,2,12.2,,,,,,,,,9038730,
66421340,66461981,0,False,secondary,South Border Road,278.276,2,12.2,,,,,,,,,9038730,
66421384,66433757,0,False,residential,Jeremiah Circle,116.983,2,15.2,,,,,,,,,9038879,
66421432,66432667,0,False,tertiary,Fountain Street,38.089,2,12.2,,,,,,,,,9037658,
66421432,66471735,0,False,tertiary,Webster Street,81.569,2,12.2,,,,,,,,,9038470,
66421432,66464103,0,False,residential,Fountain Street,74.163,2,12.2,,,,,,,,,175345327,
66421432,964295327,0,False,tertiary,Webster Street,113.068,2,12.2,,,,,,,,,9038470,
66421466,964294755,0,True,tertiary,Spring Street,15.452,2,15.2,,,,,,,,,82863203,
66421466,66423304,0,False,residential,Yeomans Avenue,88.595,2,12.8,,,,,,,,,9038218,
66421466,66460864,0,False,tertiary,Spring Street,122.772,2,15.2,,,,,,,,,9038880,
66421552,66487243,0,False,secondary,Highland Avenue,48.964,2,18.3,,,,,,,,,9038708,
66421552,66439166,0,False,secondary,Highland Avenue,78.362,2,18.3,,,,,,,,,9038708,
66421552,66456393,0,False,residential,Doonan Street,121.019,2,15.2,,,,,,,,,158277690,
66421563,66457254,0,False,residential,Whittle Terrace,55.882,1,7.6,,,,,,,,,9038862,
66421614,66459803,0,False,residential,Greenhalge Street,150.633,2,11.9,,,,,,,,,9038721,
66421614,66427444,0,False,residential,Saunders Street,158.018,2,11.9,,,,,,,,,9038790,
66421614,66453872,0,False,residential,Saunders Street,77.175,2,11.9,,,,,,,,,9038790,
66421644,66425334,0,True,residential,Royall Street,122.286,2,15.9,,,,,,,,,9037901,
66421644,66447255,0,False,residential,Florence Street,169.845,2,12.2,,,,,,,,,9038834,
66421667,66421218,0,False,residential,Headland Way,83.453,2,15.2,,,,,,,,,9037730,
66421667,66443196,0,False,residential,"['Franklin Avenue', 'Headland Way']",310.437,2,"['14.6', '15.2']",,,,,,,,,"[9037730, 9037941]",
66421667,66469696,0,False,residential,Barbra Lane,184.937,2,15.2,,,,,,,,,9038617,
66421686,66422266,0,False,residential,Bradbury Avenue,84.724,2,12.2,,,,,,,,,9038596,
66421686,66421825,0,True,residential,Third Street,173.798,2,12.2,,,,,,,,,9038324,
66421686,66449852,0,False,residential,Bradbury Avenue,86.965,2,12.2,,,,,,,,,9038596,
66421732,66461230,0,False,tertiary,Forest Street,59.837,2,17.1,,,,,,,,,94329308,
66421732,66444502,0,False,tertiary,Forest Street,55.146,2,17.1,,,,,,,,,94329308,
66421732,66424025,0,False,residential,Homer Circle,76.931,2,18.3,,,,,,,,,9037911,
66421746,66461004,0,True,residential,Smith Street,108.201,1,12.2,,,,,,,,,9038380,
66421746,66481691,0,False,residential,Edward Street,86.914,2,16.5,,25 mph,,,,,,,9039076,
66421746,66451373,0,False,residential,Edward Street,17.228,2,16.5,,25 mph,,,,,,,9039076,
66421753,66425531,0,False,residential,Linwood Street,67.822,2,11.6,,,,,,,,,9038389,
66421753,66466147,0,False,residential,Emerald Street,76.01,2,12.2,,,,,,,,,9038981,
66421753,66445180,0,False,residential,Emerald Street,58.085,2,12.2,,,,,,,,,9038981,
66421781,66461821,0,False,tertiary,Woburn Street,14.379,2,15.2,,,,,,,,,9037809,
66421781,1480706397,0,True,secondary,Playstead Road,274.744,2,29.0,,,,,,,,,9038438,
66421791,66455142,0,False,residential,Riverside Avenue,58.313,2,14.6,,,,,,,,,9037696,
66421791,66443678,0,False,residential,Riverside Avenue,26.528,2,14.6,,,,,,,,,9037696,
66421791,66431325,0,False,residential,Mcdonald Road,43.243,2,9.8,,,,,,,,,9039012,
66421817,66467368,0,False,residential,Vassar Street,85.218,2,12.2,,,,,,,,,9038027,
66421817,66435315,0,False,residential,Buzzell Lane,62.338,1,8.5,,,,,,,,,9038671,
66421817,66452845,0,False,residential,Buzzell Lane,58.535,1,8.5,,,,,,,,,9038671,
66421825,66454162,0,False,residential,Third Street,209.081,2,12.2,,,,,,,,,9039095,
66421825,66437347,0,False,secondary,Middlesex Avenue,84.536,2,15.2,,,,,,,,,80396660,
66421825,66462692,0,False,secondary,Middlesex Avenue,85.534,2,15.2,,,,,,,,,80396660,
66421978,66447072,0,False,residential,Hutchins Road,37.236,2,15.2,,,,,,,,,9037781,
66421978,66432312,0,False,residential,Hutchins Road,70.022,2,15.2,,,,,,,,,9037781,
66421978,1753991102,0,False,residential,Holmes Road,20.286,2,11.3,,,,,,,,,163720259,
66422005,66436175,0,False,tertiary,Willis Avenue,66.559,2,11.9,,,,,,,,,9038490,
