u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
64937768,67732572,0,False,residential,Wells Avenue,165.71,2,9.1,,,,,,,,,9140057,
64957497,67696427,0,False,residential,Franklin Street,101.552,2,15.2,,,,,,,,,9139945,
64963983,67756042,0,False,tertiary,Houghton Street,13.813,2,12.2,,,,,,,,,9140259,
64969809,67698779,0,False,residential,Millard Avenue,233.626,1,7.6,,,,,,,,,9139362,
67662618,67768581,0,False,residential,Notch Road,214.023,2,12.2,,,,,,,,,9139898,
67662618,2338877530,0,False,residential,Woodlawn Avenue,417.787,2,6.1,,,,,,,,,9139924,
67662618,67739691,0,False,residential,Notch Road,1091.817,2,12.2,,,,,,,,,225650979,
67663292,67791906,0,False,residential,Dorothys Way,169.415,,,,,,,,,,,9139556,
67663475,67772254,0,False,residential,Sterling Drive,66.936,,,,,,,,,,,9139653,
67663475,67708714,0,False,residential,Sterling Drive,23.458,,,,,,,,,,,9139653,
67663475,2338789383,0,False,residential,Navajo Drive,171.088,,,,,,,,,,,225054057,
67663514,67789779,0,False,residential,Sylvester Street,70.774,2,12.2,,,,,,,,,9139837,
67663514,67714175,0,False,residential,Lois Street,237.748,2,12.2,,,,,,,,,9139943,
67663514,2344070850,0,False,residential,Lois Street,103.436,2,12.2,,,,,,,,,9140247,
67664103,67738348,0,False,residential,Demond Avenue,85.122,2,10.1,,,,,,,,,9139791,
67664103,67774986,0,False,residential,Demond Avenue,97.326,2,10.1,,,,,,,,,9139791,
67664103,67726610,0,False,residential,Olds Street,228.802,2,7.6,,,,,,,,,9140096,
67664406,2334374419,0,False,residential,Rand Street,182.217,1,6.1,,,,,,,,,9140189,
67664406,67667790,0,False,primary,Union Street,524.588,2,18.3,,35 mph,,,,,,,224198782,MA 2;MA 8
67664406,2343042689,0,False,primary,Union Street,35.71,2,18.3,,35 mph,,,,,,,224198782,MA 2;MA 8
67664882,67704793,0,False,residential,Jackson Street,181.816,2,12.2,,,,,,,,,9140017,
67664882,67775184,0,False,residential,Prospect Street,65.647,2,12.2,,,,,,,,,9140237,
67664882,2338847755,0,False,residential,Prospect Street,49.738,2,12.2,,,,,,,,,9140237,
67664973,67683516,0,False,tertiary,Church Street,82.754,2,12.2,,20 mph,,,,,,,9140277,
67664973,67695306,0,False,residential,Porter Street,116.111,2,13.7,,,,,,,,,9139817,
67664973,67675630,0,False,tertiary,Church Street,99.95,2,12.2,,20 mph,,,,,,,9140277,
67665264,67678419,0,False,residential,Burnham Street,178.472,2,12.2,,,,,,,,,9140061,
67665264,2344009758,0,False,residential,Crest Street,97.046,1,9.1,,,,,,,,,224632099,
67665264,67721458,0,False,residential,Crest Street,292.732,1,9.1,,,no,,,,,,"[224632099, 224632101, 9140070]",
67665767,67690149,0,False,residential,Willow Street,47.778,2,10.4,,,,,,,,,9139718,
