u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
65564568,70531836,0,False,secondary,Margin Street,49.95,2,20.1,,,,,,,,,9341182,MA 35
70452174,70559517,0,False,residential,Louis Road,394.593,2,14.6,,,,,,,,,9340480,
70452174,70471142,0,False,residential,Diane Road,503.976,2,14.6,,,,,,,,,9342709,
70452174,70545736,0,False,residential,"['Diane Road', 'John Road']",287.946,2,14.6,,,,,,,,,"[9342709, 9342046]",
70452195,70505767,0,False,residential,Emerson Avenue,157.541,2,13.4,,,,,,,,,9341192,
70452195,70563205,0,False,residential,Right Of Way,67.581,1,7.6,,,,,,,,,9342388,
70452195,70573529,0,False,residential,Right Of Way,62.56,1,7.6,,,,,,,,,9342388,
70452257,70496741,0,False,residential,Bartholomew Terrace,322.983,2,14.6,,,,,,,,,9342607,
70452269,70452269,0,False,residential,"['Dudley Circle', 'Dudley Street']",260.083,2,10.7,,,,,,,,,"[9340541, 9340470]",
70452269,70452269,1,False,residential,"['Dudley Circle', 'Dudley Street']",260.083,2,10.7,,,,,,,,,"[9340541, 9340470]",
70452269,70537806,0,False,residential,Dudley Street,81.986,2,10.7,,,,,,,,,9340541,
70452483,70507201,0,True,residential,Franklin Street,85.502,2,11.6,,,,,,,,,9340438,
70452483,70512603,0,False,secondary,Foster Street,47.883,2,15.9,,25 mph,,,,,,,9341980,
70452483,70504571,0,False,secondary,Foster Street,64.258,2,15.9,,25 mph,,,,,,,9341980,
70452657,70557170,0,False,residential,Violet Road,179.299,2,10.4,,,,,,,,,9340475,
70452657,70563409,0,False,residential,Barrett Road,145.094,2,11.6,,,,,,,,,9342342,
70452657,70506474,0,False,residential,Dahlia Avenue,335.124,2,12.2,,,,,,,,,"[295307340, 9342556]",
70452657,70517366,0,False,residential,Violet Road,78.043,2,10.4,,,,,,,,,295307513,
70452793,70541589,0,False,residential,Hamilton Road,81.306,2,15.2,,,,,,,,,9342644,
70452855,70482303,0,False,residential,Elginwood Road,97.611,2,9.1,,,,,,,,,9340648,
70452855,70466377,0,False,residential,Belfast Street,169.144,2,18.3,,,,,,,,,9342707,
70452855,70503624,0,False,tertiary,Lake Street,280.992,2,9.1,,,,,,,,,92357464,
70452855,70496999,0,False,tertiary,Lake Street,88.76,2,9.1,,,,,,,,,92357464,
70452966,70543653,0,False,tertiary,Allens Lane,13.72,2,13.7,,,,,,,,,9341393,
70452966,70555097,0,False,tertiary,Allens Lane,282.545,2,13.7,,,,,,,,,9341393,
70452966,70528478,0,False,residential,,74.87,,,,,,,,,,,442655646,
70453089,70515789,0,False,residential,Collins Street,71.215,2,10.4,,,,,,,,,9340546,
70453089,70507198,0,False,residential,Shamrock Street,86.168,2,10.4,,,,,,,,,9342032,
70453089,70469350,0,False,residential,Collins Street,80.595,2,10.4,,,,,,,,,9340546,
70453089,70502822,0,False,residential,Shamrock Street,169.709,2,10.4,,,,,,,,,9342032,
70453120,70533052,0,False,secondary,Foster Street,7.183,2,15.9,,25 mph,,,,,,,9341980,
70453120,70512603,0,False,secondary,Foster Street,85.285,2,15.9,,25 mph,,,,,,,9341980,
70453216,70518190,0,False,secondary,Washington Street,19.345,2,18.6,,,,,,,,,9340503,
70453216,70483220,0,False,secondary,Washington Street,98.55,2,18.6,,,,,,,,,9340503,
70453216,70543653,0,False,tertiary,Allens Lane,211.223,2,13.7,,,,,,,,,9341393,
70453246,70486475,0,False,residential,Randall Road,109.749,2,13.4,,,,,,,,,9341176,
70453246,70482902,0,False,residential,Nichols Road,90.81,2,13.4,,,,,,,,,9342650,
70453246,70525948,0,False,residential,Nichols Road,135.459,2,13.4,,,,,,,,,9342650,
70453325,70568538,0,False,residential,Spring Street Court,42.931,2,7.9,,,,,,,,,9340500,
70453325,70496195,0,False,residential,Spring Street,73.741,2,13.4,,,,,,,,,9342212,
70453325,70512603,0,False,residential,Spring Street,66.0,2,13.4,,,,,,,,,9342212,
70453376,70574682,0,False,residential,Jones Road,66.944,2,13.4,,,,,,,,,9342812,
70453376,70514324,0,False,residential,Jones Road,119.426,2,13.4,,,,,,,,,9342812,
70453376,70534201,0,False,residential,Anzio Circle,119.382,2,13.4,,,,,,,,,9341341,
70453639,70573769,0,False,residential,Myles Road,76.837,2,14.6,,,,,,,,,9342379,
70453639,70573769,1,False,residential,"['Pond Street', 'Bowen Road', 'Britton Road']",350.002,2,"['14.6', '14.0']",,,,,,,,,"[9342200, 9342488, 9342554]",
70453639,70524143,0,False,residential,Myles Road,180.085,2,14.6,,,,,,,,,9342379,
70453733,70465382,0,False,residential,Canterbury Drive,344.171,2,13.4,,,,,,,,,9342596,
70453733,70497160,0,False,residential,Sabino Farm Road,59.614,2,12.2,,30 mph,,,,,,,9342751,
70453733,70494048,0,False,residential,Sabino Farm Road,115.576,2,12.2,,30 mph,,,,,,,9342751,
70454069,70460791,0,False,residential,Audette Street,84.285,2,10.4,,,,,,,,,9342716,
70454069,70462085,0,False,residential,Ellsworth Road,60.899,2,10.4,,,,,,,,,9342735,
70454069,70581398,0,False,residential,Ellsworth Road,120.965,2,10.4,,,,,,,,,9342735,
70454278,70490509,0,False,residential,Oran Circle,244.926,2,13.1,,,,,,,,,9341444,
70454286,70454286,0,False,residential,"['Wiseman Drive', 'Sheffield Drive']",614.64,2,18.3,,,,,,,,,"[9341528, 9342374]",
70454286,70454286,1,False,residential,"['Wiseman Drive', 'Sheffield Drive']",614.64,2,18.3,,,,,,,,,"[9341528, 9342374]",
70454286,70497160,0,False,residential,Wiseman Drive,103.799,2,18.3,,,,,,,,,9342374,
70454311,70515789,0,False,residential,Collins Street,82.049,2,10.4,,,,,,,,,9340546,
70454311,70482047,0,False,residential,Kenwood Road,75.806,2,14.6,,,,,,,,,9342585,
70454311,70540603,0,False,residential,Driscoll Street,90.244,2,14.6,,,,,,,,,9341819,
70454311,70574576,0,False,residential,Driscoll Street,239.703,2,14.6,,,,,,,,,9341819,
70454590,70467326,0,False,residential,Bald Hill Lane,57.814,2,,,,,,,,,,9341647,
70454590,70461101,0,False,residential,Emily Lane,65.751,2,,,,,,,,,,9342538,
70454590,70459031,0,False,residential,Emily Lane,75.963,2,,,,,,,,,,9342538,
70454648,70565983,0,False,residential,Normandy Drive,101.454,2,13.1,,,,,,,,,9340466,
70454648,70490509,0,False,residential,Moulton Road,206.691,2,13.4,,,,,,,,,9341674,
70454648,70509931,0,False,residential,Moulton Road,174.633,2,13.4,,,,,,,,,9341674,
70454747,70537679,0,False,residential,Walsh Avenue,76.657,2,15.2,,,,,,,,,9341677,
70454747,70492858,0,False,residential,Sheldon Road,153.603,2,12.2,,,,,,,,,9341926,
70454747,70482123,0,False,residential,Walsh Avenue,108.095,2,15.2,,,,,,,,,9341677,
70454765,70482631,0,False,tertiary,Walnut Street,22.634,2,15.9,,,,,,,,,9342193,
70454765,70561245,0,False,tertiary,Walnut Street,84.357,2,15.9,,,,,,,,,9342193,
70454765,70477395,0,True,residential,Harris Street,234.352,2,9.1,,,,,,,,,9342508,
70454804,70520872,0,False,residential,Anthony Road,44.325,2,15.2,,,,,,,,,9342711,
70454804,70582690,0,False,residential,Anthony Road,54.935,2,15.2,,,,,,,,,9342711,
70454804,70551988,0,False,residential,Summit Terrace,386.8,2,12.2,,,,,,,,,9341735,
70454875,70524492,0,False,residential,Jacobs Street,34.356,2,11.0,,,,,,,,,9341556,
70454875,70532068,0,False,residential,Jacobs Street,195.873,2,11.0,,,,,,,,,9341556,
70454875,70479924,0,False,residential,"['Stevens Street', 'Ash Street']",264.623,2,"['11.6', '9.1']",,,,,,,,,"[9342507, 9342028]",
70454913,70482583,0,False,residential,Packard Road,273.659,2,14.6,,,,,,,,,9340432,
70454913,70482583,1,False,residential,Bradford Road,290.964,2,15.2,,,,,,,,,9341539,
70454913,70567785,0,False,residential,Bradford Road,226.0,2,15.2,,,,,,,,,9341539,
70455035,70529042,0,False,residential,Buxton Street,101.974,2,11.0,,,,,,,,,9340616,
70455035,70522734,0,False,tertiary,Warren Street,149.0,2,15.9,,,,,,,,,9341264,
70455035,70564681,0,False,tertiary,Warren Street,59.408,2,15.9,,,,,,,,,9341264,
70455154,70504378,0,False,residential,,521.217,,,,,,,,,,,9340905,
70455154,70504378,1,False,tertiary,Centennial Drive,272.332,2,21.3,,,,,,,,,9341413,
70455154,70575719,0,False,tertiary,Centennial Drive,58.031,2,21.3,,,,,,,,,9341413,
70455336,70505712,0,False,residential,Honey Lane,71.673,2,15.2,,,,,,,,,9341561,
70455336,70577559,0,False,tertiary,First Avenue,174.336,2,10.7,,,,,,,,,9341624,
70455336,70539551,0,False,secondary,Lynnfield Street,159.352,2,16.2,,,,,,,,,9341711,
70455336,70538809,0,False,secondary,Lynnfield Street,76.976,2,16.2,,,,,,,,,9341711,
