u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
67804363,68272848,0,False,secondary,West Main Street,32.003,2,15.2,,,,,,,,,9177945,
67804363,68168345,0,False,secondary,West Main Street,236.65,2,15.2,,,,,,,,,9177945,
67804363,67878327,0,False,residential,Craigwood Road,53.034,2,,,,,,,,,,9179801,
67805051,68102281,0,False,residential,Highland Street,171.311,2,12.2,,,,,,,,,9177033,
67805051,68225067,0,False,tertiary,Old Colony Road,222.483,2,12.2,,30 mph,,,,,,,9179293,
67805051,68138090,0,False,tertiary,Old Colony Road,84.814,2,12.2,,30 mph,,,,,,,9179293,
67805653,68138954,0,False,unclassified,Communication Way,15.909,,,,,,,,,,,9180320,
67805653,68270446,0,True,tertiary,Independence Drive,426.873,2,26.2,,,,,,,,,9177915,
67805674,67937445,0,False,secondary,Barnstable Road,105.073,2,12.2,,,,,,,,,9177226,
67805674,67968716,0,False,secondary,Barnstable Road,69.084,2,15.2,,30 mph,,,,,,,9178067,
67805674,68115189,0,False,secondary,Center Street,90.035,2,15.2,,,,,,,,,9179261,
67805674,68224514,0,False,tertiary,Charles Street,101.391,2,12.2,,,,,,,,,9179908,
67805713,68083580,0,False,residential,Blake Street,49.24,2,9.1,,,,,,,,,9177360,
67805713,68035172,0,False,residential,Blake Street,63.181,2,9.1,,,,,,,,,9177360,
67805713,68068087,0,False,residential,Watson Avenue,124.952,2,9.1,,,,,,,,,9178347,
67805837,68225407,0,False,residential,Melbourne Road,69.008,2,12.2,,,,,,,,,9177196,
67805837,67965437,0,False,residential,Melbourne Road,85.19,2,12.2,,,,,,,,,9177196,
67805837,68193497,0,False,residential,Sugarbush Lane,72.711,2,12.2,,,,,,,,,9179234,
67805908,67805908,0,False,residential,Toby Circle,58.608,2,12.2,,,,,,,,,9177889,
67805908,67805908,1,False,residential,Toby Circle,58.608,2,12.2,,,,,,,,,9177889,
67805908,67980909,0,False,residential,Toby Circle,26.728,2,12.2,,,,,,,,,9177889,
67806408,67931663,0,False,residential,Townhouse Terrace,110.254,,,,,,,,,,,9182269,
67806850,68053781,0,False,primary,Iyanough Road,78.922,2,15.2,,35 mph,,,,,,,92030660,MA 28
67806850,67934604,0,False,residential,Ridgewood Avenue,402.294,2,12.2,,,,,,,,,9178988,
67806850,68195492,0,False,primary,Iyanough Road,74.901,2,15.2,,35 mph,,,,,,,92030660,MA 28
67807333,68037455,0,False,residential,Dolphin Lane,123.663,2,10.7,,,,,,,,,9177569,
67807333,68103287,0,False,tertiary,Old Town Road,100.393,2,12.2,,,,,,,,,9182489,
67807333,67870026,0,False,tertiary,Old Town Road,31.395,2,12.2,,,,,,,,,9182489,
67808667,68246414,0,False,residential,Tevyaw Road,105.926,2,10.7,,,,,,,,,9177080,
67808667,68110575,0,False,tertiary,Lincoln Road,44.754,2,15.2,,,,,,,,,9179158,
67808667,67925991,0,False,tertiary,Lincoln Road,116.223,2,15.2,,,,,,,,,9179158,
67809806,67836599,0,False,residential,Grove Street,346.491,2,12.2,,,,,,,,,9178126,
67809806,67920597,0,False,residential,Grove Street,94.04,2,12.2,,,,,,,,,9178126,
67809806,68224514,0,False,tertiary,Charles Street,98.445,2,12.2,,,,,,,,,9179908,
67809806,67960393,0,False,tertiary,Charles Street,57.605,2,12.2,,,,,,,,,9179908,
67811258,68071139,0,False,residential,Cit Avenue,55.12,2,11.0,,,,,,,,,9179358,
67811615,67951337,0,False,residential,Forest Glen Road,29.888,1,9.1,,,,,,,,,9177294,
67811615,68027256,0,False,residential,Ferndale Road,151.272,2,12.2,,,,,,,,,9177717,
67811615,68231127,0,False,secondary,Pitchers Way,84.347,2,12.2,,,,,,,,,9178958,
67811615,67856986,0,False,secondary,Pitchers Way,143.819,2,12.2,,,,,,,,,9178958,
67812222,68143355,0,False,residential,Old Strawberry Hill Road South,51.039,2,9.1,,,,,,,,,9177692,
67812222,68154756,0,False,residential,Old Strawberry Hill Road South,53.683,2,9.1,,,,,,,,,9177692,
67812222,68248162,0,False,residential,Bishops Terrace,89.399,,,,,,,,,,,9182090,
67814347,67982952,0,False,residential,Sycamore Street,76.442,2,9.1,,,,,,,,,9177642,
67814972,68223567,0,False,residential,Green Briar Lane,241.159,2,9.1,,,,,,,,,9179898,
67814972,67956441,0,False,tertiary,Old Town Road,21.497,2,12.2,,,,,,,,,9182489,
67814972,68103287,0,False,tertiary,Old Town Road,21.349,2,12.2,,,,,,,,,9182489,
67815472,68143607,0,False,secondary,Phinneys Lane,38.539,2,12.2,,,,,,,,,9179192,
67815472,68150871,0,False,residential,Statice Lane,43.22,,,,,,,,,,,9181135,
67818033,68243099,0,False,residential,School Street,147.487,2,10.7,,,,,,,,,9180112,
67819622,68027888,0,False,secondary,Bearses Way,11.182,2,18.3,,,,,,,,,9179439,
67819622,68243591,0,False,secondary,Bearses Way,449.089,2,18.3,,,,,,,,,9179439,
67819622,68249683,0,True,primary,Falmouth Road,95.61,1,15.2,,45 mph,,,,,,,92030654,MA 28
67820972,68137437,0,False,residential,Fernwood Avenue,174.143,2,9.1,,,,,,,,,9179450,
67820972,68247473,0,False,residential,Fernwood Avenue,94.127,2,9.1,,,,,,,,,9179450,
67820972,67854595,0,False,residential,Briarwood Avenue,254.884,2,12.2,,,,,,,,,"[9180020, 9182422]",
67820972,68100169,0,False,residential,"['Briarwood Avenue', 'Pinewood Road']",343.643,"['1', '2']","['12.2', '9.1']",,,,,,,,,"[9180070, 9182422]",
67822150,67879229,0,False,residential,Locust Street,97.63,2,12.2,,,,,,,,,9177444,
67822270,67835084,0,False,residential,Shorey Road,124.513,2,12.2,,,,,,,,,9177150,
67822270,68039904,0,False,residential,Dolphin Lane,71.35,2,10.7,,,,,,,,,9177569,
67822270,68198500,0,False,residential,Shorey Oak Court,49.559,1,9.1,,,,,,,,,9177588,
67823149,68295585,0,False,residential,Harbor Road,184.089,2,9.1,,,,,,,,,"[9181480, 9179699]",
67823446,68130614,0,False,residential,Square Rigger Lane,168.877,,,,,,,,,,,9180639,
67823446,68018924,0,False,residential,Center Board Lane,69.742,,,,,,,,,,,9181375,
67823446,68113401,0,False,residential,Center Board Lane,81.524,,,,,,,,,,,9181375,
67823460,68044826,0,False,residential,Spruce Street,72.934,2,12.2,,,,,,,,,9178607,
67823460,68151308,0,False,tertiary,Winter Street,74.729,2,12.2,,,,,,,,,9177522,
67823460,68138528,0,False,tertiary,Winter Street,71.17,2,12.2,,,,,,,,,9177522,
67823996,67833960,0,False,residential,Lewis Bay Rd,77.059,2,12.2,,,,,,,,,9178407,
67826321,68210025,0,False,residential,Pearl Street,183.641,2,9.1,,,,,,,,,9177519,
67826321,68096114,0,True,secondary,Main Street,71.232,2,18.3,,35 mph,,,,,,,9179517,
67829945,67852203,0,False,residential,Guy Lane,96.716,,,,,,,,,,,9182106,
67830054,67885713,0,False,residential,Oak Hill Road,255.204,2,12.2,,,,,,,,,9177327,
67830054,68015500,0,False,residential,Oak Hill Road,187.494,2,12.2,,,,,,,,,9177327,
67830054,68019694,0,False,residential,Pine Valley Road,102.434,2,12.2,,,,,,,,,9178535,
67830054,68285159,0,False,residential,Pine Valley Road,75.497,2,12.2,,,,,,,,,9178535,
67831634,68117720,0,False,primary,Falmouth Road,47.375,2,15.2,,45 mph,,,,,,,92030683,MA 28
67831634,67963935,0,False,residential,Uncle Joes Lane,63.277,,,,,,,,,,,9181668,
67831634,68249683,0,False,primary,Falmouth Road,84.049,2,15.2,,45 mph,,,,,,,92030683,MA 28
67832990,68057471,0,True,primary,Airport Rotary,11.707,2,,,,,,,,,roundabout,9177774,MA 28
67833006,67952238,0,False,residential,Rabbit Lane,30.0,,,,,,,,,,,9182268,
67833006,67952238,1,False,residential,Rabbit Lane,28.442,,,,,,,,,,,9182268,
67833006,68040013,0,False,residential,Rabbit Lane,77.023,,,,,,,,,,,9182278,
67833646,67845910,0,False,residential,Perseverance Drive,64.359,2,12.2,,,,,,,,,9179494,
67833646,67868040,0,False,tertiary,Kidd's Hill Road,96.781,2,12.2,,,,,,,,,9177258,
67833646,68077817,0,False,tertiary,Kidd's Hill Road,59.943,2,12.2,,,,,,,,,9177258,
67833951,67833951,0,False,residential,Suomi Road,73.474,2,12.2,,,,,,,,,9178289,
67833951,67833951,1,False,residential,Suomi Road,73.474,2,12.2,,,,,,,,,9178289,
67833951,68184224,0,False,residential,Suomi Road,33.617,2,12.2,,,,,,,,,9178289,
67833960,68165747,0,False,tertiary,Lewis Bay Rd,118.904,2,12.2,,,,,,,,,9178008,
67833960,67823996,0,False,residential,Lewis Bay Rd,77.059,2,12.2,,,,,,,,,9178407,
67835084,67822270,0,False,residential,Shorey Road,124.513,2,12.2,,,,,,,,,9177150,
67835084,68039904,0,False,residential,Isalene Road,191.455,2,12.2,,,,,,,,,9178524,
67835084,67890129,0,False,residential,Isalene Road,133.659,2,12.2,,,,,,,,,9178524,
67836599,67887399,0,False,secondary,Barnstable Road,48.839,2,15.2,,30 mph,,,,,,,9178067,
67836599,67968716,0,False,secondary,Barnstable Road,236.763,2,15.2,,30 mph,,,,,,,9178067,
67836599,67809806,0,False,residential,Grove Street,346.491,2,12.2,,,,,,,,,9178126,
67836640,68242961,0,False,residential,Dumont Drive,366.829,1,7.6,,,,,,,,,9179942,
67837657,68159935,0,False,residential,Harbor Bluff Road East Section,30.162,2,9.1,,,,,,,,,9179929,
67838637,68266905,0,False,residential,Seventh Street,43.435,2,9.1,,,,,,,,,9182445,
67838889,68031545,0,False,secondary,Main Street,116.043,2,12.2,,35 mph,,,,,,,295175264,
67838902,68164454,0,False,residential,Statice Lane,33.778,,,,,,,,,,,9181909,
67838902,68150871,0,False,residential,Statice Lane,145.53,,,,,,,,,,,9181909,
67838902,67985817,0,False,residential,Myrica Lane,53.75,,,,,,,,,,,431194646,
