u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
61342980,61346400,0,False,tertiary,Parker Hill Avenue,64.671,2,14.0,,,,,,,,,8640475,
61342980,61342984,0,False,tertiary,Parker Hill Avenue,193.971,2,14.0,,,,,,,,,8640475,
61342980,61344995,0,False,residential,Calumet Street,225.779,2,12.2,,25 mph,,,,,,,8648149,
61342984,61592333,0,False,tertiary,Parker Hill Avenue,53.041,2,14.0,,,,,,,,,8640475,
61342984,61342980,0,False,tertiary,Parker Hill Avenue,193.971,2,14.0,,,,,,,,,8640475,
61342984,61344995,0,False,residential,Harleston Street,84.593,2,12.2,,25 mph,,,,,,,8646474,
61343030,61343572,0,True,secondary,Brookline Avenue,99.725,3,,,,,,,,,,"[307333283, 426645902]",
61343030,61343483,0,False,secondary,Brookline Avenue,133.204,"['4', '5']",22.0,,,,,,,,,"[426645901, 426645903]",
61343030,61365052,0,False,tertiary,Francis Street,118.647,"['3', '2']",15.2,,,,,,,,,"[426645904, 426645905]",
61343030,61483240,0,False,tertiary,Francis Street,103.537,2,15.2,,,,,,,,,426645907,
61343043,61365054,0,False,residential,Fenwood Road,111.495,2,16.8,,25 mph,,,,,,,8651356,
61343043,61343030,0,True,secondary,Brookline Avenue,72.09,,,,,,,,,,,307333284,
61343470,61343472,0,False,residential,Binney Street,133.846,2,12.8,,25 mph,,,,,,,8647119,
61343470,61343483,0,False,residential,Jimmy Fund Way,120.156,2,13.7,,25 mph,,,,,,,8652244,
61343470,61365052,0,False,residential,Binney Street,144.256,2,12.8,,25 mph,,,,,,,8647119,
61343472,61343470,0,False,residential,Binney Street,133.846,2,12.8,,25 mph,,,,,,,8647119,
61343472,61344416,0,False,secondary,Longwood Avenue,117.203,"['2', '5']",15.5,,30 mph,,,,,,,"[426642624, 301420931, 426642619]",
61343483,61343470,0,False,residential,Jimmy Fund Way,120.156,2,13.7,,25 mph,,,,,,,8652244,
61343483,61493539,0,False,secondary,Brookline Avenue,27.282,5,22.0,,,,,,,,,426645900,
61343483,61343030,0,False,secondary,Brookline Avenue,133.204,"['4', '5']",22.0,,,,,,,,,"[426645901, 426645903]",
61343572,61355080,0,False,secondary,Riverway,149.267,4,17.7,,,,,,,,,8650148,
61343572,61343043,0,True,secondary,Brookline Avenue,27.508,,,,,,,,,,,307333284,
61343572,61562101,0,False,secondary,Riverway,107.353,4,17.7,,,,,,,,,384322483,
61344084,61344146,0,False,tertiary,Saint Alphonsus Street,10.688,2,,,,,,,,,,8640131,
61344084,61348924,0,True,tertiary,Saint Alphonsus Street,72.438,1,,,,,,,,,,284698578,
61344146,61344084,0,False,tertiary,Saint Alphonsus Street,10.688,2,,,,,,,,,,8640131,
61344146,61348936,0,False,tertiary,Saint Alphonsus Street,59.818,2,,,,,,,,,,8640131,
61344146,61518612,0,True,residential,Horadan Way,122.222,2,24.4; 15.2,,25 mph,,,,,,,8640601,
61344416,61562149,0,False,secondary,Brookline Avenue,39.664,5,22.0,,,,,,,,,426642616,
61344416,61343472,0,False,secondary,Longwood Avenue,117.203,"['2', '5']",15.5,,30 mph,,,,,,,"[426642624, 426642619, 301420931]",
61344581,61345325,0,False,tertiary,Parker Street,28.791,2,15.9,,30 mph,,,,,,,8637995,
61344581,1038011802,0,True,residential,Horadan Way,128.87,2,15.2,,25 mph,,,,,,,89536705,
61344581,61344723,0,False,tertiary,Parker Street,77.332,2,15.9,,30 mph,,,,,,,8637995,
61344585,61517805,0,False,residential,Torpie Street,43.559,2,9.1,,25 mph,,,,,,,8640802,
61344585,61366689,0,False,tertiary,Tremont Street,61.125,2,20.1,,,,,,,,,8647792,
61344585,61344589,0,False,tertiary,Tremont Street,61.724,2,20.1,,,,,,,,,8647792,
61344589,61410798,0,True,residential,Wigglesworth Street,159.229,2,12.2,,25 mph,,,,,,,8646294,
61344589,61344585,0,False,tertiary,Tremont Street,61.724,2,20.1,,,,,,,,,8647792,
61344589,61344637,0,False,tertiary,Tremont Street,119.775,2,20.1,,,,,,,,,8647792,
61344593,61344594,0,False,primary,Huntington Avenue,53.674,4,24.4,,,,,,,,,533513275,MA 9
61344593,61344594,1,False,primary,Huntington Avenue,53.674,4,24.4,,,,,,,,,533513364,MA 9
61344593,61459286,0,True,residential,Fenwood Road,115.11,2,16.8,,25 mph,,,,,,,8639441,
61344593,61371414,0,True,primary,Huntington Avenue,69.142,2,24.4,,,,,,,,,92003067,MA 9
61344594,61344593,0,False,primary,Huntington Avenue,53.674,4,24.4,,,,,,,,,533513275,MA 9
61344594,61344593,1,False,primary,Huntington Avenue,53.674,4,24.4,,,,,,,,,533513364,MA 9
61344594,61399920,0,False,primary,Huntington Avenue,18.886,4,24.4,,,,,,,,,533513275,MA 9
61344594,61399920,1,False,primary,Huntington Avenue,18.886,4,24.4,,,,,,,,,533513364,MA 9
61344594,61345952,0,False,residential,Wait Street,103.438,2,12.8,,25 mph,,,,,,,8646776,
61344632,61344932,0,False,residential,Prentiss Street,18.937,2,12.2,,25 mph,,,,,,,8651628,
61344637,61344589,0,False,tertiary,Tremont Street,119.775,2,20.1,,,,,,,,,8647792,
61344637,61371426,0,False,tertiary,Tremont Street,22.35,2,20.1,,,,,,,,,8647792,
61344637,61410798,0,True,primary,Huntington Avenue,202.606,2,30.2,,,,,,,,,420513733,MA 9
61344639,61405209,0,False,residential,Station Street,18.178,2,12.2,,25 mph,,,,,,,8640616,
61344639,61345318,0,False,residential,Station Street,41.893,2,12.2,,25 mph,,,,,,,8640616,
61344639,61344932,0,False,residential,Mindoro Street,159.44,2,10.7,,25 mph,,,,,,,8645791,
61344717,61344725,0,False,tertiary,Parker Street,49.918,2,15.9,,,,,,,,,8644213,
61344717,61344723,0,False,tertiary,Parker Street,37.965,2,15.9,,,,,,,,,8644213,
61344717,61344926,0,False,residential,Prentiss Street,111.017,2,12.2,,25 mph,,,,,,,8651628,
61344723,61344717,0,False,tertiary,Parker Street,37.965,2,15.9,,,,,,,,,8644213,
61344723,61344581,0,False,tertiary,Parker Street,77.332,2,15.9,,30 mph,,,,,,,8637995,
61344725,61455695,0,False,tertiary,Parker Street,45.945,2,15.9,,,,,,,,,8644213,
61344725,61344717,0,False,tertiary,Parker Street,49.918,2,15.9,,,,,,,,,8644213,
61344725,61445991,0,False,residential,Ward Street,194.075,2,12.2,,25 mph,,,,,,,89536708,
61344773,61459286,0,False,residential,Saint Albans Road,67.714,2,14.6,,25 mph,,,,,,,8639535,
61344773,61371426,0,False,tertiary,Francis Street,128.686,2,15.2,,,,,,,,,8650098,
61344773,61344787,0,False,tertiary,Francis Street,148.92,"['2', '3']",15.2,,,,,,,,,"[8650098, 426645906]",
61344781,61344921,0,False,residential,Fenwood Road,75.736,2,16.8,,25 mph,,,,,,,8651356,
61344781,61365054,0,False,residential,Fenwood Road,79.358,2,16.8,,25 mph,,,,,,,8651356,
61344781,61344787,0,False,residential,Vining Street,70.923,2,12.8,,25 mph,,,,,,,8646615,
61344781,61459629,0,False,residential,Vining Street,72.627,2,12.8,,25 mph,,,,,,,8646615,
61344787,61344781,0,False,residential,Vining Street,70.923,2,12.8,,25 mph,,,,,,,8646615,
61344787,61344773,0,False,tertiary,Francis Street,148.92,"['3', '2']",15.2,,,,,,,,,"[426645906, 8650098]",
61344787,61365052,0,False,tertiary,Francis Street,81.19,"['3', '2']",15.2,,,,,,,,,"[426645905, 426645906]",
61344815,1038001168,0,False,tertiary,Saint Alphonsus Street,11.303,2,,,,,,,,,,8640131,
61344815,61344816,0,False,tertiary,Saint Alphonsus Street,162.302,2,,,,,,,,,,8640131,
61344815,61363990,0,True,residential,Smith Street,121.632,1,24.4,,30 mph,,,,,,,8646314,
61344816,61344815,0,False,tertiary,Saint Alphonsus Street,162.302,2,,,,,,,,,,8640131,
