u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
72068624,74029624,0,False,tertiary,Head Of The Bay Road,162.968,2,12.2,,,,,,,,,92028163,
73916667,74243016,0,False,tertiary,Old Bridge Road,123.835,2,12.2,,,,,,,,,9574722,
73916667,459926291,0,False,tertiary,Old Bridge Road,30.121,2,12.2,,,,,,,,,9574722,
73916667,1841711168,0,False,residential,Honora Court,113.625,,,,,,,,,,,173334286,
73916860,74167354,0,False,residential,Cranberry Road,248.506,2,12.2,,,,,,,,,9574048,
73916860,73924031,0,False,residential,Edith Avenue,237.32,2,12.2,,,,,,,,,9576861,
73916860,74121314,0,False,residential,Edith Avenue,62.677,2,12.2,,,,,,,,,9576861,
73916898,74041811,0,False,residential,Cherry Street,112.339,2,12.2,,,,,,,,,9574149,
73917872,73917872,0,False,residential,Quamhassett Road,112.219,1,7.6,,,,,,,,,9576013,
73917872,73917872,1,False,residential,Quamhassett Road,112.219,1,7.6,,,,,,,,,9576013,
73917872,73996913,0,False,residential,Quamhassett Road,195.037,1,7.6,,,,,,,,,9576013,
73918299,74065457,0,False,residential,Canal View Road,79.606,2,12.2,,,,,,,,,9574556,
73918299,74170491,0,False,residential,Holt Road,235.399,2,9.1,,,,,,,,,9576946,
73918299,74188906,0,False,residential,Holt Road,52.903,2,9.1,,,,,,,,,9576946,
73919240,73952916,0,False,residential,Studio Drive,205.813,2,12.2,,,,,,,,,9574703,
73919573,74052472,0,False,residential,Smalley Road,210.035,"['1', '2']","['12.2', '9.1']",,,,,,,,,"[9574416, 9574706]",
73919753,74145304,0,False,residential,Windy Hill Road,60.308,,,,,,,,,,,9576773,
73919850,74188906,0,False,residential,Holt Road,87.076,2,12.2,,,,,,,,,9575158,
73919850,73941998,0,False,tertiary,Main Street,58.909,2,21.3,,40 mph,,,,,,,295175276,
73919850,73977309,0,False,tertiary,Main Street,102.88,2,21.3,,40 mph,,,,,,,295175276,
