osmid,x,y,ref,highway
63523390,-71.1152948,42.3436749,,
63523396,-71.11346,42.34231,,
63523694,-71.1147393,42.338208,,
63526135,-71.11797,42.33914,,
63527840,-71.11736,42.3371,,
63528132,-71.11452,42.33885,,
63534082,-71.11325,42.34188,,
63534182,-71.1159535,42.3397067,,
63537433,-71.11255,42.34046,,traffic_signals
63539681,-71.11772,42.33986,,
63541790,-71.117414,42.338076,,
63542515,-71.1124033,42.3394164,,
63548822,-71.11543,42.33893,,
63552173,-71.11457,42.34061,,
63555988,-71.117016,42.338019,,
63562882,-71.1142758,42.3439536,,traffic_signals
63563921,-71.11442,42.34189,,
63569521,-71.1181613,42.3385949,,
63569623,-71.11666,42.33902,,
63575134,-71.1185,42.33704,,
63580546,-71.11311,42.34163,,
63582892,-71.11753,42.34097,,traffic_signals
63583718,-71.1164364,42.3397486,,
63583813,-71.1163401,42.3402144,,
63587606,-71.1138512,42.3395346,,
63589658,-71.11367,42.34273,,
