u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
61171075,61171091,0,False,tertiary,Beacon Street,58.692,2,18.3,,25 mph,,,,,,,8604962,
61171091,61171075,0,False,tertiary,Beacon Street,58.692,2,18.3,,25 mph,,,,,,,8604962,
61182955,61323200,0,False,tertiary,Oxford Street,94.552,2,15.2,,,,,,,,,9429431,
61317507,61317521,0,False,residential,Holden Green,37.811,2,11.0,,25 mph,,,,,,,8615275,
61317507,61317507,0,False,residential,Holden Green,79.127,2,11.0,,25 mph,,,,,,,8615275,
61317507,61317507,1,False,residential,Holden Green,79.127,2,11.0,,25 mph,,,,,,,8615275,
61317521,61318088,0,False,residential,Farrar Street,42.73,2,10.4,,25 mph,,,,,,,8614815,
61317521,61317507,0,False,residential,Holden Green,37.811,2,11.0,,25 mph,,,,,,,8615275,
61317521,61321975,0,True,residential,Holden Street,74.594,2,9.5,,25 mph,,,,,,,8615079,
61318088,61322634,0,False,residential,Sedgewick Road,20.332,1,6.7,,25 mph,,,,,,,8614809,
61318088,61317521,0,False,residential,Farrar Street,42.73,2,10.4,,25 mph,,,,,,,8614815,
61318088,61324138,0,False,residential,Farrar Street,144.467,2,10.4,,25 mph,,,,,,,8614815,
61318431,61182955,0,True,residential,Forest Street,117.871,2,12.2,,25 mph,,,,,,,8615747,
61318431,61318481,0,True,residential,Frost Street,160.497,2,11.6,,25 mph,,,,,,,89442189,
61318457,61318516,0,False,residential,Bryant Street,87.973,2,12.2,,25 mph,,,,,,,8615021,
61318457,61318515,0,True,residential,Francis Avenue,217.148,2,12.2,,25 mph,,,,,,,8615199,
61318481,61323288,0,True,residential,Roseland Street,53.929,1,12.2,,25 mph,,,,,,,9428984,
61318498,61324138,0,False,residential,Scott Street,175.951,2,"['11.6', '10.4']",,25 mph,,,,,,,"[8614608, 8615526]",
61318498,61318516,0,False,residential,Bryant Street,145.913,2,12.2,,25 mph,,,,,,,8615021,
61318515,61323599,0,False,residential,Francis Avenue,70.316,2,12.2,,25 mph,,,,,,,8615760,
61318515,61318516,0,True,residential,Irving Street,207.591,2,10.7,,25 mph,,,,,,,8615829,
61318516,61318498,0,False,residential,Bryant Street,145.913,2,12.2,,25 mph,,,,,,,8615021,
61318516,61318457,0,False,residential,Bryant Street,87.973,2,12.2,,25 mph,,,,,,,8615021,
61318516,61324138,0,True,residential,Irving Street,166.373,2,10.7,,25 mph,,,,,,,8615829,
61318597,61318593,0,True,secondary,Cambridge Street,21.328,2,21.3,,,,,,,,,426597197,
61321365,61318431,0,True,residential,Forest Street,45.14,2,12.2,,25 mph,,,,,,,8615747,
61321365,61332551,0,False,residential,Newport Road,48.967,2,9.8,,25 mph,,,,,,,8616179,
61321367,61321365,0,True,residential,Forest Street,97.281,2,12.2,,25 mph,,,,,,,8615747,
61321384,71949065,0,True,residential,Sacramento Street,65.203,1,11.6,,25 mph,,,,,,,8615565,
61321384,61323735,0,True,residential,Crescent Street,214.064,2,9.1,,25 mph,,,,,,,8616223,
61321633,61321639,0,False,residential,Carver Street,68.633,2,12.2,,25 mph,,,,,,,8615759,
61321633,61323727,0,False,residential,Carver Street,39.396,2,12.2,,25 mph,,,,,,,8615759,
61321639,71949065,0,False,residential,Carver Street,54.406,2,12.2,,25 mph,,,,,,,8615759,
61321639,61321633,0,False,residential,Carver Street,68.633,2,12.2,,25 mph,,,,,,,8615759,
61321639,61323597,0,True,residential,Wendell Street,102.179,,,,25 mph,,,,,,,249668337,
61321765,61327681,0,True,residential,Prentiss Street,23.664,2,11.0,,25 mph,,,,,,,8615546,
61321765,61323217,0,False,residential,Harris Street,46.088,2,9.8,,25 mph,,,,,,,8615066,
61321817,2562483347,0,False,tertiary,"['Kirkland Street', 'Oxford Street']",539.509,2,"['15.9', '15.2']",,,,,,,,,"[8615678, 9429431]",
61321955,61321956,0,False,residential,Sacramento Place,76.95,2,6.7,,25 mph,,,,,,,8614900,
61321956,61321955,0,False,residential,Sacramento Place,76.95,2,6.7,,25 mph,,,,,,,8614900,
61321956,61323750,0,True,residential,Sacramento Street,62.195,1,11.6,,25 mph,,,,,,,8615639,
61321975,61322001,0,True,residential,Holden Street,30.957,2,9.5,,25 mph,,,,,,,8615079,
61321975,61322001,1,False,residential,Shady Hill Square,122.999,1,4.6,,25 mph,,,,,,,8615455,
61322001,61318498,0,True,residential,Holden Street,36.71,2,9.5,,25 mph,,,,,,,8615079,
61322001,61321975,0,False,residential,Shady Hill Square,122.999,1,4.6,,25 mph,,,,,,,8615455,
61322634,61318088,0,False,residential,Sedgewick Road,20.332,1,6.7,,25 mph,,,,,,,8614809,
61323173,61323200,0,False,tertiary,Oxford Street,78.174,2,15.2,,,,,,,,,9429431,
61323173,61323735,0,False,tertiary,Oxford Street,65.296,2,15.2,,,,,,,,,9429431,
61323173,61330217,0,True,residential,Eustis Street,86.239,2,12.2,,25 mph,,,,,,,8614935,
61323173,61328294,0,False,residential,Garfield Street,276.526,2,15.2,,25 mph,,,,,,,8615541,
61323200,61182955,0,False,tertiary,Oxford Street,94.552,2,15.2,,,,,,,,,9429431,
61323200,61323173,0,False,tertiary,Oxford Street,78.174,2,15.2,,,,,,,,,9429431,
61323200,61327683,0,True,residential,Prentiss Street,129.064,2,12.2,,25 mph,,,,,,,8615878,
61323217,61321765,0,False,residential,Harris Street,46.088,2,9.8,,25 mph,,,,,,,8615066,
61323217,61328279,0,False,residential,Harris Street,94.347,2,9.8,,25 mph,,,,,,,8615066,
61323217,61330207,0,False,residential,Arcadia Street,62.376,2,11.6,,25 mph,,,,,,,8615370,
61323597,2562486744,0,True,residential,Wendell Street,77.896,,,,25 mph,,,,,,,249668337,
61323597,61323601,0,False,residential,Howland Street,95.302,2,11.0,,25 mph,,,,,,,8616229,
61323599,61318515,0,False,residential,Francis Avenue,70.316,2,12.2,,25 mph,,,,,,,8615760,
61323601,61321633,0,True,residential,Hammond Street,117.592,,,,25 mph,,,,,,,249671139,
61323601,61323597,0,False,residential,Howland Street,95.302,2,11.0,,25 mph,,,,,,,8616229,
61323727,61321633,0,False,residential,Carver Street,39.396,2,12.2,,25 mph,,,,,,,8615759,
61323727,2562509782,0,False,residential,"['Museum Street', 'Gorham Street']",269.452,2,11.6,,25 mph,,,,,,,"[8614958, 249671446]",
61323735,61323173,0,False,tertiary,Oxford Street,65.296,2,15.2,,,,,,,,,9429431,
61323735,61323750,0,False,tertiary,Oxford Street,53.649,2,15.2,,,,,,,,,9429431,
61323750,61323735,0,False,tertiary,Oxford Street,53.649,2,15.2,,,,,,,,,9429431,
61323750,2562483350,0,False,tertiary,Oxford Street,110.4,2,15.2,,,,,,,,,9429431,
61323750,61321384,0,True,residential,Sacramento Street,183.687,1,11.6,,25 mph,,,,,,,8615565,
61324138,61318088,0,False,residential,Farrar Street,144.467,2,10.4,,25 mph,,,,,,,8614815,
61324138,61318498,0,False,residential,Scott Street,175.951,2,"['11.6', '10.4']",,25 mph,,,,,,,"[8614608, 8615526]",
61326557,61332758,0,False,residential,Frost Terrace,47.415,1,6.1,,25 mph,,,,,,,8616191,
61327517,61321956,0,True,residential,Sacramento Street,215.392,1,11.6,,25 mph,,,,,,,8615639,
61327517,61328294,0,True,primary,Massachusetts Avenue,133.188,2,26.8,,,,,,,,,533446666,MA 2A
61327681,61330217,0,False,residential,Traymore Street,90.187,2,10.7,,25 mph,,,,,,,8615293,
61327681,61323200,0,True,residential,Prentiss Street,85.14,2,11.0,,25 mph,,,,,,,8615546,
61327683,61330540,0,False,residential,Frost Street,33.543,2,11.6,,25 mph,,,,,,,8615570,
61327683,61318431,0,True,residential,Frost Street,99.071,2,11.6,,25 mph,,,,,,,89442189,
61327683,61330378,0,True,residential,Prentiss Street,143.483,2,12.2,,25 mph,,,,,,,8615878,
61327728,61327730,0,False,residential,Exeter Park,75.789,2,11.0,,25 mph,,,,,,,8614780,
61327730,61327728,0,False,residential,Exeter Park,75.789,2,11.0,,25 mph,,,,,,,8614780,
61327730,61321367,0,True,primary,Massachusetts Avenue,60.319,2,26.8,,,,,,,,,533434439,MA 2A
61328279,61323217,0,False,residential,Harris Street,94.347,2,9.8,,25 mph,,,,,,,8615066,
61328294,61323173,0,False,residential,Garfield Street,276.526,2,15.2,,25 mph,,,,,,,8615541,
61328294,61330378,0,True,primary,Massachusetts Avenue,73.711,2,26.8,,,,,,,,,533445865,MA 2A
61330207,61328279,0,True,residential,Eustis Street,77.158,2,12.2,,25 mph,,,,,,,8614935,
61330207,61323217,0,False,residential,Arcadia Street,62.376,2,11.6,,25 mph,,,,,,,8615370,
61330217,61330207,0,True,residential,Eustis Street,37.377,2,12.2,,25 mph,,,,,,,8614935,
61330217,61327681,0,False,residential,Traymore Street,90.187,2,10.7,,25 mph,,,,,,,8615293,
61330378,61327730,0,True,primary,Massachusetts Avenue,42.493,2,26.8,,,,,,,,,533435050,MA 2A
61330540,61327683,0,False,residential,Frost Street,33.543,2,11.6,,25 mph,,,,,,,8615570,
61332551,61332764,0,False,residential,Newport Road,20.333,2,12.2,,25 mph,,,,,,,8616071,
61332551,61321365,0,False,residential,Newport Road,48.967,2,9.8,,25 mph,,,,,,,8616179,
61332758,61326557,0,False,residential,Frost Terrace,47.415,1,6.1,,25 mph,,,,,,,8616191,
61332764,61332551,0,False,residential,Newport Road,20.333,2,12.2,,25 mph,,,,,,,8616071,
71949065,61321639,0,False,residential,Carver Street,54.406,2,12.2,,25 mph,,,,,,,8615759,
2559968311,61327517,0,True,primary,Massachusetts Avenue,92.255,2,26.8,,,,,,,,,298631777,MA 2A
2562483347,2562483348,0,False,tertiary,Oxford Street,102.523,2,15.2,,,,,,,,,9429431,
2562483347,61321817,0,False,tertiary,"['Kirkland Street', 'Oxford Street']",539.509,2,"['15.9', '15.2']",,,,,,,,,"[8615678, 9429431]",
2562483348,2562483349,0,False,tertiary,Oxford Street,13.189,2,15.2,,,,,,,,,9429431,
2562483348,2562483347,0,False,tertiary,Oxford Street,102.523,2,15.2,,,,,,,,,9429431,
2562483349,2562483350,0,False,tertiary,Oxford Street,80.043,2,15.2,,,,,,,,,9429431,
2562483349,2562483348,0,False,tertiary,Oxford Street,13.189,2,15.2,,,,,,,,,9429431,
2562483349,2562509782,0,True,residential,Hammond Street,155.833,,,,25 mph,,,,,,,249671139,
2562483350,61323750,0,False,tertiary,Oxford Street,110.4,2,15.2,,,,,,,,,9429431,
2562483350,2562483349,0,False,tertiary,Oxford Street,80.043,2,15.2,,,,,,,,,9429431,
2562483350,2559968311,0,True,residential,Wendell Street,277.197,,,,25 mph,,,,,,,298631776,
2562486744,2562483350,0,True,residential,Wendell Street,107.666,,,,25 mph,,,,,,,249668337,
2562486744,2562509782,0,False,residential,Gorham Street,114.221,,,,25 mph,,,,,,,249671446,
2562509782,61323601,0,True,residential,Hammond Street,85.39,,,,25 mph,,,,,,,249671139,
2562509782,61323727,0,False,residential,"['Museum Street', 'Gorham Street']",269.452,2,11.6,,25 mph,,,,,,,"[8614958, 249671446]",
2562509782,2562486744,0,False,residential,Gorham Street,114.221,,,,25 mph,,,,,,,249671446,
2562522840,2562483347,0,True,residential,Everett Street,198.919,,,,25 mph,,,,,,,249672503,
