osmid,x,y,ref,highway
61317337,-71.0907622,42.3680388,,
61317338,-71.0905783,42.3683758,,
61317457,-71.0944149,42.3732385,,
61317601,-71.088662,42.373531,,
61321025,-71.094939,42.370348,,
61321029,-71.094682,42.370837,,
61321030,-71.0945054,42.3711329,,
61321138,-71.093092,42.369085,,
61321148,-71.093277,42.369671,,
61321150,-71.092825,42.369124,,
61321419,-71.0932339,42.367489,,
61321431,-71.092672,42.367706,,
61321635,-71.094488,42.372913,,traffic_signals
61321641,-71.094741,42.374268,,
61321745,-71.092988,42.368686,,
61321799,-71.095175,42.37099,,
61321853,-71.088721,42.369593,,
61321880,-71.098528,42.3718316,,
61322493,-71.0953436,42.3713965,,
61322495,-71.0943656,42.3713676,,
61323058,-71.0884634,42.3721205,,
61323062,-71.088974,42.37121,,
61323069,-71.0882811,42.3720966,,
61323088,-71.0939563,42.3709604,,
61323091,-71.0936664,42.3708691,,
61323093,-71.0938299,42.3712953,,
61323369,-71.092557,42.369778,,
61323380,-71.093395,42.37,,
61323386,-71.0929137,42.3706325,,
61323462,-71.090339,42.368798,,
61323466,-71.0901827,42.3690649,,
61323468,-71.0913951,42.3694041,,
61323481,-71.0910364,42.3700267,,
61323489,-71.0898475,42.3696658,,
61323495,-71.090667,42.3706678,,
61324445,-71.093279,42.372754,,
61324469,-71.098633,42.37418,,
61324518,-71.0981411,42.3733872,,traffic_signals
61324526,-71.095322,42.373015,,
61324528,-71.0887897,42.3730061,,
61324532,-71.088079,42.372918,,
61324540,-71.087951,42.373421,,
61324860,-71.097803,42.373859,,
61324864,-71.097461,42.374362,,
61325436,-71.0989799,42.3722081,,traffic_signals
61325438,-71.0987155,42.3726027,,
61325439,-71.09182,42.372562,,traffic_signals
61325463,-71.0935393,42.3720648,,
61325542,-71.0901378,42.3715864,,
61325626,-71.093386,42.370781,,
61325830,-71.1005231,42.3734833,,traffic_signals
61325841,-71.0991515,42.3735108,,
61325844,-71.1008111,42.3737246,,traffic_signals
61325849,-71.090367,42.373737,,
61325856,-71.0996622,42.3735692,,
61325858,-71.1005335,42.3736856,,traffic_signals
61326378,-71.096169,42.371656,,
61326604,-71.092866,42.368312,,
61326615,-71.092134,42.368116,,
61326732,-71.0915338,42.3691635,,
61326745,-71.092336,42.371692,,
61326928,-71.0968735,42.370476,,
61327212,-71.0917717,42.3662868,,traffic_signals
61327586,-71.088959,42.372188,,
61328373,-71.091939,42.368457,,
61328376,-71.091772,42.36875,,
61329099,-71.089733,42.372289,,
61329105,-71.0976583,42.3722381,,
61329137,-71.091199,42.3724809,,traffic_signals
61329139,-71.090662,42.372411,,
61329176,-71.0962381,42.3731359,,
61329188,-71.090478,42.373207,,
61329285,-71.097089,42.3732422,,
61329294,-71.0944494,42.3696548,,
61329314,-71.0981062,42.3714963,,
61332041,-71.09567,42.370111,,
61332043,-71.095174,42.369961,,
61332547,-71.095541,42.370516,,
61333556,-71.0909338,42.3677408,,
61333558,-71.0912184,42.3672459,,
269964951,-71.0967666,42.3722542,,
560838097,-71.0969125,42.3720449,,
625107838,-71.0925471,42.3673201,,
1034918626,-71.1005816,42.3735313,,
1469359665,-71.0901544,42.3691143,,
1469359670,-71.0894818,42.3703047,,
1469359717,-71.0898061,42.3697398,,
1469359719,-71.0894442,42.3703701,,
