osmid,x,y,ref,highway
65205012,-71.3510152,42.473448,,
65205128,-71.3492063,42.4615244,,crossing
65209100,-71.3536967,42.4732519,,turning_loop
65209935,-71.3487658,42.4619174,,
65214276,-71.3478293,42.4653361,,
65219001,-71.3507954,42.4624353,,
65220088,-71.3548215,42.4724338,,
65232187,-71.3478175,42.4649045,,
65232364,-71.3538486,42.47135,,
65233218,-71.3496871,42.4613368,,
65235363,-71.3482099,42.4684547,,
65246698,-71.3492709,42.4613069,,
65249203,-71.347999,42.46316,,
65251689,-71.3499965,42.4637227,,
65253133,-71.3494937,42.4614065,,
65256067,-71.3509493,42.4731747,,
65262451,-71.3490586,42.4604863,,
65265761,-71.3480729,42.4671848,,
65266354,-71.3488262,42.4607329,,
65268059,-71.3504556,42.4636745,,
65269065,-71.3537361,42.4716409,,
65270627,-71.3478794,42.4659483,,
65277860,-71.3540699,42.4716131,,
65279847,-71.3513372,42.4732314,,
2421396641,-71.3485889,42.4604552,,
