u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
65875110,65896210,0,False,residential,Flanagan Place,116.73,2,11.0,,,,,,,,,8995866,
65875110,65875571,0,False,secondary,Milton Street,258.912,2,21.3,,,,,,,,,212459002,MA 200
65875110,2223050692,0,False,secondary,Milton Street,55.246,2,21.3,,,,,,,,,212459002,MA 200
65875571,65912811,0,False,residential,South Stone Mill Drive,103.886,,,,,,,,,,,8997159,
65875571,65913178,0,False,secondary,Milton Street,93.527,2,21.3,,,,,,,,,212459002,MA 200
65875571,65875110,0,False,secondary,Milton Street,258.912,2,21.3,,,,,,,,,212459002,MA 200
65875776,65918615,0,False,residential,Demetra Terrace,36.931,2,18.3,,,,,,,,,8996834,
65876010,65877337,0,True,"['trunk', 'primary']",Boston Providence Turnpike,346.609,"['2', '3']",36.6,,,,,yes,,,,"[93102992, 206596313, 426597208, 426597207]",
65877325,65917278,0,False,tertiary,Walnut Street,19.689,2,12.2,,,,,,,,,8996483,
65877325,65911901,0,False,residential,Commerce Way,329.82,,,,,,,,,,,8997273,
65877325,65898115,0,False,tertiary,Walnut Street,48.787,2,12.2,,,,,,,,,8996483,
65877337,65911669,0,True,primary_link,,48.854,1,36.6,,,,,,,,,8996544,
65877337,65914198,0,True,primary,Boston Providence Turnpike,33.865,3,36.6,,,,,,,,,93102999,
65877497,65912971,0,False,tertiary,Bussey Street,24.882,2,12.2,,,,,,,,,209707353,MA 200
65877497,65887258,0,False,tertiary,Bussey Street,75.263,2,12.2,,,,,,,,,209707353,MA 200
65877497,4619214063,0,False,residential,Glancy Lane,162.439,2,10.7,,,,,,,,,8996295,
65878115,65918541,0,False,residential,Cleveland Street,64.261,2,13.7,,,,,,,,,8995931,
65878115,65892170,0,False,residential,Cleveland Street,72.329,2,13.7,,,,,,,,,8995931,
65878115,65905616,0,False,residential,Fleming Street,103.744,2,10.7,,,,,,,,,8997717,
65878167,65909225,0,False,residential,Evergreen Way,71.971,2,7.6,,,,,,,,,8996111,
65878636,65918541,0,False,residential,Cleveland Street,243.864,2,13.7,,,,,,,,,8995931,
65878636,65907165,0,False,residential,Leonard Street,115.805,2,12.2,,,,,,,,,8997707,
65878636,65914296,0,False,residential,Leonard Street,183.774,2,12.2,,,,,,,,,8997707,
