osmid,x,y,ref,highway
64810677,-71.318454,42.6140786,,
64810788,-71.3366329,42.6247932,,
64810957,-71.345425,42.631477,,traffic_signals
64810963,-71.3402392,42.6308799,,
64810976,-71.3292568,42.621892,,
64810999,-71.324063,42.619843,,
64811064,-71.3287043,42.6212116,,
64811201,-71.322303,42.622049,,
64811287,-71.347193,42.628591,,
64811302,-71.344599,42.63389,,
64811670,-71.334071,42.635334,,
64812382,-71.345485,42.633716,,
64812493,-71.3256965,42.6205396,,
64812814,-71.343561,42.628197,,
64813299,-71.331675,42.638586,,
64813581,-71.341598,42.632918,,
64813610,-71.342385,42.63559,,
64813674,-71.336205,42.635061,,
64813814,-71.340964,42.632137,,
64813900,-71.3335789,42.6197186,,
64813942,-71.356339,42.630431,,
64814095,-71.355701,42.631703,,
64814392,-71.333367,42.632254,,
64814413,-71.331883,42.62966,,
64814455,-71.335936,42.633893,,
64814956,-71.3540766,42.6349944,,
64814962,-71.357342,42.633628,,
64815198,-71.34634,42.628749,,
64815825,-71.340113,42.63337,,
64815905,-71.3251936,42.6259773,,
64816323,-71.3268745,42.6171434,,
64816520,-71.359877,42.633208,,
64816658,-71.34815,42.636548,,
64816734,-71.3330829,42.6239591,,
64816749,-71.334347,42.631076,,
64816823,-71.3327629,42.6233604,,
64817069,-71.344143,42.627964,,
64817146,-71.3203379,42.6222808,,
64817273,-71.3315422,42.6232237,,
64817473,-71.338209,42.630497,,
64817530,-71.328509,42.624623,,
64817663,-71.352784,42.635343,,
64817758,-71.351939,42.633151,,
64817777,-71.362054,42.633516,,
64817966,-71.342291,42.638259,,
64818306,-71.329607,42.626183,,
64818332,-71.336743,42.63081,,
64818633,-71.3315553,42.6199787,,
64818770,-71.335294,42.631202,,
64818797,-71.335489,42.626784,,
64818861,-71.3262711,42.6252874,,
64819095,-71.331803,42.633112,,
64819270,-71.332782,42.634291,,
64819284,-71.34258,42.634255,,
64819309,-71.3502819,42.6263761,,
64819368,-71.35097,42.629217,,
64819411,-71.331687,42.633738,,
64819608,-71.3370673,42.6294808,,
64819800,-71.333575,42.627753,,
64819960,-71.33824,42.63004,,
64820030,-71.339002,42.630334,,
64820113,-71.3316543,42.6161691,31,motorway_junction
64820708,-71.3232164,42.625643,,
64820903,-71.351197,42.635226,,
64821180,-71.327687,42.6195069,,
64821568,-71.3379791,42.6293205,,
64821898,-71.358187,42.626768,,
64822319,-71.3297755,42.6226772,,
64822454,-71.330464,42.626225,,
64822585,-71.330773,42.638338,,
64822953,-71.3219044,42.6143299,,
64822957,-71.36151,42.635607,,
64823184,-71.338334,42.63359,,
64823379,-71.3287368,42.6230934,,
64823451,-71.331615,42.630934,,
64824081,-71.341253,42.638302,,
64824177,-71.327822,42.62327,,
64824202,-71.345879,42.632509,,
64824255,-71.332757,42.633674,,
64824754,-71.34404,42.636664,,
64825100,-71.336125,42.636007,,
64825170,-71.322751,42.625061,,
64825344,-71.329875,42.6228801,,
64825492,-71.3250996,42.625394,,
64825531,-71.331498,42.6258394,,
64825684,-71.3236633,42.6243702,,
64825747,-71.333203,42.631544,,
64825837,-71.3308389,42.6246226,,
64825880,-71.3206721,42.6251085,,
64826461,-71.357011,42.633575,,
64826640,-71.340361,42.63834,,
64827074,-71.345201,42.636102,,
64827084,-71.334686,42.628485,,
64827455,-71.329288,42.637925,,
64827515,-71.335695,42.6248811,,
64827572,-71.336277,42.636671,,
64827977,-71.3196477,42.6248437,,
64828080,-71.3265176,42.6180007,,
64828666,-71.3376896,42.6265506,,
64828871,-71.3262984,42.6155961,,
64828883,-71.35797,42.633929,,
64829003,-71.329832,42.635655,,
64829100,-71.324775,42.624796,,
64829303,-71.359556,42.633841,,
64829416,-71.341503,42.635705,,
64829469,-71.3375577,42.6293946,,
64829879,-71.344568,42.631802,,
64829895,-71.3201454,42.6174429,,
64829959,-71.346363,42.633626,,
64830360,-71.326141,42.6235859,,
64830842,-71.3210843,42.6089941,1N,motorway_junction
64831194,-71.3399936,42.6301802,,
64831427,-71.333285,42.627073,,
64832313,-71.3310862,42.6164339,,
64832411,-71.339761,42.632368,,
64832489,-71.332828,42.625376,,
64832739,-71.324157,42.619551,,
64832750,-71.350003,42.633325,,
64833006,-71.321622,42.622114,,
64833264,-71.34818,42.635491,,
64833317,-71.3322077,42.6185343,,
64833619,-71.335273,42.635179,,
64833785,-71.330873,42.624685,,
64834192,-71.335043,42.639629,,
64834223,-71.351817,42.622878,,
64834321,-71.338624,42.634762,,
64834447,-71.3299048,42.6214128,,
64834500,-71.331446,42.633269,,
64835083,-71.343731,42.634067,,
64835296,-71.3348355,42.6186167,,
64835324,-71.347447,42.636794,,
64835441,-71.3386416,42.6264117,,
64835810,-71.336152,42.630944,,
64835865,-71.341125,42.627049,,
64836323,-71.341129,42.626147,,
64836423,-71.3185997,42.6140415,,
64836471,-71.34829,42.633479,,
64836664,-71.336467,42.633825,,
64836784,-71.348522,42.637595,,
64837739,-71.328368,42.624351,,
64838342,-71.355662,42.630158,,
64838429,-71.342688,42.631806,,
64839069,-71.3252545,42.6198638,,
64839212,-71.335607,42.638512,,
64839327,-71.3266885,42.6224741,,
64839667,-71.355358,42.63286,,traffic_signals
64839905,-71.348399,42.635807,,
64840067,-71.335827,42.631028,,
64840241,-71.362152,42.635699,,
64840406,-71.3311562,42.6194069,,
64841126,-71.3274652,42.619112,,
64841692,-71.353659,42.632357,,
64841753,-71.363535,42.635511,,
64842478,-71.343565,42.635435,,
64842490,-71.329836,42.639183,,
64842732,-71.329945,42.628548,,
64842788,-71.3279959,42.6200971,,
