u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
65331324,65346458,0,False,residential,Summer Avenue,83.182,2,9.1,,,,,,,,,8922949,
65331324,65363662,0,False,residential,Summer Street,103.371,2,9.1,,,,,,,,,8923009,
65331324,65363686,0,False,residential,Summer Street,47.956,2,"['12.2', '9.1']",,,,,,,,,"[8923009, 8922444]",
65331518,65346840,0,False,residential,Wyoming Avenue,34.969,2,12.2,,,,,,,,,8922078,
65331518,65357404,0,False,residential,Wyoming Avenue,65.158,2,12.2,,,,,,,,,8922078,
65331518,65357677,0,False,residential,Lyle Terrace,158.305,1,4.9,,,,,,,,,8922778,
65331836,65346320,0,False,residential,"['Evelyn Place', 'Harnden Road']",238.786,2,7.3,,,,,,,,,"[8923416, 8922702]",
65331836,65359318,0,False,secondary,Pleasant Street,59.015,2,16.8,,,,,,,,,184504641,
65331836,65368089,0,False,secondary,Pleasant Street,75.207,2,16.8,,,,,,,,,184504641,
65331989,65361003,0,False,residential,Linden Place,42.082,1,3.7,,,,,,,,,8922257,
65332067,1706387291,0,False,residential,Cushing Road,6.399,2,12.2,,,,,,,,,8922958,
65332067,65349548,0,False,residential,Cushing Road,127.413,2,12.2,,,,,,,,,8922958,
65332067,65349346,0,False,residential,Pine Street,65.065,2,12.2,,,,,,,,,8923167,
65332355,65357188,0,False,residential,Pine Street,19.63,2,12.2,,,,,,,,,158444110,
65332355,65352974,0,True,secondary,Fellsway East,173.385,2,36.6,,,,,,,,,8922669,
65332355,65344955,0,False,residential,Pine Street,78.123,2,12.2,,,,,,,,,158444110,
65332716,65367202,0,False,residential,Washington Place,57.018,2,6.7,,,,,,,,,8923378,
65333035,1489520017,0,False,secondary,Highland Avenue,13.902,2,18.3,,,,,,,,,8922876,
65333035,65350537,0,True,secondary,Highland Avenue,32.321,2,18.3,,,,,,,,,81267834,
65333360,950291451,0,False,residential,Horace Street,111.678,2,12.2,,,,,,,,,8923174,
65333360,65359985,0,False,residential,Beltran Street,62.594,2,12.2,,,,,,,,,8923323,
65333360,65343059,0,False,residential,Beltran Street,33.579,2,12.2,,,,,,,,,8923323,
65333464,1919828842,0,False,tertiary,Glenwood Street,29.382,2,12.2,,,,,,,,,8921949,
65333464,65341325,0,False,tertiary,Glenwood Street,67.632,2,12.2,,,,,,,,,8921949,
65333464,65351113,0,False,residential,Earl Street,133.596,2,12.2,,,,,,,,,8922814,
65333696,1495632043,0,False,residential,Auburn Court,40.625,1,4.3,,,,,,,,,8923239,
65333696,65357188,0,True,residential,Pine Street,59.329,2,12.2,,,,,,,,,8923261,
65333770,65341246,0,False,residential,Circle Road,162.082,"['1', '2']",9.1,,,,,,,,,"[8922266, 8922391]",
65333978,65334593,0,False,residential,Glen Rock Avenue,112.514,2,12.2,,,,,,,,,8923437,
65333978,65361775,0,False,residential,Glen Rock Avenue,35.164,2,12.2,,,,,,,,,8923437,
65333978,65346840,0,False,residential,Wyoming Avenue,68.974,2,12.2,,,,,,,,,8922078,
65334103,65357087,0,False,secondary,Main Street,21.261,2,18.3,,,yes,,,,,,8921829,
65334103,65362460,0,False,secondary,Main Street,19.882,2,18.3,,,yes,,,,,,8921829,
65334227,65356102,0,False,residential,Glen Rock Avenue,37.0,2,12.2,,,,,,,,,8923437,
65334227,65361775,0,False,residential,Glen Rock Avenue,75.567,2,12.2,,,,,,,,,8923437,
65334550,65370508,0,False,residential,Fellsmere Road,24.427,2,12.2,,,,,,,,,8921948,
65334550,65352320,0,False,residential,Cushing Road,39.135,2,12.2,,,,,,,,,8922956,
65334550,65345172,0,False,residential,Fellsmere Road,44.408,2,12.2,,,,,,,,,8921948,
65334593,65341333,0,False,secondary,Washington Street,68.178,2,15.2,,,,,,,,,8922378,
65334593,65333978,0,False,residential,Glen Rock Avenue,112.514,2,12.2,,,,,,,,,8923437,
65334907,65368518,0,False,tertiary,Maple Street,87.856,2,15.2,,30 mph,,,,,,,8922998,
65334907,65370159,0,False,tertiary,Maple Street,104.197,2,15.2,,30 mph,,,,,,,8922998,
