u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
65771952,65821178,0,False,tertiary,Framingham Road,137.44,2,8.5,,30 mph,,,,,,,8994953,
65771952,65842346,0,False,tertiary,Framingham Road,100.563,2,8.5,,30 mph,,,,,,,8994953,
65771952,65821997,0,False,residential,,51.339,,,,,,,,,,,8995725,
65821178,65771952,0,False,tertiary,Framingham Road,137.44,2,8.5,,30 mph,,,,,,,8994953,
65821178,65830259,0,False,tertiary,Farm Road,247.886,2,9.1,,30 mph,,,,,,,8995137,
65821997,65771952,0,False,residential,,51.339,,,,,,,,,,,8995725,
65830259,2138432276,0,False,tertiary,Farm Road,38.691,2,9.1,,30 mph,,,,,,,8995137,
65830259,65821178,0,False,tertiary,Farm Road,247.886,2,9.1,,30 mph,,,,,,,8995137,
65830259,65840384,0,True,residential,Sherman Street,280.744,2,10.7,,30 mph,,,,,,,8996013,
65831203,5256024733,0,False,tertiary,Framingham Road,61.023,2,8.5,,30 mph,,,,,,,8994953,
65836739,65865639,0,False,residential,Holm Street,87.919,2,9.1,,,,,,,,,8994722,
65836739,65870027,0,False,tertiary,Walker Street,73.067,2,8.5,,30 mph,,,,,,,8994698,
65836739,65868058,0,False,tertiary,Walker Street,151.104,2,"['8.5', '12.2']",,30 mph,,,,,,,"[8994698, 8995247]",
65840384,65821178,0,True,tertiary,Framingham Road,336.095,2,8.5,,30 mph,,,,,,,146254160,
65842346,65771952,0,False,tertiary,Framingham Road,100.563,2,8.5,,30 mph,,,,,,,8994953,
65842346,65870027,0,False,tertiary,Framingham Road,89.343,2,8.5,,30 mph,,,,,,,8994953,
65842346,65883201,0,False,residential,Woodridge Road,413.31,2,15.2,,,,,,,,,8995090,
65860663,65883201,0,False,residential,Woodridge Road,176.072,2,15.2,,,,,,,,,8995090,
65861122,5256024733,0,False,tertiary,Framingham Road,63.601,2,8.5,,30 mph,,,,,,,8994953,
65861122,65883201,0,False,residential,Beverly Drive,169.82,2,15.2,,,,,,,,,8994651,
65861122,65870027,0,False,tertiary,Framingham Road,194.907,2,8.5,,30 mph,,,,,,,8994953,
65865639,65836739,0,False,residential,Holm Street,87.919,2,9.1,,,,,,,,,8994722,
65868058,65836739,0,False,tertiary,Walker Street,151.104,2,"['8.5', '12.2']",,30 mph,,,,,,,"[8994698, 8995247]",
65870027,65836739,0,False,tertiary,Walker Street,73.067,2,8.5,,30 mph,,,,,,,8994698,
65870027,65842346,0,False,tertiary,Framingham Road,89.343,2,8.5,,30 mph,,,,,,,8994953,
65870027,65861122,0,False,tertiary,Framingham Road,194.907,2,8.5,,30 mph,,,,,,,8994953,
65883201,65861122,0,False,residential,Beverly Drive,169.82,2,15.2,,,,,,,,,8994651,
65883201,65860663,0,False,residential,Woodridge Road,176.072,2,15.2,,,,,,,,,8995090,
65883201,65842346,0,False,residential,Woodridge Road,413.31,2,15.2,,,,,,,,,8995090,
2138432276,65830259,0,False,tertiary,Farm Road,38.691,2,9.1,,30 mph,,,,,,,8995137,
2138432276,2138435468,0,False,living_street,Danjou Drive,258.044,,,,,,,,,,,203839002,
2138435468,2138432276,0,False,living_street,Danjou Drive,258.044,,,,,,,,,,,203839002,
5256024733,65861122,0,False,tertiary,Framingham Road,63.601,2,8.5,,30 mph,,,,,,,8994953,
5256024733,5256024734,0,False,residential,Allis Road,58.499,1,,,25 mph,,,,,,,543711928,
5256024733,65831203,0,False,tertiary,Framingham Road,61.023,2,8.5,,30 mph,,,,,,,8994953,
5256024734,5256024733,0,False,residential,Allis Road,58.499,1,,,25 mph,,,,,,,543711928,
5256024734,5256024736,0,False,residential,Bemis Road,55.248,1,,,25 mph,,,,,,,543711929,
5256024734,5256024735,0,False,residential,Bemis Road,40.421,1,,,25 mph,,,,,,,543711929,
5256024735,5256024734,0,False,residential,Bemis Road,40.421,1,,,25 mph,,,,,,,543711929,
5256024736,5256024734,0,False,residential,Bemis Road,55.248,1,,,25 mph,,,,,,,543711929,
