osmid,x,y,ref,highway
67422183,-71.193984,42.349307,,
67422290,-71.2100987,42.3474782,,
67423537,-71.2021389,42.3480997,,
67423547,-71.197268,42.338896,,
67424217,-71.2001426,42.3502528,,
67424472,-71.2207214,42.338298,,
67425050,-71.2047835,42.3386414,,
67425445,-71.2363829,42.343225,,
67426260,-71.201327,42.342799,,
67426745,-71.1866439,42.3558014,,traffic_signals
67426878,-71.202088,42.3477066,,
67427857,-71.216217,42.342317,,
67428062,-71.203078,42.344325,,
67428486,-71.211002,42.3489615,,
67428890,-71.2189565,42.3435111,,
67429003,-71.1972877,42.3380045,,
67429398,-71.2191055,42.3482319,,
67430079,-71.2172549,42.3388247,,
67430134,-71.2017733,42.3484819,,
67430424,-71.212226,42.345189,,
67430817,-71.2154464,42.3479243,,
67431216,-71.188738,42.353348,,
67431569,-71.2246115,42.3472392,,
67432758,-71.188215,42.353639,,
67433129,-71.219404,42.3454679,,
67433247,-71.2113812,42.3501836,,
67433392,-71.2036919,42.3473458,,
67433801,-71.219195,42.341645,,
67434020,-71.200686,42.340667,,
67434507,-71.192246,42.352142,,
67435053,-71.200772,42.337845,,
67435253,-71.2221978,42.3404325,,
67435274,-71.195576,42.353092,,
67435636,-71.226609,42.343816,,
67435817,-71.2323009,42.344704,,
67435830,-71.2209467,42.3432866,,
67435913,-71.213937,42.340748,,
67436120,-71.2057547,42.3442213,,
67436580,-71.200842,42.338027,,
67436591,-71.2108791,42.3502524,,traffic_signals
67436756,-71.1987024,42.3522113,,
67437112,-71.2297415,42.3403261,,
67437214,-71.2117085,42.3389333,,
67437888,-71.1950506,42.3495181,,
67438003,-71.2120959,42.3477875,,
67438016,-71.2351435,42.3408253,,
67438024,-71.1993325,42.3519312,,
67438174,-71.1921159,42.349482,,
67438555,-71.2018596,42.3492841,,
67438562,-71.196023,42.3388923,,
67438804,-71.1904808,42.3514721,,
67438982,-71.2087583,42.3484661,,
67439043,-71.210059,42.3381872,,
67439512,-71.213853,42.338851,,
67439522,-71.1954795,42.3401459,,
67440134,-71.222528,42.345948,,
67440737,-71.2144396,42.3383954,,
67440958,-71.192558,42.352675,,
67441017,-71.2020661,42.348107,,
67441159,-71.1947625,42.3358938,,
67441231,-71.2344897,42.3395077,,
67441245,-71.2123334,42.3442381,,
67441714,-71.201006,42.339717,,
67442064,-71.198781,42.337919,,
67442074,-71.212928,42.339774,,
67442486,-71.2230444,42.3436761,,
67442612,-71.19262,42.350702,,
67442909,-71.2299629,42.3437383,,
67443057,-71.2161538,42.3494848,,
67443130,-71.1961915,42.3506165,,
67443229,-71.213201,42.346249,,
67443297,-71.1964742,42.3497211,,
67443459,-71.188679,42.353519,,
67443877,-71.200872,42.340387,,
67443885,-71.1914548,42.3502824,,
67444097,-71.229908,42.347504,,
67444235,-71.22849,42.342114,,
67444490,-71.2252634,42.3449685,,
67444620,-71.201284,42.349946,,
67444834,-71.2060933,42.3458827,,traffic_signals
67446271,-71.208012,42.342255,,
67446713,-71.192857,42.351306,,
67446832,-71.1958434,42.3397757,,
67446926,-71.2131565,42.3450764,,
67447138,-71.2168808,42.346843,,
67447386,-71.1893812,42.3557073,,
67448439,-71.227486,42.344982,,
67448577,-71.216008,42.3464383,,
67449021,-71.189089,42.354093,,
67449092,-71.1985331,42.3504657,,
67449207,-71.192596,42.3408341,,
67449523,-71.1937114,42.3408245,,
67451152,-71.195034,42.351457,,
67451253,-71.2157794,42.3486963,,
67451563,-71.1940632,42.3448344,,
67451663,-71.201014,42.339247,,
67451956,-71.218949,42.341768,,
67452043,-71.2103313,42.3481979,,
67452085,-71.2309637,42.3431549,,
67452151,-71.1994198,42.348273,,
67453027,-71.20229,42.342029,,
67453097,-71.2097403,42.3439654,,
67453805,-71.1975294,42.3479177,,
67454420,-71.199473,42.343375,,
67454545,-71.19352,42.342485,,
67455491,-71.1924493,42.347376,,
67455570,-71.2166952,42.3467453,,
67455917,-71.2269553,42.3467694,,turning_circle
67456197,-71.2338739,42.3440278,,
67456279,-71.225283,42.3395763,,
67457069,-71.2115395,42.3424273,,
67457110,-71.2111243,42.3450811,,
67457203,-71.2183948,42.3481393,,
67457356,-71.2315108,42.3440596,,
67457473,-71.2096206,42.3498517,,
67457531,-71.2110016,42.346267,,
67459602,-71.2029248,42.3467688,,
67459926,-71.2156275,42.3392794,,
67460082,-71.223576,42.341165,,
67461015,-71.1988206,42.3406758,,
67462992,-71.2300014,42.3472473,,
67463451,-71.202074,42.340005,,
67463737,-71.1950232,42.3442128,,
67463978,-71.209268,42.340696,,
67464784,-71.2214173,42.3452042,,
67465035,-71.2069899,42.3505798,,
67465415,-71.2116771,42.3397315,,
67465951,-71.201387,42.3503587,,
67467558,-71.1922799,42.3493187,,
67467799,-71.191175,42.34744,,
67468233,-71.2040077,42.3491581,,
67468338,-71.2236167,42.3369103,,
67468454,-71.218561,42.345585,,
67468482,-71.198743,42.339058,,
67469454,-71.192192,42.352688,,
67469470,-71.201305,42.3418,,
67469486,-71.2108903,42.3473393,,
67470377,-71.1905477,42.3484409,,
67470895,-71.1985869,42.3482084,,
67471501,-71.1942199,42.3381358,,
67471951,-71.2148825,42.3491786,,
67472028,-71.2218346,42.346133,,
67472458,-71.2184129,42.3377542,,
67472497,-71.2001645,42.3515723,,
67472543,-71.2091041,42.3497741,,
67473350,-71.1970294,42.3527588,,
67473492,-71.234636,42.344646,,
67476518,-71.2123654,42.3419414,,turning_circle
67476924,-71.20101,42.339012,,
67477888,-71.2150085,42.3454759,,
67479783,-71.220129,42.339266,,
67480374,-71.2022052,42.3492637,,
67480872,-71.1975963,42.3525993,,
67480883,-71.2264046,42.3469568,,
67481285,-71.1951981,42.3359925,,
67481331,-71.2068697,42.3495086,,
67481473,-71.209377,42.342112,,
67481558,-71.2146486,42.339943,,
67481719,-71.2211071,42.3422064,,
67482182,-71.225982,42.3462,,
67482277,-71.1972761,42.3397918,,
67482736,-71.2126188,42.3486475,,
67482824,-71.2231485,42.347822,,
67482904,-71.1913911,42.3551422,17,motorway_junction
67483006,-71.21884,42.341626,,
67483196,-71.2074498,42.341832,,turning_circle
67483516,-71.2335043,42.3456924,,traffic_signals
67484325,-71.2043182,42.3440465,,
67485068,-71.2291982,42.3403156,,turning_circle
67485445,-71.2131779,42.3469296,,
67486288,-71.201582,42.341168,,turning_circle
67486491,-71.2040269,42.346094,,turning_circle
67486583,-71.229097,42.342838,,
67487901,-71.2166404,42.3412036,,
67487985,-71.222203,42.339568,,
67489179,-71.195913,42.336594,,
67489614,-71.206505,42.3420481,,
67490131,-71.2326321,42.344111,,
67490139,-71.2058594,42.3387687,,
67491580,-71.223392,42.344867,,
67491730,-71.195854,42.353672,,
67491983,-71.1964537,42.3371317,,
67492145,-71.2068132,42.3491485,,
67492302,-71.2270818,42.3452465,,
67493219,-71.2173966,42.3373289,,
67493590,-71.2088705,42.3462318,,
67493828,-71.2257323,42.33798,,
67494004,-71.2069108,42.3499319,,
67494256,-71.2080861,42.3389545,,
67494343,-71.2059719,42.343131,,
67494637,-71.188888,42.354624,,
67494820,-71.193138,42.350833,,
