osmid,x,y,ref,highway
71442347,-73.243865,42.454519,,
71442865,-73.251791,42.455247,,
71443693,-73.249764,42.453178,,
71444025,-73.234525,42.456413,,
71445122,-73.24097,42.460101,,
71445729,-73.235175,42.4565,,
71450403,-73.247927,42.455914,,
71453481,-73.250964,42.452658,,
71453674,-73.250528,42.454183,,
71454187,-73.244214,42.45787,,
71454611,-73.249702,42.447893,,
71460441,-73.242999,42.457679,,
71463819,-73.2464208,42.4595223,,
71464088,-73.249023,42.4587,,
71465152,-73.243648,42.455314,,
71466082,-73.243098,42.457213,,
71467807,-73.246831,42.458313,,
71472964,-73.24984,42.456534,,
71473225,-73.246184,42.45039,,
71473312,-73.245739,42.451899,,
71474264,-73.228549,42.459673,,
71474593,-73.237223,42.458561,,
71474637,-73.249177,42.4553794,,
71475407,-73.2537684,42.4488408,,
71475618,-73.2304738,42.4572229,,
71475649,-73.2481474,42.4585392,,
71476339,-73.248877,42.4495,,
71477183,-73.247577,42.450514,,
71479618,-73.249533,42.449604,,
71481773,-73.233908,42.459148,,
71482409,-73.239706,42.454708,,
71484373,-73.249961,42.452512,,traffic_signals
71486000,-73.247925,42.45169,,
71487863,-73.247146,42.452091,,
71488244,-73.246531,42.449161,,
71490159,-73.231857,42.459099,,
71490785,-73.246534,42.453596,,
71491476,-73.23264,42.459013,,
71494846,-73.245037,42.450115,,
71495814,-73.238219,42.460008,,
71496902,-73.2536012,42.4494133,,
71497745,-73.247287,42.451596,,
71497927,-73.244815,42.448974,,
71498495,-73.228094,42.458098,,
71498813,-73.2521025,42.451433,,
71498993,-73.247888,42.449345,,
71499594,-73.241718,42.457496,,
71500862,-73.24284,42.454363,,
71505652,-73.239056,42.457088,,
71505903,-73.244547,42.450041,,
71508277,-73.234898,42.456458,,
71512913,-73.2500115,42.4479201,,
71513157,-73.239441,42.455666,,
71513757,-73.2524394,42.4492441,,
71516440,-73.237005,42.459423,,
71520112,-73.233314,42.458918,,
71521183,-73.246172,42.454897,,
71523320,-73.2343192,42.4543733,,
71523794,-73.24557,42.452459,,
71524237,-73.233967,42.456453,,
71525566,-73.246869,42.452745,,
71526142,-73.248387,42.447675,,
71526819,-73.246012,42.45096,,
71527100,-73.242662,42.458918,,
71528305,-73.2486211,42.4571623,,
71531349,-73.2522368,42.4500083,,
71532607,-73.246816,42.447401,,
71536000,-73.251706,42.449936,,
71536089,-73.2483306,42.4579954,,
71536565,-73.241726,42.454186,,
71540295,-73.245598,42.457585,,
71542497,-73.239758,42.457193,,
71542791,-73.247481,42.454389,,
71546710,-73.245457,42.458062,,
71547444,-73.236757,42.459407,,
71547736,-73.249777,42.45807,,
71550009,-73.253382,42.450246,,
71552111,-73.2503563,42.4479709,,
71552472,-73.237607,42.459669,,
71553029,-73.242137,42.455069,,
71553192,-73.23125,42.459195,,
71555708,-73.248021,42.452109,,
71556923,-73.241595,42.456971,,
71557370,-73.246754,42.456868,,
71558329,-73.238423,42.460065,,
71559003,-73.244733,42.449322,,
71560053,-73.248629,42.450412,,
71561546,-73.237674,42.456876,,
71562381,-73.239691,42.460141,,
71562438,-73.245194,42.449382,,
71562533,-73.241354,42.458713,,
71562825,-73.2460057,42.4607072,,
71564092,-73.247657,42.458456,,
71565199,-73.24016,42.460106,,
71568270,-73.2482646,42.4581953,,
71570320,-73.245156,42.447071,,
71570953,-73.238128,42.458718,,
71576269,-73.245974,42.451151,,
71576355,-73.241081,42.45451,,
71576983,-73.24161,42.454575,,
71580399,-73.242283,42.460353,,
71580532,-73.2456578,42.4567001,,
71581003,-73.23087,42.45926,,
71582972,-73.240386,42.457291,,
71584318,-73.236285,42.456661,,
71585886,-73.247289,42.455082,,
71586725,-73.250118,42.457721,,
71587730,-73.247375,42.451317,,
71588031,-73.244381,42.450681,,
71593898,-73.2515809,42.4493744,,
71595159,-73.234418,42.459196,,
71595313,-73.252457,42.450033,,
71597131,-73.249632,42.458197,,
71599511,-73.2291482,42.457515,,
71600025,-73.229457,42.459504,,
71603187,-73.243419,42.456111,,
71603522,-73.243865,42.459084,,
71604336,-73.247209,42.451868,,
71605826,-73.244142,42.453564,,
71606510,-73.2507112,42.449788,,traffic_signals
71608819,-73.249532,42.45404,,
71614662,-73.250328,42.451182,,traffic_signals
71615100,-73.24509,42.459272,,
71615450,-73.248453,42.450619,,
71615626,-73.2454171,42.4575559,,
71618762,-73.2461676,42.4602351,,
71619121,-73.2477163,42.4597696,,
71619331,-73.244842,42.460013,,
71620955,-73.243337,42.453093,,
71622499,-73.251293,42.451317,,
71624131,-73.250335,42.45483,,
71624166,-73.243643,42.449718,,
71624882,-73.24767,42.453769,,
71625010,-73.248294,42.451464,,
71627635,-73.2529911,42.4515484,,
71628657,-73.240047,42.458519,,
71629351,-73.242464,42.459664,,
71629938,-73.243869,42.448864,,
71631328,-73.2508442,42.4492802,,
71634011,-73.2489754,42.4560782,,
71638450,-73.240401,42.456805,,
71642054,-73.249367,42.454688,,traffic_signals
71646047,-73.245298,42.454763,,
71646987,-73.241911,42.455884,,
71647683,-73.238063,42.455487,,
71648930,-73.233003,42.459048,,
71651513,-73.2523719,42.4494988,,
