u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
71741648,72158154,0,False,residential,Grabau Drive,204.311,2,12.2,,,,,,,,,9477704,
71741648,72694415,0,False,residential,Grabau Drive,164.901,2,12.2,,,,,,,,,9477704,
71741648,72086658,0,False,residential,Posson Road,88.989,2,12.2,,,,,,,,,9478993,
71745607,72449046,0,False,residential,Lady Slipper Drive,33.58,,12.2,,,,,,,,,9479083,
71745607,72282178,0,False,residential,Lady Slipper Drive,28.087,2,12.2,,,,,,,,,9481109,
71745607,72423318,0,False,residential,Lady Slipper Drive,227.195,2,12.2,,,,,,,,,9481109,
71782599,72574808,0,False,residential,,16.756,,,,,,,,,,,9479463,
71784364,72230479,0,False,residential,Black Cat Road,42.495,2,15.2,,,,,,,,,9477772,
71784364,71880663,0,False,residential,Black Cat Road,280.549,2,15.2,,,,,,,,,9477772,
71784364,72284788,0,False,residential,,262.973,,,,,,,,,,,9479103,
71790252,72347610,0,True,secondary_link,,74.309,1,30.5,,,,,,,,,9478712,
71790252,72280816,0,True,secondary,Carver Road,44.895,2,,,40 mph,,,,,,,48963420,
71799609,72582059,0,False,residential,,121.57,,,,,,,,,,,9480036,
71807490,72407879,0,False,residential,Cayuga Circle,186.665,2,12.2,,,,,,,,,9477518,
71813193,72641949,0,False,residential,Knights Point Road,205.656,1,,,,,,,,,,9477545,
71815307,72679430,0,False,residential,Eaton Way,52.975,2,12.2,,,,,,,,,9477494,
71817869,72391292,0,False,secondary,Seven Hills Road,57.243,2,15.2,,30 mph,,,,,,,277955340,
71817869,72043842,0,False,residential,Jan Marie Drive,372.905,2,12.2,,,,,,,,,9476628,
71817869,71961994,0,False,secondary,Seven Hills Road,698.217,2,15.2,,30 mph,,,,,,,277955340,
71823875,72696482,0,False,residential,,98.952,,,,,,,,,,,9479329,
71869372,72043842,0,False,residential,Jacqueline Lane,636.412,2,12.2,,,,,,,,,9477493,
71869372,72304586,0,False,residential,Jacqueline Lane,147.904,2,12.2,,,,,,,,,9477493,
71869372,72666625,0,False,residential,Jaye Street,538.719,2,12.2,,,,,,,,,9481308,
71880663,71784364,0,False,residential,Black Cat Road,280.549,2,15.2,,,,,,,,,9477772,
71880663,72295015,0,False,residential,Black Cat Road,783.139,2,15.2,,,,,,,,,9477772,
71880663,72723085,0,False,residential,,64.404,,,,,,,,,,,9480579,
71895232,72071942,0,False,residential,Carver Road,147.098,2,12.2,,40 mph,,,,,,,9476529,
71895232,72289504,0,False,secondary,Federal Furnace Road,109.35,2,15.2,,,,,,,,,9477291,
71895232,72272773,0,False,residential,Sleepy Hollow Drive,537.178,2,15.2,,,,,,,,,9477649,
71911306,72342389,0,False,residential,Francis Road,142.69,2,12.2,,,,,,,,,9477685,
71911306,72023163,0,False,residential,Black Cat Road,129.749,2,15.2,,,,,,,,,9477772,
71911306,72641949,0,False,residential,Black Cat Road,175.473,2,15.2,,,,,,,,,9477772,
71917935,71930643,0,False,residential,,128.308,,,,,,,,,,,9479444,
71924865,72538645,0,False,residential,Ice House Road,36.596,2,,,,,,,,,,9478598,
71924865,72538645,1,False,residential,Ice House Road,44.71,2,,,,,,,,,,9478598,
71930643,72256296,0,False,residential,,146.926,,,,,,,,,,,9479444,
71930643,71917935,0,False,residential,,128.308,,,,,,,,,,,9479444,
71930643,71983086,0,False,residential,,268.372,,,,,,,,,,,9479449,
71932285,72541488,0,False,residential,Bumpus Road,212.15,1,3.7,,,,,,,,,9476916,
71932285,71934649,0,False,residential,Black Cat Road,67.964,2,15.2,,,,,,,,,9477772,
71932285,72023163,0,False,residential,Black Cat Road,34.661,2,15.2,,,,,,,,,9477772,
71934649,72045982,0,False,residential,Black Cat Road,321.051,2,15.2,,,,,,,,,9477772,
71934649,71932285,0,False,residential,Black Cat Road,67.964,2,15.2,,,,,,,,,9477772,
71934649,72289896,0,False,residential,,787.349,,,,,,,,,,,9479461,
71940364,72587307,0,False,residential,Seneca Lane,8.001,2,12.2,,,,,,,,,9478653,
71940364,72498336,0,True,secondary,Samoset Street,264.457,2,22.6,,,,,,,,,9478867,
71953872,72706952,0,False,secondary,Federal Furnace Road,32.212,2,15.2,,,,,,,,,9477291,
71953872,72726157,0,False,secondary,Federal Furnace Road,151.957,2,15.2,,,,,,,,,9477291,
71953872,72696482,0,False,residential,Baker Road,119.531,1,,,,,,,,,,9477950,
71961994,72593119,0,False,secondary,Seven Hills Road,4.381,2,15.2,,30 mph,,,,,,,277955340,
71961994,71817869,0,False,secondary,Seven Hills Road,698.217,2,15.2,,30 mph,,,,,,,277955340,
71961994,2860430933,0,True,secondary,,30.235,,,,,,,,,,,282108857,
71964477,72612246,0,False,residential,Black Cat Road,64.255,2,15.2,,,,,,,,,9477772,
71964477,72574808,0,False,residential,Black Cat Road,213.688,2,15.2,,,,,,,,,9477772,
71964477,72468970,0,False,residential,Micajah Pond Road,372.858,2,6.1,,,,,,,,,9478305,
