u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
71797792,72459700,0,False,primary,State Road,75.793,2,15.2,,,,,,,,,9477508,MA 3A
71797792,71922879,0,False,residential,Landing Road,76.453,2,5.2,,,,,,,,,9478883,
71808883,72225337,0,False,residential,Bartlett Road,47.356,2,12.2,,,,,,,,,9477196,
71820193,72380635,0,False,primary,State Road,19.089,2,15.2,,,,,,,,,9477508,MA 3A
71820193,72459700,0,False,primary,State Road,115.816,2,15.2,,,,,,,,,9477508,MA 3A
71831461,72741920,0,False,residential,Melix Avenue,116.797,2,12.2,,,,,,,,,9478043,
71922879,72717143,0,False,residential,Briggs Avenue,206.911,"['1', '2']",12.2,,,,,,,,,"[9478513, 9481319]",
71922879,71797792,0,False,residential,Landing Road,76.453,2,5.2,,,,,,,,,9478883,
71926529,72566187,0,False,primary,State Road,33.581,2,15.2,,,,,,,,,9477508,MA 3A
71926529,72523509,0,False,residential,Florida Avenue,238.858,2,12.2,,,,,,,,,9477608,
71993614,72741920,0,False,residential,Everson Avenue,74.777,2,15.2,,,,,,,,,9476539,
71993614,72680907,0,False,residential,Everson Avenue,72.739,2,15.2,,,,,,,,,9476539,
71993614,72005517,0,False,residential,Cape Cod Avenue,126.468,1,12.2,,,,,,,,,9477872,
71993614,72250540,0,False,residential,Cape Cod Avenue,227.014,2,12.2,,,,,,,,,9480921,
72005517,71993614,0,False,residential,Cape Cod Avenue,126.468,1,12.2,,,,,,,,,9477872,
72215659,72680907,0,False,residential,Reed Avenue,248.528,"['1', '2']",12.2,,,,,,,,,"[9481120, 9476879]",
72215659,72250540,0,False,primary,State Road,72.176,2,15.2,,,,,,,,,9477508,MA 3A
72225337,72717143,0,False,residential,Everson Avenue,70.506,2,15.2,,,,,,,,,9476539,
72225337,71808883,0,False,residential,Bartlett Road,47.356,2,12.2,,,,,,,,,9477196,
72250540,72215659,0,False,primary,State Road,72.176,2,15.2,,,,,,,,,9477508,MA 3A
72250540,71993614,0,False,residential,Cape Cod Avenue,227.014,2,12.2,,,,,,,,,9480921,
72367713,72711607,0,False,residential,Indian Avenue,189.669,1,12.2,,,,,,,,,9478541,
72380635,71820193,0,False,primary,State Road,19.089,2,15.2,,,,,,,,,9477508,MA 3A
72411633,72680907,0,False,residential,,130.335,,,,,,,,,,,9480649,
72459700,71820193,0,False,primary,State Road,115.816,2,15.2,,,,,,,,,9477508,MA 3A
72459700,71797792,0,False,primary,State Road,75.793,2,15.2,,,,,,,,,9477508,MA 3A
72523509,72741920,0,False,residential,Everson Avenue,71.462,2,15.2,,,,,,,,,9476539,
72523509,72711607,0,False,residential,Everson Avenue,73.347,2,15.2,,,,,,,,,9476539,
72523509,71926529,0,False,residential,Florida Avenue,238.858,2,12.2,,,,,,,,,9477608,
72523509,72612582,0,False,residential,Florida Avenue,193.121,2,12.2,,,,,,,,,9477608,
72566187,71926529,0,False,primary,State Road,33.581,2,15.2,,,,,,,,,9477508,MA 3A
72612582,72523509,0,False,residential,Florida Avenue,193.121,2,12.2,,,,,,,,,9477608,
72629124,72717143,0,False,residential,Briggs Avenue,226.615,2,12.2,,,,,,,,,9481319,
72680907,71993614,0,False,residential,Everson Avenue,72.739,2,15.2,,,,,,,,,9476539,
72680907,72411633,0,False,residential,,130.335,,,,,,,,,,,9480649,
72680907,72215659,0,False,residential,Reed Avenue,248.528,"['1', '2']",12.2,,,,,,,,,"[9481120, 9476879]",
72711607,72717143,0,False,residential,Everson Avenue,75.257,2,15.2,,,,,,,,,9476539,
72711607,72523509,0,False,residential,Everson Avenue,73.347,2,15.2,,,,,,,,,9476539,
72711607,72367713,0,False,residential,Indian Avenue,189.669,1,12.2,,,,,,,,,9478541,
72717143,72225337,0,False,residential,Everson Avenue,70.506,2,15.2,,,,,,,,,9476539,
72717143,72711607,0,False,residential,Everson Avenue,75.257,2,15.2,,,,,,,,,9476539,
72717143,71922879,0,False,residential,Briggs Avenue,206.911,"['1', '2']",12.2,,,,,,,,,"[9478513, 9481319]",
72717143,72629124,0,False,residential,Briggs Avenue,226.615,2,12.2,,,,,,,,,9481319,
72741920,72523509,0,False,residential,Everson Avenue,71.462,2,15.2,,,,,,,,,9476539,
72741920,71993614,0,False,residential,Everson Avenue,74.777,2,15.2,,,,,,,,,9476539,
72741920,71831461,0,False,residential,Melix Avenue,116.797,2,12.2,,,,,,,,,9478043,
