u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
73042443,73110055,0,False,secondary,East Squantum Street,10.184,2,15.2,,30 mph,,,,,,,426642352,
73042443,73063265,0,False,secondary,East Squantum Street,436.075,"['3', '2']",15.2,,30 mph,,,,,,,"[426642353, 218183925]",
73042486,73056386,0,False,residential,Crabtree Road,79.372,2,12.2,,,,,,,,,9504306,
73042486,73062258,0,False,residential,Crabtree Road,73.693,2,12.2,,,,,,,,,9504306,
73042486,73112871,0,False,residential,Essex Street,238.09,2,12.2,,,,,,,,,9505271,
73043419,73059574,0,False,residential,Bellevue Road,42.254,2,12.2,,,,,,,,,9505386,
73043419,73100907,0,False,residential,Bellevue Road,53.574,2,12.2,,,,,,,,,9505386,
73043419,73065239,0,False,residential,Dundee Road,60.955,2,12.2,,,,,,,,,9505411,
73043515,73072877,0,False,residential,Border Street,58.056,2,12.2,,,,,,,,,9504236,
73043515,73137332,0,False,residential,Shoreham Street,45.604,2,12.2,,,,,,,,,9505260,
73043515,73067539,0,False,residential,Shoreham Street,49.282,2,12.2,,,,,,,,,9505260,
73043546,73075594,0,False,residential,Bellevue Road,31.63,1,9.1,,,,,,,,,9505915,
73043546,73047150,0,False,residential,"['Crabtree Road', 'Bellevue Road']",401.967,"['1', '2']","['12.2', '9.1']",,,,,,,,,"[9504306, 9505915]",
73043546,73083916,0,False,residential,Seal Rock Lane,74.043,2,9.1,,,,,,,,,9506574,
73044010,73113413,0,False,residential,Preston Square,21.797,,,,,,,,,,,254566278,
73044010,73111955,0,True,residential,Preston Square,86.639,,,,,,,,,,,9506312,
73044010,73111955,1,True,residential,Preston Square,86.475,,,,,,,,,,,254566280,
73044101,73071393,0,False,residential,Sunrise Road,182.985,2,"['12.2', '9.1']",,,,,,,,,"[9505091, 9505412]",
73044453,73073382,0,False,residential,Landgrane Street,46.643,2,9.1,,,,,,,,,9505074,
73044453,73063731,0,False,residential,Mayflower Road,67.935,2,12.2,,,,,,,,,9504911,
73044453,73045232,0,False,residential,Mayflower Road,97.997,2,12.2,,,,,,,,,9504911,
73045091,73108171,0,False,residential,,44.951,,,,,,,,,,,9506228,
73045091,73125984,0,False,residential,Tilden Circle,28.836,,,,,,,,,,,254566284,
73045091,73083442,0,False,residential,Tilden Circle,43.391,,,,,,,,,,,254566284,
73045232,73044453,0,False,residential,Mayflower Road,97.997,2,12.2,,,,,,,,,9504911,
73045232,73056080,0,False,residential,Dundee Road,62.599,2,9.1,,,,,,,,,9505561,
73045232,73104983,0,False,residential,Dundee Road,53.509,2,9.1,,,,,,,,,9505561,
73045502,73083890,0,False,residential,Deerfield Street,227.546,2,12.2,,,,,,,,,9506479,
73045589,73104424,0,False,residential,Orchard Street,137.369,2,12.2,,,,,,,,,9505100,
73045589,73065416,0,False,residential,Brunswick Street,111.814,2,12.2,,,,,,,,,9505738,
73045589,73100886,0,False,residential,Brunswick Street,68.837,2,12.2,,,,,,,,,9505738,
73046326,73087252,0,True,residential,,71.907,,,,,,,,,,roundabout,9506068,
73046326,73072099,0,False,residential,,79.662,,,,,,,,,,,254566319,
73046531,73139957,0,False,tertiary,Huckins Avenue,63.487,2,12.2,,,,,,,,,9504385,
73046531,73047614,0,False,tertiary,Huckins Avenue,62.666,2,12.2,,,,,,,,,9504385,
73046531,73066941,0,False,residential,Bloomfield Street,171.686,2,12.2,,,,,,,,,9505039,
73046573,73052955,0,True,residential,Tilden Commons Drive,69.865,,,,,,,,,,,9506229,
73046573,73089825,0,False,residential,Hutchinson Lane,177.911,,,,,,,,,,,254566271,
73046573,73125984,0,False,residential,Tilden Circle,48.619,,,,,,,,,,,254566284,
73046573,73083442,0,False,residential,Tilden Commons Drive,66.202,,,,,,,,,,,254566286,
73046642,73138779,0,False,residential,Gladstone Street,134.76,2,12.2,,,,,,,,,9505536,
73046642,73091316,0,False,residential,Bayside Road,87.733,2,9.1,,,,,,,,,9506430,
73046642,73125031,0,False,residential,Bayside Road,63.193,2,9.1,,,,,,,,,9506430,
73047064,73054660,0,False,residential,Marina Drive,10.95,,,,,,,,,,,254566272,
73047064,73125680,0,True,residential,Victory Road,231.402,,,,,,,,,,,9506202,
73047064,73069002,0,True,residential,Marina Drive,30.45,,,,,,,,,,,254566277,
73047150,73056386,0,False,residential,Crabtree Road,113.081,2,12.2,,,,,,,,,9504306,
73047150,73043546,0,False,residential,"['Crabtree Road', 'Bellevue Road']",401.967,"['1', '2']","['12.2', '9.1']",,,,,,,,,"[9504306, 9505915]",
73047150,73087753,0,False,residential,East Squantum Street,213.793,2,12.2,,,,,,,,,9504910,
73047371,73089420,0,False,residential,Carrigg Road,47.57,2,9.1,,,,,,,,,9504578,
73047371,73131206,0,False,residential,Ocean Street,108.152,2,9.1,,,,,,,,,9505207,
73047371,73057767,0,False,residential,Ocean Street,163.058,2,9.1,,,,,,,,,9505207,
73047614,73046531,0,False,tertiary,Huckins Avenue,62.666,2,12.2,,,,,,,,,9504385,
73047614,73102503,0,False,tertiary,Huckins Avenue,61.026,2,12.2,,,,,,,,,9504385,
73047614,73090456,0,False,residential,Standish Road,174.396,2,12.2,,,,,,,,,9505512,
73047614,73090066,0,False,residential,Standish Road,171.745,2,12.2,,,,,,,,,9505512,
73048064,73100912,0,False,residential,Heath Street,168.847,2,12.2,,,,,,,,,9505632,
73048691,73072931,0,False,residential,East Squantum Street,32.545,2,15.2,,,,,,,,,9504405,
73048691,73135710,0,False,secondary,Dorchester Street,196.648,2,15.2,,,,,,,,,9504687,
73048691,73116472,0,False,secondary,East Squantum Street,36.162,2,15.2,,,,,,,,,9506518,
73050393,73087919,0,False,residential,Marina Drive,52.071,,,,,,,,,,,9506073,
73050393,73126167,0,False,residential,Marina Drive,26.097,,,,,,,,,,,9506073,
