osmid,x,y,ref,highway
74506755,-70.8956783,42.5214392,,
74508718,-70.9024401,42.5212942,,
74511477,-70.90253,42.520241,,
74512810,-70.89864,42.5214067,,traffic_signals
74513238,-70.9000265,42.522389,,
74515715,-70.8996535,42.5234532,,
74516255,-70.90303,42.521021,,
74517441,-70.8975696,42.5214427,,
74518723,-70.8987774,42.5225449,,
74518908,-70.8986903,42.5218396,,
74519926,-70.895834,42.522474,,
74525170,-70.8987497,42.5230374,,
74526028,-70.905617,42.51985,,
74531356,-70.903889,42.519186,,traffic_signals
74532391,-70.9012891,42.5218194,,
74532623,-70.8958904,42.5228243,,
74533101,-70.8976221,42.5214416,,
74539623,-70.905003,42.52124,,
74542114,-70.8999347,42.5217659,,
74544223,-70.9093696,42.5191646,,
74544831,-70.9034145,42.5208537,,
74546788,-70.904532,42.521415,,
74549422,-70.9026337,42.5218503,,
74550420,-70.8992629,42.5232451,,
74550933,-70.9053075,42.5178474,,traffic_signals
74554916,-70.904787,42.518418,,
74555067,-70.905586,42.519138,,
74556309,-70.8988609,42.5228244,,
74560497,-70.899202,42.521806,,
74560841,-70.9013028,42.5219832,,
74561242,-70.904045,42.52162,,
74561675,-70.8990142,42.5212611,,
74564027,-70.8968646,42.5238009,,
74568578,-70.8974921,42.5224352,,
74568589,-70.8958165,42.5223549,,
74569711,-70.90461,42.520304,,
74570363,-70.8987664,42.522824,,
74570657,-70.8959831,42.5230117,,
74570896,-70.899756,42.5234324,,
74574152,-70.902772,42.5223368,,
74574513,-70.9052904,42.521041,,
74574541,-70.8988389,42.5235076,,
486878485,-70.8987424,42.5231994,,traffic_signals
705688838,-70.8962747,42.5237895,,
705688855,-70.8960282,42.5232712,,
1070482419,-70.8988613,42.5231061,,traffic_signals
1070482421,-70.8987491,42.5230989,,traffic_signals
1070482423,-70.898856,42.523216,,traffic_signals
1489991281,-70.8960902,42.523814,,traffic_signals
