osmid,x,y,ref,highway
61170401,-71.0830303,42.3926201,,traffic_signals
61171355,-71.0842658,42.3976391,,traffic_signals
61171356,-71.0841329,42.3980323,,
61171499,-71.0835447,42.3944388,,
61171593,-71.0839012,42.3957311,,
61172071,-71.081776,42.3901301,,traffic_signals
61172148,-71.0784184,42.387592,,
61172556,-71.075732,42.390026,,
61172592,-71.0846586,42.3965386,,traffic_signals
61172597,-71.0844441,42.3971383,,
61172847,-71.0842989,42.3963017,,
61173892,-71.0824267,42.3906657,,
61174092,-71.0813786,42.389832,,traffic_signals
61176237,-71.084834,42.3960809,,
61176284,-71.0849639,42.395731,,
61178429,-71.0832819,42.3916733,,
61180297,-71.0828539,42.3920154,,
61180298,-71.0833623,42.3937884,,
71917463,-71.0842556,42.394019,,
71921397,-71.082861,42.3971563,,
71938094,-71.0856893,42.3939796,,traffic_signals
71945047,-71.0775815,42.388917,,
71947029,-71.0837557,42.3974689,,
71952497,-71.0839719,42.3926748,,motorway_junction
599484663,-71.0776448,42.3869787,,traffic_signals
1042237031,-71.0781268,42.3873747,,
1045509075,-71.0777362,42.3870558,,traffic_signals
1045953984,-71.0808048,42.3939517,,
1045954006,-71.0810647,42.3948753,,
1046017772,-71.0775278,42.3934424,,
1046111560,-71.0795161,42.3951109,,
1046111563,-71.0794021,42.3951283,,
1046111566,-71.079143,42.3942003,,
1046111577,-71.0797581,42.3959479,,
1046133300,-71.0781658,42.3953164,,
1046133339,-71.0809493,42.3960121,,
1734854834,-71.0799878,42.3912489,,traffic_signals
2257326107,-71.079707,42.391589,,
2259228330,-71.0811884,42.396241,,
2259228477,-71.0815691,42.3962695,,
2259228535,-71.0813225,42.3963571,,
2259228596,-71.0815476,42.3961362,,
2259526927,-71.0844954,42.3969938,,
2611665279,-71.0831746,42.3931337,,
2849772778,-71.0788721,42.393246,,
3593690199,-71.0805418,42.3929939,,
3593690202,-71.0806833,42.3935052,,
3593698331,-71.0801858,42.3917159,,
3593702546,-71.077987,42.3883941,,
3601079103,-71.0843423,42.3964993,,
3603109225,-71.0812477,42.3955521,,
3603211295,-71.0775008,42.3944276,,
3603317814,-71.0793745,42.3951325,,
3603317829,-71.079288,42.395976,,
3603321563,-71.0774936,42.3889379,,
3603840868,-71.0827932,42.3907325,29,motorway_junction
4061977864,-71.0812963,42.3960871,,
4061977865,-71.081276,42.3960957,,
5248155316,-71.0848059,42.3933057,,
