u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
61170353,61170521,0,True,secondary,Elm Street,14.858,2,18.3,,,,,,,,,8608834,
61170385,61174939,0,True,residential,Chester Street,52.96,1,12.2,,,,,,,,,8608836,
61170385,71916210,0,False,residential,Herbert Street,117.101,2,12.2,,,,,,,,,9430128,
61170387,1080047531,0,True,secondary,Elm Street,72.85,2,18.3,,,,,,,,,8608834,
61170387,61170385,0,True,residential,Chester Street,70.679,1,12.2,,,,,,,,,8608836,
61170474,71938495,0,True,residential,Cutter Avenue,47.79,2,12.2,,,,,,,,,9428757,
61170519,61170474,0,True,residential,Cutter Avenue,36.093,2,12.2,,,,,,,,,9428757,
61170521,61170474,0,True,tertiary,Summer Street,81.557,1,13.7,,,,,,,,,8605127,
61170521,61170519,0,True,secondary,Elm Street,91.614,1,18.3,,,,,,,,,93167676,
61172044,71925824,0,False,residential,Villa Avenue,52.661,2,9.1,,,,,,,,,9429559,
61172044,71942105,0,True,residential,Winslow Avenue,89.666,2,12.2,,,,,,,,,8607498,
61172132,61176460,0,True,residential,Meacham Road,49.962,2,12.2,,,,,,,,,8605187,
61172132,71919464,0,False,residential,Glover Circle,41.634,2,6.1,,,,,,,,,9429391,
61172132,71928946,0,False,residential,Lester Terrace,67.954,2,7.3,,,,,,,,,9429597,
61173070,61174622,0,False,secondary,Broadway,70.043,2,21.3,,,,,,,,,279671648,
61173070,470520887,0,False,secondary,Broadway,110.122,2,21.3,,,,,,,,,279671648,
61174434,71951639,0,False,residential,Chandler Street,155.007,2,12.2,,,,,,,,,9430071,
61174434,61174728,0,False,secondary,Broadway,72.155,2,21.3,,,,,,,,,279671648,
61174434,61180980,0,False,secondary,Broadway,73.308,2,21.3,,,,,,,,,279671648,
61174622,71927337,0,False,residential,Corinthian Road,187.647,2,12.2,,,,,,,,,9429861,
61174622,61173070,0,False,secondary,Broadway,70.043,2,21.3,,,,,,,,,279671648,
61174622,61174749,0,False,secondary,Broadway,26.864,2,21.3,,,,,,,,,279671648,
61174721,61174772,0,False,secondary,Broadway,26.145,2,21.3,,,,,,,,,279671648,
61174721,61174728,0,False,secondary,Broadway,61.532,2,21.3,,,,,,,,,279671648,
61174721,71925382,0,True,residential,Irving Street,377.657,2,12.2,,,,,,,,,9430174,
61174728,71949958,0,True,residential,Leonard Street,80.244,2,12.2,,,,,,,,,9429799,
61174728,61174721,0,False,secondary,Broadway,61.532,2,21.3,,,,,,,,,279671648,
61174728,71928165,0,True,residential,Wallace Street,375.702,2,12.2,,,,,,,,,9428845,
61174728,61174434,0,False,secondary,Broadway,72.155,2,21.3,,,,,,,,,279671648,
61174731,71919872,0,True,residential,Simpson Avenue,205.324,2,12.2,,,,,,,,,9429875,
61174731,61174749,0,False,secondary,Broadway,35.458,2,21.3,,,,,,,,,279671648,
61174731,61174772,0,False,secondary,Broadway,40.968,2,21.3,,,,,,,,,279671648,
61174743,61174772,0,False,residential,Burnham Street,191.042,2,12.2,,,,,,,,,9429952,
61174743,61180746,0,False,secondary,Powder House Boulevard,82.409,2,21.3,,,,,,,,,46785938,
61174749,71951971,0,False,unclassified,Mason Street,58.687,2,12.2,,,,,,,,,8605424,
61174749,61174622,0,False,secondary,Broadway,26.864,2,21.3,,,,,,,,,279671648,
61174749,61174731,0,False,secondary,Broadway,35.458,2,21.3,,,,,,,,,279671648,
61174772,61174743,0,False,residential,Burnham Street,191.042,2,12.2,,,,,,,,,9429952,
61174772,61174731,0,False,secondary,Broadway,40.968,2,21.3,,,,,,,,,279671648,
61174772,61174721,0,False,secondary,Broadway,26.145,2,21.3,,,,,,,,,279671648,
61174939,71920781,0,True,residential,Chester Street,87.66,1,12.2,,,,,,,,,8608836,
61174939,71914228,0,False,residential,Chester Place,65.113,2,12.2,,,,,,,,,9429283,
61174939,71915191,0,False,residential,Cottage Avenue,71.384,2,12.2,,,,,,,,,9429572,
61175693,71927141,0,False,residential,Elmwood Street,39.981,2,12.2,,,,,,,,,9429160,
61176009,61172044,0,True,residential,Winslow Avenue,83.814,2,12.2,,,,,,,,,8607498,
61176009,71936030,0,False,residential,"['Clifton Street', 'Winslow Avenue']",240.813,2,12.2,,25 mph,,,,,,,"[104214826, 8605532]",
61176009,64295766,0,False,residential,Grove Street,62.518,2,12.2,,,,,,,,,377077301,
61176069,61172132,0,True,residential,Meacham Road,31.954,2,12.2,,,,,,,,,8605187,
61176069,71952529,0,False,residential,Buena Vista Road,168.491,2,9.1,,,,,,,,,8604965,
61176182,61176069,0,True,residential,Meacham Road,139.047,2,12.2,,,,,,,,,8605187,
61176182,71921342,0,True,tertiary,Dover Street,215.696,1,12.2,,,,,,,,,8614784,
61176207,71921342,0,True,residential,Orchard Street,80.237,2,12.2,,,,,,,,,9429505,
61176290,61177224,0,False,residential,Newberne Street,56.68,2,12.2,,25 mph,,,,,,,8605579,
61176290,71936030,0,False,tertiary,Morrison Avenue,83.531,2,12.2,,,,,,,,,9428731,
61176326,71949050,0,True,secondary,College Avenue,25.323,2,21.3,,,,,,,,,9429335,
61176326,71930313,0,True,secondary,Highland Avenue,20.342,1,18.3,,,,,,,,,93168581,
61176326,71948241,0,False,secondary,College Avenue,67.413,"['3', '2']",21.3,,,,,,,,,"[426480236, 93168580, 109101008]",
61176326,71937408,0,True,secondary,Holland Street,52.639,1,,,,,,,,,,93168582,
61176365,61176207,0,True,residential,Meacham Road,29.041,2,12.2,,,,,,,,,8605187,
61176365,71927154,0,False,residential,Campbell Park,134.957,2,12.2,,,,,,,,,9430035,
61176460,61176365,0,True,residential,Meacham Road,55.189,2,12.2,,,,,,,,,8605187,
61176460,71950805,0,False,residential,Kingston Street,90.874,2,12.2,,,,,,,,,9429821,
61177224,61176290,0,False,residential,Newberne Street,56.68,2,12.2,,25 mph,,,,,,,8605579,
61179364,61170387,0,True,secondary,Elm Street,79.965,2,18.3,,,,,,,,,8608834,
61180738,61180746,0,False,unclassified,Mason Street,66.488,2,12.2,,,,,,,,,8605424,
61180738,71945118,0,False,unclassified,Mason Street,46.746,2,12.2,,,,,,,,,8605424,
61180738,71933526,0,False,residential,Ossipee Road,210.594,2,12.2,,,,,,,,,9428740,
61180746,61180738,0,False,unclassified,Mason Street,66.488,2,12.2,,,,,,,,,8605424,
61180746,61174743,0,False,secondary,Powder House Boulevard,82.409,2,21.3,,,,,,,,,46785938,
61180974,61180980,0,False,secondary,Broadway,76.336,2,21.3,,,,,,,,,279671648,
61180974,939250221,0,False,secondary,Broadway,69.758,2,21.3,,,,,,,,,279671648,
61180980,61174434,0,False,secondary,Broadway,73.308,2,21.3,,,,,,,,,279671648,
61180980,61180974,0,False,secondary,Broadway,76.336,2,21.3,,,,,,,,,279671648,
64295766,61176009,0,False,residential,Grove Street,62.518,2,12.2,,,,,,,,,377077301,
71914228,61174939,0,False,residential,Chester Place,65.113,2,12.2,,,,,,,,,9429283,
71914630,61176009,0,True,residential,Grove Street,55.337,2,12.2,,,,,,,,,8607499,
71914630,71917425,0,False,tertiary,Morrison Avenue,90.601,2,12.2,,,,,,,,,9428731,
71914630,71948665,0,False,tertiary,Morrison Avenue,174.352,2,12.2,,,,,,,,,9428731,
71915026,71925824,0,False,residential,Villa Avenue,11.252,2,9.1,,,,,,,,,9429559,
71915191,61174939,0,False,residential,Cottage Avenue,71.384,2,12.2,,,,,,,,,9429572,
71915191,71929386,0,False,residential,Cottage Avenue,37.507,2,12.2,,,,,,,,,9429572,
71915191,1080047531,0,True,residential,Bowers Avenue,103.267,2,7.9,,,,,,,,,9429803,
71916120,71917425,0,False,residential,Morrison Place,43.053,2,5.5,,25 mph,,,,,,,9429122,
71916210,71949050,0,True,tertiary,Day Street,74.948,1,,,,,,,,,,8615448,
71916210,61170385,0,False,residential,Herbert Street,117.101,2,12.2,,,,,,,,,9430128,
71916921,71922302,0,False,secondary,Holland Street,15.281,2,18.3,,,,,,,,,255480979,
71916921,71932004,0,True,residential,Jay Street,179.325,1,12.2,,,,,,,,,9429664,
71916921,71925478,0,False,secondary,Holland Street,90.818,2,18.3,,,,,,,,,255480979,
71917425,71941036,0,False,tertiary,Morrison Avenue,54.194,2,12.2,,,,,,,,,9428731,
71917425,71914630,0,False,tertiary,Morrison Avenue,90.601,2,12.2,,,,,,,,,9428731,
71917425,71916120,0,False,residential,Morrison Place,43.053,2,5.5,,25 mph,,,,,,,9429122,
71917681,71929386,0,False,residential,Cottage Avenue,69.775,2,12.2,,,,,,,,,9429572,
71917681,61170519,0,True,residential,Russell Street,69.498,2,12.2,,25 mph,,,,,,,9429402,
71917844,71932004,0,False,residential,Howard Street,69.615,2,12.2,,,,,,,,,9428793,
71917844,71918454,0,False,residential,Thorndike Street,35.181,2,12.2,,,,,,,,,9429131,
71917844,71925382,0,False,residential,Thorndike Street,113.272,2,12.2,,,,,,,,,9429131,
71918454,71917844,0,False,residential,Thorndike Street,35.181,2,12.2,,,,,,,,,9429131,
71919464,61172132,0,False,residential,Glover Circle,41.634,2,6.1,,,,,,,,,9429391,
71919518,1817080197,0,True,residential,Cutter Avenue,1.808,2,12.2,,,,,,,,,9428757,
71919872,71927337,0,False,residential,Cady Avenue,48.977,2,12.2,,,,,,,,,9429105,
71919872,71922302,0,True,residential,Simpson Avenue,125.435,2,12.2,,,,,,,,,9429875,
71919935,939250378,0,True,residential,Park Avenue,91.596,2,12.2,,,,,,,,,9429605,
71919935,71927287,0,False,residential,Chandler Street,162.437,2,12.2,,,,,,,,,9430071,
71920781,71928280,0,True,residential,Orchard Street,86.662,2,12.2,,,,,,,,,9429505,
71921132,71928812,0,True,residential,Bay State Avenue,106.387,2,12.2,,25 mph,,,,,,,9429525,
71921132,71929474,0,False,unclassified,Kidder Avenue,68.666,2,12.2,,,,,,,,,9429707,
71921132,71944568,0,False,unclassified,Kidder Avenue,71.479,2,12.2,,,,,,,,,9429707,
71921342,71948855,0,True,residential,Orchard Street,82.498,2,12.2,,,,,,,,,9429505,
71921456,71932004,0,False,residential,Howard Street,61.643,2,12.2,,,,,,,,,9428793,
71921456,71925478,0,True,residential,Gorham Street,246.458,2,12.2,,,,,,,,,9429401,
71922302,71916921,0,False,secondary,Holland Street,15.281,2,18.3,,,,,,,,,255480979,
71922302,71925382,0,False,secondary,Holland Street,66.682,2,18.3,,,,,,,,,255480979,
71922378,71927913,0,True,residential,Billingham Street,73.458,1,12.2,,,,,,,,,9429091,
71922378,71952460,0,False,residential,Summit Street,94.082,2,12.2,,,,,,,,,9429373,
71922472,71922378,0,True,residential,Billingham Street,73.309,1,12.2,,,,,,,,,9429091,
71922472,71943115,0,False,residential,William Street,64.431,2,12.2,,,,,,,,,9429583,
71922472,71951639,0,False,residential,William Street,65.084,2,12.2,,,,,,,,,9429583,
71922749,71928812,0,False,residential,Foskett Street,72.254,2,12.2,,25 mph,,,,,,,9428988,
71922749,71928101,0,False,residential,Liberty Avenue,31.157,2,12.2,,25 mph,,,,,,,9429703,
71922749,71942180,0,False,residential,Liberty Avenue,37.97,2,12.2,,25 mph,,,,,,,9429703,
71923104,71944568,0,False,unclassified,Kidder Avenue,81.48,2,12.2,,,,,,,,,9429707,
71923104,71952460,0,False,unclassified,Kidder Avenue,124.599,2,12.2,,,,,,,,,9429707,
71923161,71927287,0,False,residential,Chapel Street,96.192,2,12.2,,,,,,,,,9429889,
71923161,939250355,0,False,secondary,College Avenue,74.503,2,21.3,,,,,,,,,109101008,
71923161,71923911,0,False,secondary,College Avenue,16.919,2,21.3,,,,,,,,,109101008,
71923519,71950805,0,False,residential,Thorndike Street,36.782,2,12.2,,,,,,,,,9428914,
71923911,71923161,0,False,secondary,College Avenue,16.919,2,21.3,,,,,,,,,109101008,
71923911,71948665,0,False,secondary,College Avenue,95.3,2,21.3,,,,,,,,,109101008,
71925382,71922302,0,False,secondary,Holland Street,66.682,2,18.3,,,,,,,,,255480979,
71925382,71952529,0,False,secondary,Holland Street,44.288,2,18.3,,,,,,,,,255480979,
71925382,71917844,0,False,residential,Thorndike Street,113.272,2,12.2,,,,,,,,,9429131,
71925478,61173070,0,True,residential,Paulina Street,253.129,2,12.2,,,,,,,,,9430069,
71925478,71948894,0,False,secondary,Holland Street,72.383,2,18.3,,,,,,,,,255480979,
71925478,71916921,0,False,secondary,Holland Street,90.818,2,18.3,,,,,,,,,255480979,
71925824,61172044,0,False,residential,Villa Avenue,52.661,2,9.1,,,,,,,,,9429559,
71925824,71915026,0,False,residential,Villa Avenue,11.252,2,9.1,,,,,,,,,9429559,
71925824,71928023,0,False,residential,Elm Court,32.167,1,4.9,,,,,,,,,9429991,
71925858,71935198,0,False,secondary,Holland Street,31.013,2,18.3,,,,,,,,,255480979,
71925858,71937408,0,False,secondary,Holland Street,108.844,2,18.3,,,,,,,,,"[93168578, 255480979]",
71926183,71927141,0,False,residential,Tannery Brook Row,62.846,2,6.1,,,,,,,,,9428724,
71927141,71926183,0,False,residential,Tannery Brook Row,62.846,2,6.1,,,,,,,,,9428724,
71927141,71929134,0,False,residential,Elmwood Street,41.097,2,12.2,,,,,,,,,9429160,
71927141,61175693,0,False,residential,Elmwood Street,39.981,2,12.2,,,,,,,,,9429160,
71927154,71950805,0,False,residential,Kingston Street,67.164,2,12.2,,,,,,,,,9429821,
71927154,61176365,0,False,residential,Campbell Park,134.957,2,12.2,,,,,,,,,9430035,
71927154,71949282,0,False,residential,Kingston Street,25.037,2,12.2,,,,,,,,,9429821,
71927287,71923161,0,False,residential,Chapel Street,96.192,2,12.2,,,,,,,,,9429889,
71927287,71951639,0,False,residential,Chandler Street,75.385,2,12.2,,,,,,,,,9430071,
71927287,71919935,0,False,residential,Chandler Street,162.437,2,12.2,,,,,,,,,9430071,
71927337,71919872,0,False,residential,Cady Avenue,48.977,2,12.2,,,,,,,,,9429105,
71927337,71946351,0,False,residential,Cady Avenue,18.102,2,12.2,,,,,,,,,9429105,
71927337,61174622,0,False,residential,Corinthian Road,187.647,2,12.2,,,,,,,,,9429861,
71927913,61180980,0,True,residential,Billingham Street,43.493,1,12.2,,,,,,,,,9429091,
71928023,71925824,0,False,residential,Elm Court,32.167,1,4.9,,,,,,,,,9429991,
71928101,939250355,0,True,residential,Francesca Avenue,249.626,2,12.2,,25 mph,,,,,,,9429650,
71928101,71944568,0,False,residential,Liberty Avenue,71.988,2,12.2,,25 mph,,,,,,,9429703,
71928101,71922749,0,False,residential,Liberty Avenue,31.157,2,12.2,,25 mph,,,,,,,9429703,
71928165,71935198,0,True,residential,Wallace Street,53.747,2,12.2,,,,,,,,,9428845,
71928165,71919935,0,True,residential,Park Avenue,68.668,2,12.2,,,,,,,,,9429605,
71928812,71922749,0,False,residential,Foskett Street,72.254,2,12.2,,25 mph,,,,,,,9428988,
71928812,71934562,0,False,residential,Foskett Street,68.987,2,12.2,,25 mph,,,,,,,9428988,
71928946,61172132,0,False,residential,Lester Terrace,67.954,2,7.3,,,,,,,,,9429597,
71929134,71939657,0,False,residential,Elmwood Street,53.576,2,12.2,,,,,,,,,9429160,
71929134,71927141,0,False,residential,Elmwood Street,41.097,2,12.2,,,,,,,,,9429160,
71929134,71938557,0,False,residential,Harrison Road,67.735,2,10.7,,,,,,,,,9429801,
71929386,71915191,0,False,residential,Cottage Avenue,37.507,2,12.2,,,,,,,,,9429572,
71929386,71917681,0,False,residential,Cottage Avenue,69.775,2,12.2,,,,,,,,,9429572,
71929386,71929592,0,False,residential,Cottage Circle,22.887,2,7.3,,,,,,,,,9429578,
71929474,71921132,0,False,unclassified,Kidder Avenue,68.666,2,12.2,,,,,,,,,9429707,
71929592,71929386,0,False,residential,Cottage Circle,22.887,2,7.3,,,,,,,,,9429578,
71929902,71949282,0,False,residential,Campbell Park Place,22.959,2,7.3,,,,,,,,,9429430,
71929945,71944823,0,False,secondary,Holland Street,75.353,2,18.3,,,,,,,,,255480979,
71930313,71949050,0,True,secondary,Holland Street,28.521,2,18.3,,,,,,,,,9429560,
