osmid,x,y,ref,highway
61170320,-71.0814075,42.3870508,,
61170583,-71.0862116,42.3905789,,
61170590,-71.0874024,42.3894273,,
61170633,-71.0902257,42.3907729,,
61170675,-71.082369,42.386065,,
61170691,-71.0830039,42.3862333,,
61170761,-71.085432,42.384944,,
61170769,-71.087035,42.385445,,
61170890,-71.084212,42.384563,,
61170908,-71.082681,42.384143,,
61171011,-71.086913,42.3836734,,
61171114,-71.082264,42.3872989,,traffic_signals
61171121,-71.0816694,42.387124,,
61171122,-71.0801502,42.3866839,,
61171456,-71.087838,42.385692,,traffic_signals
61171710,-71.0785866,42.3866189,,traffic_signals
61171713,-71.0789392,42.3869645,,
61171723,-71.0801414,42.3881945,,
61171764,-71.0866745,42.3890983,,traffic_signals
61171868,-71.0840065,42.387881,,
61171869,-71.0841754,42.3878195,,
61171870,-71.084663,42.388168,,
61172019,-71.0855831,42.3825298,,
61172025,-71.0860815,42.3817853,,
61172122,-71.0858999,42.3820532,,
61173342,-71.0853155,42.3884663,,
61173400,-71.0878051,42.3894405,,
61173796,-71.0826636,42.3874287,,
61173817,-71.0862143,42.3813165,,
61174147,-71.0897087,42.3803134,,
61176726,-71.0867769,42.3889969,,traffic_signals
61177497,-71.0849675,42.3815195,,
61177546,-71.084823,42.38369,,
61177566,-71.0851763,42.3831336,,
61178852,-71.0833816,42.3856914,,
61178858,-71.083676,42.385309,,
61179360,-71.0805685,42.3868039,,
61182857,-71.0818303,42.3839186,,
71914013,-71.0837609,42.3911201,,
71914323,-71.0847543,42.3880826,,
71914849,-71.0850642,42.3882164,,
71915386,-71.0896828,42.3808424,,
71915679,-71.0880708,42.3897411,,traffic_signals
71916041,-71.0839152,42.3907281,,
71916072,-71.0857786,42.3934663,28,motorway_junction
71916241,-71.0865383,42.3819066,,
71916692,-71.0807847,42.3867492,,
71917295,-71.084642,42.385606,,
71917736,-71.0791221,42.3844359,,
71917803,-71.0817374,42.3870207,,
71918431,-71.0795623,42.387262,,
71918823,-71.086871,42.382345,,
71919255,-71.0833439,42.3876574,,
71919286,-71.080612,42.385769,,
71919782,-71.084907,42.386797,,
71921150,-71.0867195,42.3874767,,
71921379,-71.0819,42.38528,,
71921800,-71.0812706,42.3890001,,
71921909,-71.0861982,42.3915546,,
71922096,-71.0816559,42.3862168,,
71922158,-71.0913385,42.3838324,,
71922195,-71.0857958,42.3871293,,
71922214,-71.0799334,42.3847047,,stop
71922347,-71.0895261,42.3836731,,
71922489,-71.0873669,42.3864397,,
71923072,-71.090605,42.382451,,
71923529,-71.081813,42.3884636,,
71923710,-71.0910178,42.3844917,,
71924019,-71.082227,42.3833484,,
71924237,-71.084547,42.3824977,,
71924398,-71.0854477,42.3925436,,traffic_signals
71925494,-71.0860555,42.386738,,
71926656,-71.0855429,42.3858935,,
71927644,-71.0902199,42.3824657,,
71927775,-71.0869631,42.3870868,,
71928367,-71.0817707,42.3831645,,
71928614,-71.0803943,42.3841021,,
71928940,-71.087359,42.383126,,
71929370,-71.0823872,42.3887776,,
71930075,-71.0855502,42.3901953,,
71930140,-71.0897915,42.3832461,,
71930238,-71.0859831,42.3886445,,traffic_signals
71930343,-71.0834411,42.3907684,,motorway_junction
71930452,-71.0903314,42.382161,,
71930893,-71.081306,42.385755,,
71930907,-71.0890909,42.3842175,,
71930956,-71.0878588,42.3879989,,
71931460,-71.086081,42.385151,,
71931550,-71.0810292,42.3850672,,
71932039,-71.0896793,42.3879304,,
71932170,-71.0846182,42.3900439,,
71932617,-71.0876593,42.3827652,,
71933001,-71.088709,42.386468,,
71933664,-71.0806356,42.3837773,,
71934472,-71.08725,42.381743,,
71934738,-71.0893136,42.3884772,,
71934785,-71.084065,42.389726,,
71934832,-71.0861891,42.3865377,,
71934861,-71.0882013,42.3896124,,traffic_signals
71934883,-71.0804642,42.3874332,,
71935545,-71.0859585,42.3826394,,
71935591,-71.0794328,42.3853721,,
71935803,-71.0800216,42.3873925,,
71936688,-71.087552,42.384541,,
71936696,-71.089736,42.3833486,,
71937871,-71.0779966,42.3859699,,
71938313,-71.0848619,42.3898119,,
71938445,-71.0792424,42.3876805,,
71938454,-71.0787934,42.3861927,,traffic_signals
71938568,-71.0901179,42.3826617,,
71940071,-71.0814158,42.3845034,,
71940828,-71.0887767,42.3883015,,
71941962,-71.085671,42.384541,,
71942094,-71.080589,42.3866968,,
71942212,-71.0823296,42.3871912,,traffic_signals
71942232,-71.0829425,42.3890928,,
71942285,-71.0893845,42.3829802,,
71942309,-71.0882582,42.3898271,,traffic_signals
71942457,-71.0868398,42.3909419,,traffic_signals
71942831,-71.0826134,42.385477,,
71942878,-71.0797456,42.3864609,,
71943649,-71.0879348,42.3824883,,
71943976,-71.086646,42.387593,,
71944639,-71.0864595,42.3936067,,
71944725,-71.0834052,42.384343,,
71945764,-71.086596,42.384238,,
71945807,-71.08017,42.3856362,,
71946644,-71.0816687,42.3883776,,
71947343,-71.0832797,42.3875024,,
71947595,-71.0858865,42.393071,,traffic_signals
71947935,-71.0852071,42.3922933,,
71948841,-71.0834314,42.3893737,,
71949576,-71.0909666,42.3828702,,
71949631,-71.0865271,42.3822401,,
71949802,-71.0900361,42.3873401,,
71950138,-71.0804412,42.3861162,,
71950599,-71.0913576,42.3836564,,traffic_signals
71951432,-71.0807389,42.3836296,,
71952232,-71.081195,42.385947,,
71952795,-71.0854221,42.3929424,,traffic_signals
71952893,-71.0827356,42.3898975,,
71953576,-71.088619,42.3821452,,
71953775,-71.0876209,42.3810725,,crossing
71954879,-71.081563,42.385218,,
555825223,-71.0869471,42.3890694,,
1041959430,-71.0896745,42.380812,,
1042274281,-71.0858819,42.3932991,,traffic_signals
1043623286,-71.0840322,42.3897078,,
1043623298,-71.0859201,42.3887428,,traffic_signals
1043623303,-71.0835029,42.3894134,,
1043796712,-71.0869878,42.3870483,,
1043831390,-71.0832034,42.3876075,,
1043831397,-71.0822675,42.3887063,,
1043831410,-71.0841097,42.387917,,
1044009808,-71.0828387,42.3890329,,
1044009810,-71.0813085,42.3869007,,
1045509022,-71.0784547,42.3865667,,traffic_signals
1045509055,-71.0788256,42.3863104,,traffic_signals
1047198061,-71.0890197,42.384298,,
1047198064,-71.0851454,42.3831851,,
1219399459,-71.0903702,42.3835489,,
1220070305,-71.079371,42.3840435,,
1305369629,-71.0870741,42.3909832,,traffic_signals
1519077277,-71.0775639,42.3858504,,
1644658378,-71.0913566,42.3837448,,traffic_signals
1690913447,-71.0807015,42.3849638,,
1690913536,-71.0805249,42.385264,,
3421897582,-71.0840789,42.3877841,,
3593702544,-71.0788726,42.386215,,traffic_signals
3593702547,-71.078707,42.3862771,,traffic_signals
3833661981,-71.087729,42.3895806,,
3833661985,-71.0878531,42.3899534,,
3862502289,-71.0796886,42.3865537,,
5175146210,-71.0834323,42.387556,,
