osmid,x,y,ref,highway
66195654,-70.515995,41.597812,,
66209703,-70.539735,41.637106,,
67291728,-70.5394577,41.5997533,,
67291833,-70.516837,41.579367,,
67291983,-70.557731,41.601401,,
67293206,-70.530832,41.609862,,
67295277,-70.536149,41.60961,,
67296022,-70.521309,41.586846,,
67298219,-70.5282409,41.589049,,
67299299,-70.537842,41.580201,,
67299472,-70.530196,41.587176,,
67299769,-70.543345,41.569274,,
67300108,-70.533334,41.576304,,
67300471,-70.540372,41.579357,,
67301493,-70.5362105,41.5745794,,
67301957,-70.544168,41.561314,,
67302599,-70.532378,41.578411,,
67302898,-70.515106,41.583603,,
67303523,-70.510738,41.575264,,
67304233,-70.536276,41.580307,,
67305214,-70.541749,41.567916,,
67305460,-70.5510432,41.5991654,,
67305612,-70.540918,41.5967185,,
67307252,-70.536455,41.5706721,,
67307853,-70.532576,41.577686,,
67308601,-70.5281462,41.5857712,,
67310262,-70.539907,41.570673,,
67311338,-70.5395203,41.5660164,,
67311542,-70.5390116,41.5673324,,
67314156,-70.542856,41.566044,,
67314213,-70.505601,41.585119,,
67314605,-70.5355383,41.5728445,,
67314637,-70.548577,41.626516,,
67315933,-70.544083,41.621993,,
67316033,-70.531078,41.575542,,
67316579,-70.562397,41.610609,,
67317525,-70.541391,41.568645,,
67317868,-70.5435,41.565226,,
67318819,-70.561299,41.604666,,
67319189,-70.562111,41.60422,,
67321850,-70.549216,41.62439,,
67322346,-70.536133,41.569821,,
67323160,-70.543312,41.564684,,
67323350,-70.5342701,41.5795988,,
67325656,-70.529246,41.578152,,
67325682,-70.511027,41.582488,,
67325940,-70.5373327,41.5716762,,
67326155,-70.549733,41.62477,,
67326244,-70.544281,41.559916,,
67326422,-70.539176,41.56308,,
67326619,-70.533916,41.591534,,
67328108,-70.514249,41.582198,,
67328507,-70.523493,41.583661,,
67329093,-70.530267,41.573737,,
67329661,-70.55983,41.60172,,
67330544,-70.501947,41.588898,,
67333540,-70.537587,41.60984,,
67335350,-70.508758,41.59297,,
67335371,-70.562831,41.602681,,
67335811,-70.532372,41.611672,,
67335868,-70.539088,41.604933,,
67335913,-70.5426835,41.5583287,,
67335947,-70.536798,41.569322,,
67336776,-70.5405421,41.5633727,,
67336834,-70.542215,41.568024,,
67336838,-70.543627,41.57719,,
67338451,-70.524664,41.584757,,
67339994,-70.5345486,41.5788783,,
67340914,-70.54676,41.621491,,
67341670,-70.544247,41.597134,,
67342528,-70.53909,41.572848,,
67343465,-70.50872,41.593062,,
67344942,-70.5287013,41.590078,,
67345089,-70.5402897,41.5640258,,
67345457,-70.54212,41.622472,,
67346744,-70.5324219,41.5914134,,
67347015,-70.531913,41.574481,,
67347049,-70.531196,41.594194,,
67347872,-70.533812,41.585697,,
67348536,-70.528728,41.605212,,
67349198,-70.533793,41.59196,,
67349756,-70.50511,41.591585,,
67349850,-70.534267,41.607396,,
67349875,-70.527976,41.576324,,
67350878,-70.530592,41.5831,,
67351266,-70.541528,41.606949,,
67352016,-70.523245,41.587831,,
67352874,-70.5189026,41.588647,,
67353093,-70.536565,41.607684,,
67353628,-70.5384521,41.56878,,
67353939,-70.564348,41.606237,,
67354461,-70.515209,41.583257,,
67357346,-70.544249,41.560625,,
67357843,-70.5441955,41.5570795,,
67357910,-70.533198,41.606875,,
67357980,-70.53774,41.580471,,
67358579,-70.5353718,41.5767488,,
67360816,-70.531782,41.578885,,
67361076,-70.541872,41.577252,,
67361937,-70.542434,41.632741,,
67362127,-70.539616,41.571399,,
67363238,-70.546129,41.630447,,
67363301,-70.5281481,41.5894612,,
67364957,-70.535827,41.57136,,
67365666,-70.5207184,41.587122,,
67365758,-70.512167,41.57708,,
67366557,-70.535972,41.56716,,
67366928,-70.537923,41.609625,,
67367886,-70.529822,41.585277,,
67368512,-70.539836,41.627925,,
67369683,-70.536727,41.607765,,
67369817,-70.540842,41.569319,,
67370991,-70.538955,41.597156,,
67371364,-70.5430821,41.5757408,,
67371377,-70.528116,41.5866,,
67372445,-70.539969,41.623973,,
67373045,-70.511998,41.594856,,
67373596,-70.5350957,41.577463,,
67373630,-70.518341,41.575544,,
67374416,-70.55321,41.619409,,
67374638,-70.537709,41.564821,,
67375485,-70.5398352,41.5778481,,
67375541,-70.534553,41.589367,,
67376741,-70.551835,41.599384,,
67377149,-70.536764,41.568554,,
67377213,-70.505737,41.589405,,
67377477,-70.536815,41.565495,,
67378097,-70.5317993,41.6155621,,
67378361,-70.509971,41.57763,,
67379034,-70.559619,41.601972,,
67379093,-70.5423656,41.5587412,,
67379935,-70.510477,41.590041,,
67381356,-70.543593,41.602091,,
67381820,-70.531389,41.586916,,
67382220,-70.533948,41.580432,,
67383099,-70.537939,41.60084,,
67383139,-70.520494,41.592325,,
67384361,-70.505218,41.591584,,
67384711,-70.527455,41.581103,,
67385172,-70.534181,41.574758,,
67385685,-70.543738,41.578642,,
67385978,-70.541401,41.571748,,
67386438,-70.5401573,41.5777152,,
67386889,-70.543787,41.562642,,
67387787,-70.528341,41.578027,,
67387824,-70.544,41.56199,,
67388101,-70.541593,41.573888,,
67389226,-70.544612,41.559376,,
67389541,-70.534824,41.5781659,,
67389738,-70.514405,41.587658,,
67390042,-70.532315,41.58052,,
67390192,-70.542008,41.631728,,
67390378,-70.506371,41.591589,,
67390948,-70.540283,41.569958,,
67391817,-70.511953,41.573317,,
67391924,-70.527824,41.580913,,
67393540,-70.505334,41.591668,,
67394288,-70.534912,41.57426,,
67394726,-70.537108,41.567919,,
67396162,-70.535002,41.608165,,
67396624,-70.539169,41.628124,,
67396862,-70.543088,41.575116,,
67397442,-70.5415645,41.5607274,,
67397445,-70.52056,41.592543,,
67399817,-70.541314,41.610651,,
67402166,-70.562866,41.602504,,
67402552,-70.5347091,41.6113815,,turning_circle
67403233,-70.538633,41.563664,,
67404081,-70.530239,41.608944,,
67404962,-70.5329031,41.6168404,,
67406289,-70.5367796,41.573107,,
67407060,-70.542156,41.571712,,
67407374,-70.5364,41.606991,,
67407445,-70.5443871,41.6209035,,
67409601,-70.566478,41.606902,,
67410051,-70.507666,41.585112,,
67410323,-70.507385,41.589089,,
67410447,-70.541485,41.634737,,
67411070,-70.5322331,41.5897259,,
67411465,-70.543139,41.565374,,
67412861,-70.521206,41.590123,,
67413615,-70.541572,41.624493,,
67414182,-70.5391253,41.5781216,,
67414888,-70.5317046,41.6172951,,
67415350,-70.5394309,41.6187678,,
67418177,-70.528591,41.580068,,
67419479,-70.5457229,41.6008443,,
67419589,-70.535024,41.616873,,
67419779,-70.5271374,41.5883102,,
67420069,-70.5400278,41.5647032,,
67420250,-70.5376083,41.5957761,,
67420821,-70.5088,41.591781,,
67421418,-70.543001,41.578685,,
67421855,-70.5392667,41.5666726,,
67422588,-70.535255,41.573586,,
67423656,-70.516504,41.587587,,
67423788,-70.5308158,41.5822026,,
67423964,-70.50379,41.589818,,
67424885,-70.523633,41.580424,,
67425279,-70.534886,41.61685,,
67425557,-70.537001,41.567218,,
67425597,-70.537209,41.577157,,
67425795,-70.533347,41.611947,,
67426067,-70.5418085,41.560096,,
67426306,-70.5410586,41.5620362,,
67426480,-70.561641,41.611301,,
67426765,-70.542763,41.578701,,
67426869,-70.544655,41.603044,,
67427121,-70.509883,41.592507,,
67427233,-70.533674,41.575581,,
67427411,-70.5484465,41.6206951,,
67428666,-70.514148,41.588051,,
67429337,-70.54985,41.598645,,
67429798,-70.531617,41.583174,,
