u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
61538824,61563879,0,False,residential,Sawyer Street,1126.683,1,12.2,,,,,,,,,"[8641754, 8641726]",
61538824,61603465,0,False,residential,Dyer Street,239.799,2,12.2,,,,,,,,,8642364,
61538824,61559482,0,False,residential,Dyer Street,261.554,2,12.2,,,,,,,,,8642364,
61540048,61620559,0,True,secondary,American Legion Circle,72.428,2,45.7,,,,,,,,roundabout,8642010,MA 68
61540048,61616693,0,True,secondary,Timpany Boulevard,83.615,1,45.7,,,,,,,,,8643013,MA 68
61540293,61577699,0,False,secondary,East Broadway,22.957,2,18.3,,40 mph,,,,,,,8642520,MA 2A
61540293,61609980,0,False,secondary,East Broadway,286.511,2,18.3,,40 mph,,,,,,,8642520,MA 2A
61541585,61632664,0,False,residential,High Street,118.338,2,12.2,,,,,,,,,8641839,
61541585,61611538,0,False,residential,High Street,270.896,2,12.2,,,,,,,,,8641839,
61541585,61611540,0,False,residential,Newton Street,190.055,2,12.2,,,,,,,,,8641901,
61544905,61559856,0,False,residential,Jackson Park,55.449,2,12.2,,,,,,,,,8641927,
61544905,61609665,0,False,residential,"['Intervale Road', 'Jackson Hill Road', 'Wachusett Road']",422.355,2,"['9.1', '12.2', '10.7']",,,,,,,,,"[8641729, 8642402, 8642270]",
61544905,61563429,0,False,residential,Jackson Hill Road,104.951,2,12.2,,,,,,,,,8642270,
61545698,61556059,0,False,residential,Manca Drive,132.107,2,12.2,,,,,,,,,8642243,
61545732,61559856,0,False,residential,Jackson Park East,48.879,2,10.7,,,,,,,,,8641817,
61546328,61600275,0,False,residential,Snow Street,81.825,1,6.1,,,,,,,,,8642940,
61546761,2583725980,0,True,tertiary,Pearson Boulevard,30.534,2,18.3,,,,,,,,,46772682,
61546761,61631175,0,False,tertiary,Pearson Boulevard,389.28,2,18.3,,,,,yes,,,,"[252283969, 252283970, 252283972]",
61546943,61562277,0,False,residential,Champagne Road,75.151,,,,,,,,,,,8642721,
61546943,61562277,1,False,residential,Bayberry Drive,204.957,,,,,,,,,,,252377600,
61546943,61626608,0,False,residential,Champagne Road,555.065,,,,,,,,,,,8642721,
61547616,61601330,0,False,residential,Kraft Street,165.411,2,12.2,,,,,,,,,8642105,
61547616,2583725910,0,False,secondary,West Broadway,193.699,2,15.2,,35 mph,,,,,,,252283978,MA 2A
61547616,61623616,0,False,secondary,West Broadway,75.979,2,15.2,,35 mph,,,,,,,252283978,MA 2A
