u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
183178274,183178299,0,False,residential,Harrison Avenue,299.231,,,,,,,,,,,17680368,
183178274,183263531,0,False,residential,Harrison Avenue,97.621,,,,,,,,,,,17680368,
183178274,183467475,0,False,residential,Baker Street,184.771,,,,,,,,,,,17705626,
183178299,3169011267,0,False,residential,Harrison Avenue,100.628,,,,,,,,,,,17680368,
183178299,183178274,0,False,residential,Harrison Avenue,299.231,,,,,,,,,,,17680368,
183178299,183282814,0,False,residential,Brittany Lane,271.16,,,,,,,,,,,17688614,
183178309,3169011267,0,False,residential,Harrison Avenue,47.109,,,,,,,,,,,17680368,
183178309,183505665,0,False,secondary,North Main Street,234.266,,,,,,,,,,,17708756,MD 818
183178309,3169011268,0,False,secondary,North Main Street,42.819,,,,,,,,,,,17708756,MD 818
183184375,2106556728,0,True,residential,Tripoli Street,68.979,,,,,,,,,,,17680777,
183184375,5318200653,0,False,residential,Decatur Street,13.753,,,,,,,,,,,17706796,
183184375,183481283,0,False,residential,Decatur Street,281.71,,,,,,,,,,,255735742,
183199077,183199087,0,False,residential,Cape Circle,58.411,,,,,,,,,,,17681935,
183199077,183321361,0,False,residential,Meadow Street,147.616,,,,,,,,,,,17692593,
183199077,183321316,0,False,residential,Meadow Street,143.179,,,,,,,,,,,17692593,
183199087,183199077,0,False,residential,Cape Circle,58.411,,,,,,,,,,,17681935,
183209028,183464526,0,False,residential,Westminster Drive,77.02,,,,,,,,,,,17705380,
183228297,5314976449,0,False,residential,Buckingham Lane,67.017,,,,,,,,,,,17710386,
183228772,183228781,0,False,secondary,South Main Street,32.949,,,,,,,,,,,17700958,MD 818
183228772,183504417,0,False,secondary,South Main Street,112.156,,,,,,,,,,,17700958,MD 818
183228781,183228772,0,False,secondary,South Main Street,32.949,,,,,,,,,,,17700958,MD 818
183228781,1297861741,0,False,secondary,South Main Street,37.969,,,,,,,,,,,17700958,MD 818
183228836,183228781,0,True,trunk_link,,143.342,,,,,,,,,,,17684272,
183228836,1297861741,0,True,trunk,Worcester Highway,121.35,2,,,50 mph,,,,,,,127287973,US 113
183237442,183237442,0,False,unclassified,Healthway Drive,55.934,,,,,,,,,,,17711703,
183237442,183237442,1,False,unclassified,Healthway Drive,55.934,,,,,,,,,,,17711703,
183237442,183483373,0,False,unclassified,Healthway Drive,437.497,,,,,,,,,,,17711703,
183238452,3168268807,0,False,secondary,Libertytown Road,183.236,,,,,,,,,,,17711914,MD 374
183238452,3168268807,1,False,residential,Prospect Drive,958.284,,,,,,,,,,,311235212,
183239573,2614132429,0,True,trunk,Worcester Highway,580.344,2,,,50 mph,,,,,,,115240188,US 113
183239795,183481314,0,False,residential,Decatur Street,111.054,,,,,,,,,,,252027563,
183258369,183432627,0,False,residential,Flower Street,84.223,,,,,,,,,,,17705367,
183258369,183464381,0,False,residential,Flower Street,29.543,,,,,,,,,,,17705367,
183258369,183318551,0,False,residential,Railroad Avenue,275.763,,,,,,,,,,,17712420,
183262311,183329177,0,True,trunk,Ocean Gateway,221.878,2,,,,,,,,,,115240217,US 50
183263531,183549349,0,False,secondary,Libertytown Road,16.444,,,,,,,,,,,17711914,MD 374
183263531,183178274,0,False,residential,Harrison Avenue,97.621,,,,,,,,,,,17680368,
183263531,183442428,0,False,secondary,Broad Street,156.337,,,,,,,,,,,310995710,MD 374
183282814,183178299,0,False,residential,Brittany Lane,271.16,,,,,,,,,,,17688614,
183291271,183498488,0,False,residential,,31.869,,,,,,,,,,,17689463,
183291271,183291320,0,False,residential,,228.592,,,,,,,,,,,17689463,
183291271,183497024,0,True,trunk,Ocean Gateway,467.132,2,,,,,,,,,,92294809,US 50
183291320,183291271,0,False,residential,,228.592,,,,,,,,,,,17689463,
183292926,1297861544,0,True,trunk,Worcester Highway,41.614,2,,,,,,,,,,127287971,US 113
183292926,2614132347,0,True,trunk_link,,57.323,,,,,,,,,,,255735741,
183310615,183389694,0,False,residential,Showell Street,204.596,,,,,,,,,,,17710063,
183310615,183464364,0,False,residential,Flower Street,224.346,,,,,,,,,,,17705367,
183310615,183433714,0,False,residential,Flower Street,341.66,,,,,,,,,,,17705367,
183311641,183498451,0,True,trunk,Ocean Gateway,67.185,2,,,,,,,,,,131941622,US 50
183318551,183258369,0,False,residential,Railroad Avenue,275.763,,,,,,,,,,,17712420,
183321316,183199077,0,False,residential,Meadow Street,143.179,,,,,,,,,,,17692593,
183321316,183481314,0,False,residential,Decatur Street,314.143,,,,,,,,,,,"[252027563, 255735742]",
183321316,183481283,0,False,residential,Decatur Street,50.168,,,,,,,,,,,255735742,
183321361,183199077,0,False,residential,Meadow Street,147.616,,,,,,,,,,,17692593,
183329148,312456292,0,True,trunk_link,,495.804,,,,,,,,,,,114615729,
183329148,183424882,0,False,secondary,Old Ocean City Boulevard,218.691,,,,,,,,,,,311370747,MD 346
183329148,183329166,0,False,secondary,Old Ocean City Boulevard,84.123,,,,,,,,,,,311370749,MD 346
183329166,183329177,0,False,secondary,Old Ocean City Boulevard,24.991,,,,,,,,,,,311370749,MD 346
183329166,312456292,0,True,trunk,Ocean Gateway,452.451,2,,,,,,,,,,92294809,US 50
183329166,183329148,0,False,secondary,Old Ocean City Boulevard,84.123,,,,,,,,,,,311370749,MD 346
183329177,183329166,0,False,secondary,Old Ocean City Boulevard,24.991,,,,,,,,,,,311370749,MD 346
183346142,393676713,0,False,residential,Reedy Cove Drive,34.572,,,,,,,,,,,17695110,
183346142,183346142,0,False,residential,Reedy Cove Drive,181.923,,,,,,,,,,,17700653,
183346142,183346142,1,False,residential,Reedy Cove Drive,181.923,,,,,,,,,,,17700653,
183364811,183453168,0,False,residential,Bryan Avenue,38.389,,,,,,,,,,,17708473,
183364811,183453173,0,False,secondary,North Main Street,37.114,,,,,,,,,,,17708756,MD 818
183364811,183505608,0,False,secondary,North Main Street,305.62,,,,,,,,,,,17708756,MD 818
183389694,183389699,0,False,residential,,32.042,,,,,,,,,,,17699372,
183389694,183486137,0,False,residential,Branch Street,112.886,,,,,,,,,,,17707208,
183389694,183310615,0,False,residential,Showell Street,204.596,,,,,,,,,,,17710063,
183389699,183389704,0,False,residential,,20.773,,,,,,,,,,,17699372,
