osmid,x,y,ref,highway
182525439,-75.929687,38.594024,,
182559013,-75.917228,38.595832,,
182728847,-75.929779,38.597347,,
182728855,-75.929794,38.598014,,
182728936,-75.929351,38.600166,,
182740333,-75.915596,38.595947,,
182755026,-75.926948,38.595207,,
182759390,-75.91777,38.597312,,
182759411,-75.917094,38.597764,,
182772424,-75.9161022,38.5977891,,
182772433,-75.916954,38.598041,,
182772443,-75.9166048,38.5974461,,
182772491,-75.916694,38.59906,,
182776452,-75.9158969,38.5967522,,
182789684,-75.9166652,38.5967229,,
182789698,-75.917861,38.595821,,
182794077,-75.925636,38.598953,,
182818188,-75.9172389,38.5970391,,
182826671,-75.9220881,38.5981995,,
182826674,-75.921798,38.599002,,
182836709,-75.9234245,38.5984644,,
182836765,-75.922134,38.599346,,
182840030,-75.9207634,38.5979213,,
182840706,-75.9206345,38.598348,,
1036814154,-75.9228213,38.5971134,,turning_circle
1036814156,-75.921382,38.5967556,,
1036814158,-75.9198313,38.5964288,,turning_circle
1036814160,-75.9209724,38.5979665,,
1036814168,-75.9216039,38.5948788,,turning_circle
3369179967,-75.9184947,38.5974664,,
3369179970,-75.9176245,38.600091,,turning_circle
3788416430,-75.9188291,38.5988231,,
3788416437,-75.9180838,38.5986744,,
