osmid,x,y,ref,highway
103011239,-77.676352,39.6151842,,
103011252,-77.6753998,39.6166026,,
103011526,-77.7417362,39.6224621,,
103011529,-77.7414452,39.6237182,,
103011531,-77.7418515,39.6244619,,
103011536,-77.742573,39.625779,,
103011539,-77.7433509,39.6271962,,
103011541,-77.7439088,39.6282229,,
103011543,-77.7438122,39.6289676,,
103012564,-77.7407066,39.6640222,,
103012590,-77.7396239,39.6630307,,
103014894,-77.7020463,39.6553442,,
103014959,-77.7014674,39.6343297,,
103016295,-77.7174582,39.6219734,,
103016756,-77.6845232,39.6030574,,
103025124,-77.741928,39.6610546,7A,motorway_junction
103025134,-77.7412587,39.664794,,
103033744,-77.6987417,39.6467385,,
103034901,-77.7382694,39.6616059,,
103034903,-77.7381071,39.6617732,,
103035922,-77.7377625,39.660971,,
103036193,-77.7422002,39.6560079,,
103036200,-77.7386181,39.6612312,,
103036346,-77.7293344,39.6473032,,
103036347,-77.7288465,39.6479009,,
103036348,-77.7283452,39.6485188,,
103036417,-77.7236418,39.636803,,
103036418,-77.7239228,39.6353697,,
103036467,-77.7218315,39.6246231,,
103036469,-77.722317,39.6227585,,
103036559,-77.7194967,39.648711,,
103036564,-77.7181402,39.6503852,,
103036679,-77.7318871,39.6545129,,
103036771,-77.7178922,39.6408833,,traffic_signals
103036772,-77.7184126,39.640226,,
103036773,-77.718928,39.6395716,,traffic_signals
103036778,-77.7201203,39.6380597,,traffic_signals
103036780,-77.7205561,39.6374989,,
103036781,-77.7209078,39.6370654,,
103036782,-77.7213205,39.6365198,,traffic_signals
103036783,-77.7218449,39.635865,,
103036784,-77.7223626,39.6352061,,
103036786,-77.7228226,39.6346132,,
103037040,-77.702926,39.651917,,
103037042,-77.7035974,39.652864,,
103037055,-77.698785,39.6390028,,
103037446,-77.7253304,39.644446,,traffic_signals
103037448,-77.7264474,39.6432972,,
103037450,-77.7278019,39.6408786,,
103037677,-77.7030851,39.6421556,,
103038781,-77.7344497,39.644688,,traffic_signals
103038783,-77.7355859,39.6450997,,
103038784,-77.737222,39.6454756,,
103038785,-77.7394885,39.6458639,,
103038786,-77.741008,39.6461344,,
103038791,-77.7659847,39.6535609,,
103038793,-77.765805,39.6556373,,
103039183,-77.7068098,39.654962,,
103039185,-77.705215,39.6564893,,
103039199,-77.7243045,39.6439473,,traffic_signals
103039200,-77.7232879,39.6452329,,traffic_signals
