u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
182858253,583484177,0,False,residential,Eastwick Ln,194.895,,,,,,,,,,,17656089,
182858253,182914321,0,False,secondary,Fenwick Street,74.833,,,,,,,,,,,47576270,MD 5 Business
182858253,182914297,0,False,secondary,Fenwick Street,240.522,,,,,,,,,,,47576270,MD 5 Business
182865714,182865717,0,True,residential,,80.641,,,,,,,,,,,17657029,
182865714,183114234,0,False,residential,Park Avenue,35.565,,,,,,,,,,,17677603,
182865714,183046675,0,False,residential,Park Avenue,101.2,,,,,,,,,,,17677603,
182865717,625234397,0,True,secondary,Washington Street,71.154,,,,,,,,,,,17675526,MD 5 Business
182865717,182914378,0,False,secondary,Fenwick Street,85.502,,,,,,,,,,,47576270,MD 5 Business
182865717,182914393,0,False,secondary,Fenwick Street,32.754,,,,,,,,,,,114624569,MD 5 Business
182870332,183049299,0,False,residential,Dry Docking Lane,158.769,,,,,,,,,,,17671498,
182870332,182977528,0,False,residential,Dry Docking Lane,200.127,,,,,,,,,,,17671498,
182890192,183031034,0,False,residential,Key Way,163.206,,,,,,,,,,,17670445,
182890192,182971684,0,False,residential,Camalier Drive,201.071,,,,,,,,,,,17679268,
182890192,183114201,0,False,residential,Camalier Drive,135.705,,,,,,,,,,,17679268,
182897988,182897997,0,False,residential,Maypole Road,420.82,,,,,,,,,,,89533132,
182897997,182897988,0,False,residential,Maypole Road,420.82,,,,,,,,,,,89533132,
182897997,605298096,0,False,residential,Maypole Road,424.659,,,,,,,,,,,89533132,
182904927,182977332,0,False,residential,Mile Post Lane,153.946,,,,,,,,,,,17670888,
182912598,182912676,0,False,residential,Leonard Hall Drive,562.403,,,,,,,,,,,17662335,
182912598,182977306,0,False,residential,Baldridge Street,312.536,,,,,,,,,,,17677288,
182912598,183137623,0,False,residential,Baldridge Street,387.077,,,,,,,,,,,17677288,
182912676,182912598,0,False,residential,Leonard Hall Drive,562.403,,,,,,,,,,,17662335,
182912676,182917170,0,False,secondary,Hollywood Road,108.551,,,,,,,,,,,17667004,MD 245
182912676,182977332,0,False,secondary,Hollywood Road,54.412,,,,,,,,,,,17667004,MD 245
