osmid,x,y,ref,highway
49129427,-77.406349,39.121665,,
49145733,-77.415992,39.148151,,
49149471,-77.40847,39.14122,,turning_circle
49151532,-77.422004,39.138439,,
49151624,-77.406501,39.159187,,
49151921,-77.3989402,39.1399642,,
49151930,-77.3975488,39.1413112,,
49151960,-77.4001,39.140808,,
49153146,-77.4154895,39.1362227,,
49153148,-77.414863,39.136619,,turning_circle
49156177,-77.408576,39.14664,,
49156182,-77.408607,39.145488,,turning_circle
49157407,-77.401535,39.138542,,
49157409,-77.401229,39.139404,,
49166949,-77.416145,39.154167,,
49166977,-77.4084064,39.1560465,,
49168303,-77.394294,39.136825,,
49168312,-77.395217,39.137241,,
49168316,-77.396118,39.137897,,
49168318,-77.39698,39.138526,,
49168320,-77.397903,39.139202,,
49168333,-77.402252,39.14196,,
49168335,-77.403541,39.142238,,
49168344,-77.406097,39.142498,,
49168352,-77.4104496,39.14236,,
49168355,-77.4117438,39.1426786,,
49168356,-77.413764,39.143188,,
49168359,-77.414543,39.143386,,
49168364,-77.415527,39.143669,,
49168369,-77.417442,39.144199,,
49168373,-77.419087,39.1446305,,
49171380,-77.406642,39.1303155,,
49171381,-77.4074165,39.1301715,,turning_circle
49174738,-77.411895,39.136066,,
49174739,-77.411186,39.136238,,turning_circle
49178306,-77.399314,39.136772,,
49178317,-77.401977,39.136722,,
49178328,-77.404197,39.137039,,turning_circle
49179410,-77.4020494,39.1555288,,
49179412,-77.4009992,39.1571831,,
49179414,-77.400535,39.157932,,turning_circle
49183510,-77.415496,39.135246,,
49183511,-77.4149641,39.1352544,,
49183514,-77.413475,39.135257,,
49183516,-77.411766,39.135265,,
49183520,-77.4098564,39.1352844,,
49183525,-77.408317,39.135429,,
49185158,-77.402145,39.140594,,turning_circle
49185399,-77.394989,39.138427,,turning_circle
49191260,-77.412261,39.128616,,
49191262,-77.413429,39.128608,,turning_circle
49196178,-77.414749,39.145484,,
49197298,-77.395172,39.139492,,
49197299,-77.3953161,39.1405216,,
49199374,-77.4123,39.130538,,
49199375,-77.413475,39.130519,,turning_circle
49207500,-77.406387,39.128543,,
49207502,-77.4072773,39.1286133,,turning_circle
49211160,-77.417587,39.148464,,
49211162,-77.418502,39.148403,,
49211166,-77.419504,39.1481254,,turning_circle
49215278,-77.397552,39.132854,,
49215298,-77.397994,39.135669,,turning_circle
49216645,-77.399871,39.139171,,turning_circle
49219697,-77.4126992,39.1449559,,
49222700,-77.4147542,39.1428786,,
49223624,-77.404586,39.145515,,
49238462,-77.4030859,39.1557579,,
49240961,-77.4069292,39.1384854,,
49240966,-77.409164,39.137695,,
49240968,-77.4107736,39.1376684,,
49240972,-77.4120845,39.1376654,,
49240973,-77.413497,39.137649,,
49240974,-77.414855,39.137645,,
49240979,-77.41616,39.137428,,
49240990,-77.419181,39.137439,,
49240992,-77.420539,39.137592,,
