osmid,x,y,ref,highway
183088128,-76.226709,38.787499,,
183088149,-76.2257275,38.7879125,,
183088718,-76.225562,38.79316,,
183088726,-76.226383,38.796639,,
183088728,-76.226467,38.796975,,
183088766,-76.228277,38.79973,,
183088774,-76.230691,38.801654,,
183138441,-76.2202976,38.7924743,,
183138443,-76.219582,38.792533,,
183138455,-76.219144,38.792654,,
183138748,-76.2188465,38.792054,,
183138771,-76.21946,38.79294,,
183147145,-76.2155022,38.7808817,,
183181711,-76.22527,38.790873,,
183206325,-76.2223399,38.7838243,,
183206334,-76.2220234,38.7832613,,
183218202,-76.230649,38.787447,,
183260527,-76.2195903,38.7878789,,
183272507,-76.220953,38.792732,,
183296402,-76.2258803,38.7884254,,
183321059,-76.222221,38.792719,,
183338116,-76.225283,38.790183,,
183338126,-76.22757,38.7903,,
183339464,-76.225896,38.784278,,
183339472,-76.22617,38.786549,,
183340092,-76.2184479,38.7831858,,
183340106,-76.218809,38.784038,,
183340241,-76.22531,38.789599,,
183340252,-76.22528,38.79138,,
183340265,-76.2243298,38.7865313,,
183340276,-76.224573,38.7870665,,
183340279,-76.224858,38.7875331,,
183340295,-76.225276,38.788411,,
183340443,-76.22498,38.784398,,
183340461,-76.2252662,38.7865412,,
183340467,-76.2256012,38.7875047,,
183341701,-76.223642,38.787238,,
183341723,-76.220668,38.787807,,
183343444,-76.221997,38.780956,,
183343447,-76.223804,38.780293,,
183352456,-76.216396,38.776515,,
183352465,-76.216683,38.776715,,
183352471,-76.217711,38.777457,,
183352474,-76.218008,38.777685,,
183352483,-76.220559,38.779582,,
183352486,-76.220852,38.779804,,
183352502,-76.2214677,38.7802527,,
183352514,-76.222427,38.781709,,
183352519,-76.2228954,38.7824653,,
183352521,-76.223145,38.782908,,
183352528,-76.2235415,38.783559,,
183352531,-76.22372,38.783853,,
183352541,-76.224085,38.784528,,
183352554,-76.2241634,38.784921,,
183362542,-76.227177,38.789729,,
183362659,-76.2234916,38.7866881,,
183364246,-76.223239,38.784009,,
183364249,-76.2225904,38.7842373,,
183364256,-76.2214764,38.7846442,,
183364263,-76.2205679,38.7849847,,
183366062,-76.227919,38.786535,,
183366066,-76.2278515,38.7849921,,turning_circle
183366559,-76.217036,38.784318,,
183366807,-76.216464,38.77825,,
183367702,-76.2256389,38.7820031,,
183368130,-76.220199,38.7816475,,
183370735,-76.2233036,38.7867233,,
183373259,-76.228116,38.78892,,
183373267,-76.226344,38.788833,,
183374007,-76.21612,38.777127,,
183375541,-76.226838,38.78654,,
183382507,-76.227393,38.791494,,
183382642,-76.220652,38.782367,,
183386188,-76.2305486,38.7886296,,
183386199,-76.2281281,38.7885171,,
183386429,-76.218584,38.793878,,
183392354,-76.219302,38.780238,,
183392358,-76.2197406,38.7808903,,
183392366,-76.221109,38.783113,,
183401332,-76.2229891,38.786088,,
183401344,-76.222488,38.785417,,
183403595,-76.2193272,38.774922,,
183403611,-76.2180381,38.7751245,,
183416465,-76.2234618,38.7848895,,
183417044,-76.2218127,38.7828686,,
183417048,-76.2206789,38.7832778,,
183417055,-76.2194257,38.783742,,
183420539,-76.221994,38.786426,,
183420651,-76.22429,38.781061,,
183432715,-76.217016,38.778535,,
183443890,-76.222026,38.785788,,
1791595944,-76.2253355,38.789168,,
1791610394,-76.2205036,38.7872301,,
1793902433,-76.2190351,38.7918618,,
1793902438,-76.2190854,38.7921884,,
1793902440,-76.2188663,38.792201,,
1793902443,-76.2226925,38.7925606,,
1793902459,-76.2211646,38.7931069,,
1793902462,-76.2186569,38.7937926,,
1793910698,-76.2242473,38.7857066,,
2007268150,-76.2223386,38.7869039,,
4991473133,-76.2202185,38.7740375,,
4991473194,-76.2202826,38.7760274,,
4991473197,-76.2170588,38.7738075,,
