u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
103014979,103053777,0,False,secondary,North Conococheague Street,145.548,2,,,,,,,,,,11557928,MD 63;MD 68
103014979,103051752,0,False,secondary,South Conococheague Street,145.401,2,,,,,,,,,,11558358,MD 63;MD 68
103014979,103044621,0,False,unclassified,West Salisbury Street,205.711,,,,,,,,,,,11558774,
103014979,103050503,0,False,residential,East Salisbury Street,205.108,,,,,,,,,,,11559508,
103036441,103053759,0,False,primary,East Potomac Street,139.59,2,,,,,,,,,,120478431,US 11
103036441,103053757,0,False,primary,East Potomac Street,150.704,2,,,,,,,,,,120478431,US 11
103039139,103041690,0,False,residential,South Vermont Street,142.535,,,,,,,,,,,11556903,
103039139,103044621,0,False,residential,South Vermont Street,146.157,,,,,,,,,,,11556903,
103039139,103039143,0,False,unclassified,South Commerce Street,185.341,,,,,,,,,,,11556301,
103039139,103051752,0,False,residential,West Church Street,204.47,,,,,,,,,,,11560686,
103039143,103039139,0,False,unclassified,South Commerce Street,185.341,,,,,,,,,,,11556301,
103039143,2143393181,0,False,unclassified,North Commerce Street,73.757,,,,,,,,,,,11556913,
103039143,103044621,0,False,unclassified,West Salisbury Street,112.386,,,,,,,,,,,11558774,
103041690,103039139,0,False,residential,South Vermont Street,142.535,,,,,,,,,,,11556903,
103041690,103041693,0,False,unclassified,Canal Street,86.147,,,,,,,,,,,11556556,
103041690,103041925,0,False,residential,West Frederick Street,205.699,,,,,,,,,,,11559299,
103041693,103041695,0,False,unclassified,Canal Street,57.142,,,,,,,,,,,11556556,
103041693,103041690,0,False,unclassified,Canal Street,86.147,,,,,,,,,,,11556556,
103041693,2524726105,0,False,residential,Main Street,172.565,,,,,,,,,,,11558414,
103041695,103041693,0,False,unclassified,Canal Street,57.142,,,,,,,,,,,11556556,
103041925,103059337,0,False,secondary,South Conococheague Street,147.855,2,,,,,,,,,,11558358,MD 63;MD 68
103041925,103051752,0,False,secondary,South Conococheague Street,144.628,2,,,,,,,,,,11558358,MD 63;MD 68
103041925,103050498,0,False,residential,East Frederick Street,207.303,,,,,,,,,,,11556571,
103041925,103041690,0,False,residential,West Frederick Street,205.699,,,,,,,,,,,11559299,
103042198,103042202,0,False,residential,Oak Tree Lane,154.825,,,,,,,,,,,11556609,
103042198,103042995,0,False,residential,Shawnee Terrace,128.736,,,,,,,,,,,11556726,
103042198,660197235,0,False,residential,"['Oak Tree Lane', 'Shawnee Terrace']",156.164,,,,,,,,,,,"[11556609, 510018236]",
103042202,103042198,0,False,residential,Oak Tree Lane,154.825,,,,,,,,,,,11556609,
103042202,103042204,0,False,residential,Oak Tree Lane,56.981,,,,,,,,,,,11556609,
103042202,660197184,0,False,unclassified,Milestone Terrace,137.375,,,,,,,,,,,510548643,
103042204,103042202,0,False,residential,Oak Tree Lane,56.981,,,,,,,,,,,11556609,
103042995,103042198,0,False,residential,Shawnee Terrace,128.736,,,,,,,,,,,11556726,
103043504,103060957,0,False,residential,East Sunset Avenue,141.617,,,,,,,,,,,11558524,
103043504,3588452134,0,False,residential,East Sunset Avenue,166.424,,,,,,,,,,,11558524,
103044621,103039139,0,False,residential,South Vermont Street,146.157,,,,,,,,,,,11556903,
103044621,103078897,0,False,residential,North Vermont Street,145.168,,,,,,,,,,,11560654,
103044621,103039143,0,False,unclassified,West Salisbury Street,112.386,,,,,,,,,,,11558774,
103044621,103014979,0,False,unclassified,West Salisbury Street,205.711,,,,,,,,,,,11558774,
103044697,2143393180,0,False,unclassified,North Commerce Street,27.79,,,,,,,,,,,11556913,
103044697,2143393178,0,False,primary,Commerce Street,26.308,2,,,,,,,,,,11560221,US 11
103044697,2143393192,0,False,primary,,27.293,2,,,,,,,,,,63117216,US 11
103047463,103053763,0,False,primary,East Potomac Street,261.323,2,,,,,,,,,,120478431,US 11
103047463,103053759,0,False,primary,East Potomac Street,256.085,2,,,,,,,,,,120478431,US 11
103050496,103050498,0,False,residential,South Artizan Street,146.538,,,,,,,,,,,11557453,
103050496,3588452134,0,False,residential,East Sunset Avenue,126.378,,,,,,,,,,,11558524,
103050496,103059337,0,False,residential,East Sunset Avenue,208.837,,,,,,,,,,,11558524,
103050498,103050500,0,False,residential,South Artizan Street,144.536,,,,,,,,,,,11557453,
103050498,103041925,0,False,residential,East Frederick Street,207.303,,,,,,,,,,,11556571,
103050498,103050496,0,False,residential,South Artizan Street,146.538,,,,,,,,,,,11557453,
103050500,103050498,0,False,residential,South Artizan Street,144.536,,,,,,,,,,,11557453,
