osmid,x,y,ref,highway
32872747,-77.6349707,39.5834066,,
103008186,-77.504742,39.662621,,
103011239,-77.676352,39.6151842,,
103011252,-77.6753998,39.6166026,,
103011281,-77.6985298,39.6821398,,
103011283,-77.6964578,39.6818239,,
103011291,-77.7589962,39.6090792,,
103011300,-77.6811491,39.6094212,,
103011301,-77.6802546,39.6086267,,
103011319,-77.6814844,39.607082,,
103011402,-77.6309146,39.5612269,,
103011409,-77.6604932,39.47161,,
103011431,-77.6747096,39.4757455,,
103011447,-77.6878461,39.4767887,,
103011454,-77.692459,39.4765645,,
103011464,-77.6983129,39.47756,,
103011494,-77.7001875,39.48405,,
103011502,-77.7004932,39.4844726,,
103011504,-77.7006068,39.484626,,
103011505,-77.7011319,39.4850171,,
103011511,-77.7641527,39.6116767,,
103011513,-77.7639771,39.6129567,,
103011515,-77.7638885,39.6137027,,
103011516,-77.6618016,39.5159703,,
103011517,-77.6608508,39.5138266,,
103011518,-77.689295,39.6171409,,
103011523,-77.6843651,39.6154321,,
103011526,-77.7417362,39.6224621,,
103011529,-77.7414452,39.6237182,,
103011531,-77.7418515,39.6244619,,
103011536,-77.742573,39.625779,,
103011539,-77.7433509,39.6271962,,
103011541,-77.7439088,39.6282229,,
103011543,-77.7438122,39.6289676,,
103011573,-77.9757389,39.6079553,,turning_circle
103011607,-77.978564,39.6207335,,
103011612,-77.7658398,39.6181254,,
103011617,-77.7666391,39.6195634,,
103011620,-77.7662046,39.6219177,,
103011642,-77.7037521,39.6086918,,
103011644,-77.7034718,39.6094739,,
103011645,-77.7032143,39.6102684,,
103011647,-77.7028549,39.6115506,,
103011652,-77.6543943,39.5104862,,
103011681,-77.5348346,39.6917212,,
103011702,-77.529332,39.7060125,,
103011704,-77.5289874,39.7064634,,
103011737,-77.5166103,39.7198748,,
103011743,-77.5532399,39.6745193,,
103011750,-77.5497034,39.6796864,,
103011764,-77.5412276,39.6775405,,
103011768,-77.5403546,39.6782197,,
103011786,-77.7723686,39.7090589,,
103011799,-77.7612042,39.7088887,,
103011816,-77.4890104,39.7062818,,
103011824,-77.4898933,39.7081661,,
103011832,-77.4905004,39.7088343,,
103011834,-77.491309,39.7097216,,
103011839,-77.492171,39.7106575,,
103011845,-77.4941777,39.712795,,
103011854,-77.4941026,39.7139205,,
103011859,-77.5734048,39.6649829,,
103011861,-77.5733082,39.6697409,,
103011889,-77.84159,39.6826208,,
103011955,-77.8266387,39.692825,,
103011960,-77.7824494,39.6231407,,
103011961,-77.7817038,39.6227162,,turning_circle
103012393,-77.9263753,39.6529337,,
103012395,-77.9256646,39.6532145,,
103012399,-77.7792026,39.6211842,4,motorway_junction
103012403,-77.7892863,39.6214059,,
103012418,-77.7825443,39.6128637,26,motorway_junction
103012420,-77.7778508,39.622742,,
103012454,-77.9272739,39.6543214,,
103012484,-77.9176649,39.653166,18,motorway_junction
103012494,-77.9242135,39.6533715,,
103012496,-77.9266985,39.6538702,,
103012515,-77.9250973,39.6528325,,
103012564,-77.7407066,39.6640222,,
103012590,-77.7396239,39.6630307,,
103012728,-77.7210861,39.5195022,,
103012735,-77.7198049,39.5228247,,
103012852,-77.874917,39.548467,,
103012859,-77.879022,39.550384,,
103012870,-77.885989,39.557962,,
103012890,-77.880611,39.560536,,
