osmid,x,y,ref,highway
49386332,-76.6247409,39.3107708,,traffic_signals
49409393,-76.6295262,39.310659,,
49411207,-76.6250333,39.3107459,,traffic_signals
49464393,-76.6288669,39.3092912,,
49464397,-76.6298662,39.3085515,,
49470212,-76.6211017,39.3075358,,
49470217,-76.6219366,39.3084396,,traffic_signals
49470230,-76.6228758,39.3092652,,
49470234,-76.6238414,39.3100238,,traffic_signals
49470270,-76.6218118,39.3085403,,traffic_signals
49470271,-76.6227751,39.3093318,,
49470273,-76.6237556,39.3100902,,traffic_signals
49481414,-76.6256596,39.3051597,,
49481416,-76.6259824,39.3054222,,
49495269,-76.6247516,39.3093459,,
49495295,-76.6220786,39.3068134,,
49495298,-76.623036,39.3076029,,
49495300,-76.623996,39.3083947,,
49502275,-76.6235848,39.3041944,,
49502278,-76.6242681,39.3047532,,
49502280,-76.6245477,39.3049859,,
49502288,-76.6264791,39.3065613,,
49502289,-76.6274394,39.3073467,,
49502744,-76.6230635,39.306085,,
49502749,-76.624049,39.3053561,,
49511061,-76.6230962,39.3045756,,
49511068,-76.6250116,39.3061423,,
49511069,-76.6259779,39.3069315,,
49511070,-76.626938,39.3077158,,
49511073,-76.6279081,39.3085081,,
49511075,-76.6302727,39.3104733,,
49525465,-76.6311937,39.3105869,,
49525502,-76.6229482,39.3108529,,traffic_signals
49525509,-76.627973,39.3105706,,traffic_signals
49531284,-76.6263733,39.309646,,
49531288,-76.6268059,39.3093306,,
49531291,-76.6270439,39.3091488,,
49531296,-76.6289005,39.3077717,,
49543571,-76.6249943,39.3076605,,
49546673,-76.6221322,39.3053189,,
49562625,-76.6258353,39.3085363,,
49562627,-76.6259491,39.3084477,,
49562629,-76.6260715,39.3083599,,
49567912,-76.620783,39.3047782,,traffic_signals
49571881,-76.6279338,39.3100954,,
49571916,-76.6240345,39.3068692,,
49579854,-76.6213664,39.3088967,,
109825146,-76.6234065,39.3108362,,
610303170,-76.6279797,39.3107334,,traffic_signals
610303211,-76.6251687,39.3108683,,traffic_signals
610457853,-76.6209305,39.3076625,,
832288812,-76.6228267,39.3108574,,traffic_signals
832288845,-76.6248843,39.3108934,,traffic_signals
852375192,-76.63328,39.3103448,,
852375200,-76.6324261,39.3105378,,traffic_signals
966982830,-76.6221006,39.310401,6-7,motorway_junction
1099055395,-76.6279327,39.3099827,,
1099062311,-76.6230361,39.3091138,,
1292524423,-76.6308558,39.3093261,,
1292524426,-76.6318536,39.310093,,
1292524429,-76.6307491,39.3094083,,
1292524437,-76.6209352,39.3061179,,traffic_signals
1292524442,-76.6323739,39.3097028,,
1722516892,-76.6241117,39.3098239,,
1722516900,-76.6250186,39.3046404,,
1722516901,-76.6241284,39.3101934,,
2393478214,-76.622073,39.3083413,,
2393478236,-76.6240196,39.3098922,,
2466650868,-76.6321514,39.3103902,,
2624195585,-76.622409,39.3070859,,
2624195587,-76.6227309,39.3073514,,
2664143361,-76.626061,39.3103281,,
3798895957,-76.6292575,39.30806,,
3798895958,-76.6295274,39.3082779,,
5253200502,-76.6334782,39.3103332,,
5302779027,-76.6249695,39.3046764,,
