osmid,x,y,ref,highway
49455797,-76.6511024,39.3064874,,
49455800,-76.6511399,39.3071067,,
49455801,-76.6511768,39.3077511,,
49455802,-76.6512451,39.3086784,,
49455804,-76.6512988,39.3096979,,
49504173,-76.6488369,39.3065688,,
49504174,-76.6489125,39.3078313,,
49504177,-76.6489681,39.3087591,,
49504178,-76.649025,39.3097953,,
49506663,-76.6479662,39.3066,,traffic_signals
49506666,-76.6497013,39.3065377,,
49508648,-76.6497793,39.3078006,,
49525545,-76.6498974,39.3097591,,
49527492,-76.6518264,39.3070821,,
49535860,-76.6498345,39.3087284,,
5300284000,-76.6512946,39.3096252,,
5300284003,-76.6490238,39.3097186,,
5300284004,-76.6498925,39.309675,,
