osmid,x,y,ref,highway
49430946,-76.5692923,39.2972409,,
49439501,-76.5736737,39.2970696,,
49464614,-76.5764984,39.2969593,,
49464616,-76.5758179,39.2969859,,
49464618,-76.5750833,39.2970146,,
49464620,-76.5743717,39.2970424,,
49464622,-76.5729865,39.2970965,,
49464627,-76.5721335,39.2971266,,
49464628,-76.5713948,39.2971587,,
49464630,-76.5706522,39.2971878,,
49464633,-76.5697338,39.2972236,,
49475002,-76.5735701,39.2954799,,traffic_signals
49475005,-76.5737354,39.2980687,,
49475007,-76.5738221,39.2991795,,
49475156,-76.5766432,39.2990694,,traffic_signals
49475158,-76.5759562,39.2990962,,
49475160,-76.5752418,39.2991241,,
49475162,-76.574522,39.2991522,,
49475164,-76.5731295,39.2992066,,
49475166,-76.5728339,39.2992146,,traffic_signals
49475168,-76.5726465,39.2992254,,
49475170,-76.5722657,39.2992401,,
49475172,-76.5715393,39.299268,,
49475174,-76.5707745,39.2992975,,
49475177,-76.5698743,39.2993322,,traffic_signals
49475179,-76.5672051,39.2994389,,traffic_signals
49496412,-76.5757004,39.2951929,,
49496414,-76.5757442,39.2958775,,
49496416,-76.5758836,39.2979877,,
49496771,-76.5671608,39.2983164,,
49527199,-76.5713051,39.2958163,,
49527202,-76.571463,39.2981542,,
49528631,-76.576366,39.2950928,,
49528634,-76.5764241,39.2958505,,traffic_signals
49528636,-76.5765672,39.297962,,
49532247,-76.5696529,39.2960373,,traffic_signals
49532258,-76.5705635,39.2959232,,
49532274,-76.5720508,39.2957083,,
49532277,-76.5725537,39.2956378,,
49532281,-76.5728799,39.2955946,,
49532285,-76.5731885,39.2956143,,
49535398,-76.5742327,39.295643,,
49537901,-76.5751442,39.2980145,,
49537902,-76.5744434,39.298043,,
49537903,-76.5730463,39.2980946,,
49537906,-76.5722007,39.2981265,,
49537907,-76.5707099,39.2981826,,
49537909,-76.5697999,39.298217,,
982863081,-76.5735788,39.2955982,,traffic_signals
982863155,-76.5749588,39.2950007,,
982863174,-76.5739842,39.2955547,,
982863190,-76.5740088,39.2954105,,
1291304257,-76.5731811,39.2992046,,
2765783477,-76.5693049,39.2982356,,
