u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
49420490,1406550722,0,False,residential,Sunset Road,116.42,,,,,,,,,,,6012586,
49420490,49544438,0,True,residential,Sunset Drive,122.565,,,,,,,,,,,6017778,
49420490,49485460,0,False,residential,"['Sunset Drive', 'Strickland Street']",137.31,,,,,,,,,,,"[581501145, 6006473]",
49428666,1406550740,0,False,residential,Kingsley Street,108.1,,,,,,,,,,,6009519,
49428666,1406550722,0,False,residential,Hurley Avenue,26.637,2,,,,,,,,,,6014332,
49466845,49466847,0,False,residential,Wellesley Street,115.359,1,,,,,,,,,,6004114,
49466845,49469955,0,False,primary,Frederick Avenue,147.15,2,,,30 mph,,,,,,,261264353,MD 144
49466845,49501473,0,False,primary,Frederick Avenue,18.926,2,,,30 mph,,,,,,,261264353,MD 144
49466847,49466851,0,False,residential,Wellesley Street,188.063,1,,,,,,,,,,6004114,
49466847,49466845,0,False,residential,Wellesley Street,115.359,1,,,,,,,,,,6004114,
49466847,49504654,0,True,residential,Stafford Street,155.611,2,,,,,,,,,,402053909,
49466851,49519128,0,False,residential,Wellesley Street,57.38,1,,,,,,,,,,6004114,
49466851,49466847,0,False,residential,Wellesley Street,188.063,1,,,,,,,,,,6004114,
49466851,49485464,0,False,residential,Strickland Street,152.182,,,,,,,,,,,6006473,
49469955,49466845,0,False,primary,Frederick Avenue,147.15,2,,,30 mph,,,,,,,261264353,MD 144
49469955,49501485,0,False,primary,Frederick Avenue,146.914,4,,,30 mph,,,,,,,544663002,MD 144
49485460,1406550740,0,True,residential,Parksley Avenue,69.965,2,,,,,,,,,,6008111,
49485460,49485464,0,False,residential,Strickland Street,71.759,,,,,,,,,,,6006473,
49485460,49420490,0,False,residential,"['Strickland Street', 'Sunset Drive']",137.31,,,,,,,,,,,"[6006473, 581501145]",
49485464,49466851,0,False,residential,Strickland Street,152.182,,,,,,,,,,,6006473,
49485464,49527964,0,False,residential,South Longwood Street,61.293,2,,,,,,,,,,581845442,
49485464,49485460,0,False,residential,Strickland Street,71.759,,,,,,,,,,,6006473,
49500242,49501472,0,False,primary,Frederick Avenue,79.805,2,,,30 mph,,,,,,,261264353,MD 144
49500242,49501468,0,False,primary,Frederick Avenue,129.7,2,,,30 mph,,,,,,,261264353,MD 144
49500244,49500242,0,True,residential,Parksley Avenue,109.727,2,,,,,,,,,,6008111,
49500244,49504649,0,True,residential,Stafford Street,117.49,,,,,,,,,,,6008878,
49501446,49501455,0,False,primary,Frederick Avenue,68.588,3,,,30 mph,,,,,,,70649057,MD 144
49501455,49501446,0,False,primary,Frederick Avenue,68.588,3,,,30 mph,,,,,,,70649057,MD 144
49501455,49501468,0,False,primary,Frederick Avenue,78.559,3,,,30 mph,,,,,,,544663012,MD 144
49501468,49500242,0,False,primary,Frederick Avenue,129.7,2,,,30 mph,,,,,,,261264353,MD 144
49501468,49504649,0,True,residential,Hurley Avenue,108.679,2,,,,,,,,,,6014331,
49501468,49501455,0,False,primary,Frederick Avenue,78.559,3,,,30 mph,,,,,,,544663012,MD 144
49501472,49504654,0,True,residential,South Longwood Street,113.454,2,,,,,,,,,,6011866,
49501472,49501473,0,False,primary,Frederick Avenue,137.009,2,,,30 mph,,,,,,,261264353,MD 144
49501472,49500242,0,False,primary,Frederick Avenue,79.805,2,,,30 mph,,,,,,,261264353,MD 144
49501473,49466845,0,False,primary,Frederick Avenue,18.926,2,,,30 mph,,,,,,,261264353,MD 144
49501473,49501472,0,False,primary,Frederick Avenue,137.009,2,,,30 mph,,,,,,,261264353,MD 144
49501485,49469955,0,False,primary,Frederick Avenue,146.914,4,,,30 mph,,,,,,,544663002,MD 144
49501485,49501489,0,False,primary,Frederick Avenue,43.987,4,,,30 mph,,,yes,,,,"[543801504, 98106784]",MD 144
49501489,49501485,0,False,primary,Frederick Avenue,43.987,4,,,30 mph,,,yes,,,,"[98106784, 543801504]",MD 144
49504649,49428666,0,True,residential,Hurley Avenue,70.284,2,,,,,,,,,,6014331,
49504654,49485464,0,True,residential,South Longwood Street,157.886,2,,,,,,,,,,6011866,
49504654,49500244,0,True,residential,Stafford Street,76.749,,,,,,,,,,,6008878,
49512662,49501455,0,True,residential,Font Hill Avenue,198.108,1,,,,,,,,,,6010045,
49512662,1406550722,0,False,residential,Hurley Avenue,46.944,2,,,,,,,,,,6014332,
49512662,49544438,0,False,residential,Hurley Avenue,66.845,2,,,,,,,,,,6014332,
49519128,49466851,0,False,residential,Wellesley Street,57.38,1,,,,,,,,,,6004114,
49527964,49485464,0,False,residential,South Longwood Street,61.293,2,,,,,,,,,,581845442,
49544438,49512662,0,False,residential,Hurley Avenue,66.845,2,,,,,,,,,,6014332,
1406550722,49420490,0,False,residential,Sunset Road,116.42,,,,,,,,,,,6012586,
1406550722,49428666,0,False,residential,Hurley Avenue,26.637,2,,,,,,,,,,6014332,
1406550722,49512662,0,False,residential,Hurley Avenue,46.944,2,,,,,,,,,,6014332,
1406550740,49500244,0,True,residential,Parksley Avenue,85.301,2,,,,,,,,,,6008111,
1406550740,49428666,0,False,residential,Kingsley Street,108.1,,,,,,,,,,,6009519,
5254973717,3655972584,0,True,primary,Wilkens Avenue,7.93,2,,,30 mph,,,,,,,543597794,US 1
