osmid,x,y,ref,highway
49391761,-76.5522599,39.3003708,,
49391766,-76.550239,39.2999105,,
49398972,-76.550746,39.3008871,,
49458886,-76.5601098,39.2952324,,
49458891,-76.5586059,39.295317,,
49475198,-76.5543643,39.2998067,,traffic_signals
49478540,-76.560032,39.2939919,,
49478542,-76.5600408,39.2942374,,
49478550,-76.5602759,39.2978359,,traffic_signals
49522598,-76.5598889,39.2917029,,traffic_signals
49544026,-76.560907,39.292393,,
49544028,-76.56087,39.2916673,,
49544571,-76.560721,39.292956,,
49544573,-76.560788,39.2939553,,
49568021,-76.561655,39.2939199,,
49568059,-76.5590241,39.2942419,,
2965421671,-76.5596901,39.2952853,,
2965421672,-76.5601321,39.2956006,,
4453500986,-76.5490515,39.2987345,,
4453501389,-76.5490167,39.2988808,,
4453501398,-76.5499586,39.3005018,,
4453501399,-76.5502316,39.3007918,,
