osmid,x,y,ref,highway
49442125,-76.5896964,39.2692121,,
49461591,-76.5905843,39.2716668,,
49461593,-76.5909013,39.2711201,,
49461596,-76.5916183,39.2698832,,
49461600,-76.5924083,39.2685205,,traffic_signals
49464112,-76.5935356,39.2720392,,
49464114,-76.5942507,39.2708013,,
49464156,-76.5957905,39.2681358,,
49468771,-76.5949,39.2710069,,
49479424,-76.5936132,39.2705794,,
49479427,-76.592975,39.2703569,,
49479430,-76.5922929,39.2701187,,
49479432,-76.5909174,39.2696384,,
49479436,-76.5902753,39.2694142,,
49479449,-76.5890541,39.2689678,,
49481225,-76.5895638,39.2706535,,
49481227,-76.5910608,39.2680461,,
49491531,-76.590197,39.2708744,,
49491539,-76.5917118,39.2682753,,
49524772,-76.5928933,39.2718174,,
49524774,-76.5943906,39.2692185,,
49535054,-76.5915733,39.2727548,,
49535058,-76.5909005,39.2725193,,
49537761,-76.5922532,39.2715918,,
49542294,-76.5912583,39.2719024,,
49546056,-76.5932564,39.2688192,,
49558911,-76.5930822,39.2687578,,
49571285,-76.5915756,39.2713554,,
753313402,-76.5885039,39.2687755,,
753313420,-76.5886446,39.2674989,,
836005565,-76.590562,39.2731028,,
898675871,-76.5937685,39.2689995,,traffic_signals
911352186,-76.593916,39.2676491,,
1253152498,-76.5919337,39.2721384,,
3076878890,-76.5940042,39.2687654,,
