u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
49464579,49464580,0,False,residential,Jefferson Street,77.641,2,,,25 mph,,,,,,,187354108,
49464580,49464582,0,False,residential,Jefferson Street,72.918,2,,,25 mph,,,,,,,187354108,
49464580,49464579,0,False,residential,Jefferson Street,77.641,2,,,25 mph,,,,,,,187354108,
49464580,49478384,0,True,residential,North Castle Street,124.066,2,,,25 mph,,,,,,,364599544,
49464582,49537891,0,False,residential,North Chester Street,112.04,2,,,25 mph,,,,,,,84601403,
49464582,49464580,0,False,residential,Jefferson Street,72.918,2,,,25 mph,,,,,,,187354108,
49464582,49535367,0,False,residential,North Chester Street,123.738,2,,,25 mph,,,,,,,"[84601403, 548218068]",
49464582,49464586,0,False,residential,Jefferson Street,102.196,2,,,25 mph,,,,,,,187354108,
49464586,49464582,0,False,residential,Jefferson Street,102.196,2,,,25 mph,,,,,,,187354108,
49464586,49535368,0,True,residential,North Collington Avenue,123.904,2,,,25 mph,,,,,,,357026441,
49475121,49475122,0,True,primary,East Monument Street,73.437,2,,,25 mph,,,,,,,188783420,
49475121,49478387,0,True,residential,North Castle Street,122.124,2,,,25 mph,,,,,,,364599544,
49475122,49475126,0,True,primary,East Monument Street,102.006,2,,,25 mph,,,,,,,188783420,
49475122,49496988,0,False,residential,North Chester Street,118.512,2,,,25 mph,,,,,,,274311223,
49475126,49537893,0,True,residential,North Collington Avenue,122.827,2,,,25 mph,,,,,,,357026441,
49478384,49535366,0,False,primary,Orleans Street,76.848,4,,,30 mph,,,,,,,548218066,US 40
49478384,49535367,0,False,primary,Orleans Street,73.858,4,,,30 mph,,,,,,,548218070,US 40
49478387,49537891,0,False,residential,McElderry Street,73.408,2,,,25 mph,,,,,,,193615075,
49478387,49464580,0,True,residential,North Castle Street,112.588,2,,,25 mph,,,,,,,364599544,
49478389,49475121,0,True,residential,North Castle Street,118.338,2,,,25 mph,,,,,,,364599544,
49478389,49496985,0,True,primary,East Madison Street,77.119,3,,,25 mph,,,,,,,72832596,
49478391,49559369,0,False,residential,Ashland Avenue,73.883,2,,,25 mph,,,,,,,188783414,
49478391,49550645,0,False,residential,Ashland Avenue,76.917,2,,,25 mph,,,,,,,188783414,
