osmid,x,y,ref,highway
49401052,-76.5379213,39.3695835,,traffic_signals
49457173,-76.5456698,39.3705434,,traffic_signals
49457176,-76.5457528,39.3704414,,
49457180,-76.5442786,39.3699022,,
49457186,-76.5420547,39.3690671,,
49457201,-76.539202,39.367381,,
49457375,-76.5534258,39.3671248,,
49457397,-76.549795,39.365813,,
49457402,-76.5499315,39.3656453,,
49457586,-76.5533727,39.3680388,,
49457588,-76.552987,39.3679154,,
49457589,-76.5509919,39.367307,,
49457591,-76.5489955,39.3667105,,
49468455,-76.5507411,39.3646967,,
49472222,-76.554751,39.369307,,
49472223,-76.5536756,39.3698328,,
49472240,-76.5520355,39.3705177,,
49472242,-76.5514506,39.3706641,,
49472243,-76.5509614,39.3707968,,
49472252,-76.550067,39.371211,,
49474750,-76.553862,39.366369,,
49474762,-76.5503485,39.3651618,,
49486717,-76.5396,39.3712693,,
49489884,-76.5542461,39.3654305,,
49489887,-76.5543787,39.3654735,,
49493003,-76.5506156,39.3680534,,
49493004,-76.5502527,39.3687907,,
49496182,-76.5530031,39.3687732,,
49496189,-76.548423,39.367386,,
49496268,-76.545154,39.371146,,
49496275,-76.5401005,39.3688245,,
49496282,-76.5449659,39.3713529,,
49496290,-76.5418251,39.3701903,,turning_circle
49498001,-76.542592,39.3674119,,
49498009,-76.542346,39.367907,,
49498011,-76.5422665,39.3682018,,
49507760,-76.540225,39.371857,,
49509203,-76.541604,39.3707534,,
49509208,-76.541258,39.3706857,,
49509210,-76.5405,39.3699289,,
49509214,-76.544573,39.371796,,
49520764,-76.552636,39.369511,,
49520771,-76.547824,39.36807,,traffic_signals
49522559,-76.546924,39.369109,,
49522566,-76.5452064,39.3683772,,
49522574,-76.546595,39.369484,,
49528497,-76.5411153,39.369543,,
49528501,-76.5391145,39.3707804,,
49529936,-76.5463214,39.3697904,,
49529947,-76.5447477,39.3691095,,
49529950,-76.541448,39.367433,,
49529954,-76.5461214,39.3700146,,
49541081,-76.5484951,39.367298,,
49541163,-76.5491786,39.3664989,,
49545649,-76.5384724,39.3701456,,
49545651,-76.538332,39.3699974,,
49545714,-76.539883,39.371531,,
49556093,-76.5513007,39.3640554,,
49558863,-76.547174,39.368822,,
3942754896,-76.5455176,39.3678825,,turning_circle
