u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
49378441,49413853,0,False,unclassified,Mount Hope Drive,299.145,2,,,,,,,,,,208247015,
49378441,860728283,0,True,secondary,Wabash Avenue,508.18,"['4', '3']",,,35 mph,,,,,,,"[208247028, 544663837, 544663838]",
49378468,49378441,0,True,secondary,Wabash Avenue,457.07,3,,,35 mph,,,,,,,"[223617363, 208247027, 208247029]",
49408731,5268245245,0,True,residential,Seton Drive,67.139,1,,,25 mph,,,,,,,545047148,
49408731,49409459,0,False,residential,Seton Drive,478.421,2,,,25 mph,,,,,,,545047151,
49409459,5268245231,0,True,unclassified,Metro Drive,69.739,3,,,25 mph,,,,,,,545047146,
49409459,49409460,0,False,residential,Seton Drive,17.557,2,,,25 mph,,,,,,,545047151,
49409459,49408731,0,False,residential,Seton Drive,478.421,2,,,25 mph,,,,,,,545047151,
49409460,49409459,0,False,residential,Seton Drive,17.557,2,,,25 mph,,,,,,,545047151,
49409460,49561035,0,True,unclassified,Metro Drive,153.066,2,,,25 mph,,,,,,,198873385,
49413853,49413876,0,False,unclassified,Parr Avenue,540.009,2,,,25 mph,,,,,,,"[198872560, 198872561, 5995964]",
49413853,1950874770,0,False,unclassified,Mount Hope Drive,274.258,,,,,,,,,,,184592394,
49413853,49378441,0,False,unclassified,Mount Hope Drive,299.145,2,,,,,,,,,,208247015,
49413876,49458360,0,False,secondary,Patterson Avenue,29.205,3,,,30 mph,,,,,,,208247019,
49413876,49413853,0,False,unclassified,Parr Avenue,540.009,2,,,25 mph,,,,,,,"[198872560, 198872561, 5995964]",
49458360,49413876,0,False,secondary,Patterson Avenue,29.205,3,,,30 mph,,,,,,,208247019,
49482217,1950874759,0,True,unclassified,Mount Hope Drive,36.537,,,,,,,,,,,198872554,
49482217,49510704,0,False,unclassified,"['Marian Drive', 'Mount Hope Drive']",810.973,,,,,,,,,,,"[6006043, 6009806]",
49505194,49409460,0,True,unclassified,Metro Drive,109.931,2,,,25 mph,,,,,,,198873385,
49505227,5268245245,0,True,primary,Northern Parkway,36.513,3,,,35 mph,,,,,,,198873393,
49505227,49408731,0,True,residential,Seton Drive,48.333,1,,,25 mph,,,,,,,545047147,
49510704,1539702373,0,False,unclassified,Marian Drive,58.794,,,,,,,,,,,198872765,
49510704,49482217,0,False,unclassified,"['Marian Drive', 'Mount Hope Drive']",810.973,,,,,,,,,,,"[6006043, 6009806]",
49510704,1950874778,0,False,unclassified,Metro Drive,301.887,,,,,,,,,,,6018556,
49561035,1950874754,0,False,unclassified,Metro Drive,81.793,,,,,,,,,,,184592395,
49561035,49409459,0,True,unclassified,Metro Drive,156.934,2,,,,,,,,,,198873384,
1539702373,49510704,0,False,unclassified,Marian Drive,58.794,,,,,,,,,,,198872765,
1950874734,49482217,0,True,unclassified,Mount Hope Drive,37.649,,,,,,,,,,,198872557,
1950874734,1950874759,0,True,unclassified,Seton Business Center Circle,15.053,,,,,,,,,,roundabout,198872565,
1950874739,1950874772,0,True,unclassified,Seton Business Center Circle,15.175,,,,,,,,,,roundabout,184592396,
1950874739,1950874770,0,True,unclassified,Mount Hope Drive,43.123,,,,,,,,,,,198872553,
1950874754,49561035,0,False,unclassified,Metro Drive,81.793,,,,,,,,,,,184592395,
1950874754,1950874739,0,True,unclassified,Metro Drive,45.504,,,,,,,,,,,198872552,
1950874759,1950874754,0,True,unclassified,Metro Drive,41.816,,,,,,,,,,,198872550,
1950874759,1950874739,0,True,unclassified,Seton Business Center Circle,15.989,,,,,,,,,,roundabout,198872562,
1950874770,49413853,0,False,unclassified,Mount Hope Drive,274.258,,,,,,,,,,,184592394,
1950874770,1950874772,0,True,unclassified,Mount Hope Drive,41.274,,,,,,,,,,,198872555,
1950874772,1950874778,0,True,unclassified,Metro Drive,45.76,,,,,,,,,,,198872551,
1950874772,1950874734,0,True,unclassified,Seton Business Center Circle,17.799,,,,,,,,,,roundabout,198872563,
1950874778,49510704,0,False,unclassified,Metro Drive,301.887,,,,,,,,,,,6018556,
1950874778,1950874734,0,True,unclassified,Metro Drive,49.5,,,,,,,,,,,198872549,
2089509361,49378468,0,True,secondary,Wabash Avenue,80.542,2,,,35 mph,,,,,,,198873406,
5268245231,5268245239,0,True,primary_link,,57.104,1,,,,,,,,,,545047142,
5268245239,49505227,0,True,primary,Northern Parkway,346.423,3,,,35 mph,,,,,,,198873393,
5268245245,668425316,0,True,primary,Northern Parkway,415.315,"['4', '3']",,,35 mph,,,,,,,"[198873393, 424993451]",
