u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
49456712,49491975,0,True,residential,Willard Street,111.884,2,,,,,,,,,,6007357,
49456712,49456715,0,False,residential,West Lombard Street,70.028,,,,,,,,,,,6002888,
49456715,49456716,0,False,residential,West Lombard Street,186.87,,,,,,,,,,,6002888,
49456715,49539749,0,False,residential,South Catherine Street,55.53,2,,,,,,,,,,6022525,
49456715,49528034,0,False,residential,South Catherine Street,54.039,2,,,,,,,,,,6022525,
49456715,49456712,0,False,residential,West Lombard Street,70.028,,,,,,,,,,,6002888,
49456716,49456715,0,False,residential,West Lombard Street,186.87,,,,,,,,,,,6002888,
49456716,49528472,0,True,residential,South Franklintown Road,55.213,2,,,,,,,,,,6012038,
49460916,49460918,0,False,tertiary,North Franklintown Road,18.554,2,,,,,,,,,,542170738,
49460916,49536836,0,False,residential,West Lexington Street,248.591,2,,,25 mph,,,,,,,73920724,
49460918,49460916,0,False,tertiary,North Franklintown Road,18.554,2,,,,,,,,,,542170738,
49460918,49478123,0,False,residential,West Fayette Street,62.245,,,,,,,,,,,6005505,
49460918,49460920,0,False,tertiary,North Franklintown Road,65.96,2,,,,,,,,,,542170738,
49460920,49525067,0,False,residential,West Fairmount Avenue,65.535,,,,,,,,,,,"[75609025, 6011402]",
49460920,49510644,0,False,tertiary,North Franklintown Road,83.009,2,,,,,,,,,,542170738,
49460920,49460918,0,False,tertiary,North Franklintown Road,65.96,2,,,,,,,,,,542170738,
49469039,49469041,0,False,tertiary,North Warwick Avenue,105.826,2,,,,,,,,,,126153106,
49469039,49510626,0,False,secondary,West Baltimore Street,3.116,2,,,30 mph,,,,,,,127009732,
49469039,49510623,0,False,secondary,West Baltimore Street,150.19,2,,,30 mph,,,,,,,127009732,
49469041,49469042,0,False,tertiary,North Warwick Avenue,49.367,2,,,,,,,,,,126153106,
49469041,49469039,0,False,tertiary,North Warwick Avenue,105.826,2,,,,,,,,,,126153106,
49469041,49536836,0,True,residential,North Calverton Road,220.586,2,,,,,,,,,,6013276,
49469042,49469041,0,False,tertiary,North Warwick Avenue,49.367,2,,,,,,,,,,126153106,
49469042,49469044,0,False,tertiary,North Warwick Avenue,121.814,2,,,,,,,,,,126153106,
49469044,49536836,0,False,residential,West Lexington Street,142.078,2,,,25 mph,,,,,,,73920724,
49469044,49469042,0,False,tertiary,North Warwick Avenue,121.814,2,,,,,,,,,,126153106,
49469741,269213683,0,False,residential,Kinsey Avenue,84.201,2,,,,,,,,,,6007068,
49469741,49469742,0,False,residential,Ashburton Street,37.483,,,,,,,,,,,6004557,
49469741,49489590,0,False,residential,Kinsey Avenue,145.598,2,,,,,,,,,,6007068,
49469742,49469741,0,False,residential,Ashburton Street,37.483,,,,,,,,,,,6004557,
49469742,49460920,0,True,residential,West Fairmount Avenue,174.523,,,,,,,,,,,539884864,
49474732,49474733,0,False,residential,West Pratt Street,165.602,,,,,,,,,,,6005198,
49474732,49539749,0,False,residential,South Catherine Street,60.516,2,,,,,,,,,,6022525,
49474732,49484538,0,False,residential,South Catherine Street,92.687,2,,,,,,,,,,6022525,
49474733,49474732,0,False,residential,West Pratt Street,165.602,,,,,,,,,,,6005198,
49474733,49484540,0,True,residential,South Franklintown Road,92.559,2,,,,,,,,,,6012038,
49474737,49557831,0,False,residential,Mc Phail Street,200.659,2,,,,,,,,,,6017583,
49478121,49478123,0,False,residential,West Fayette Street,202.98,,,,,,,,,,,6005505,
49478121,49573541,0,False,residential,North Catherine Street,30.358,2,,,,,,,,,,6021700,
49478121,49525062,0,False,residential,North Catherine Street,65.869,2,,,,,,,,,,6021700,
49478123,49478121,0,False,residential,West Fayette Street,202.98,,,,,,,,,,,6005505,
49478123,49460918,0,False,residential,West Fayette Street,62.245,,,,,,,,,,,6005505,
49478123,49525067,0,True,residential,Shipley Street,71.428,2,,,,,,,,,,6017451,
49483290,49560546,0,False,residential,South Warwick Avenue,66.032,2,,,,,,,,,,6023605,
49483290,49510626,0,False,residential,South Warwick Avenue,57.795,2,,,,,,,,,,6023605,
49483290,1400577054,0,False,residential,Booth Street,184.911,,,,,,,,,,,126310562,
49483291,49560547,0,False,residential,South Catherine Street,56.854,2,,,,,,,,,,6022525,
49483291,911385183,0,False,residential,South Catherine Street,54.74,2,,,,,,,,,,6022525,
49483291,49483296,0,False,residential,Booth Street,216.552,,,,,,,,,,,361351913,
49483296,49483291,0,False,residential,Booth Street,216.552,,,,,,,,,,,361351913,
