u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
49456063,49456064,0,False,residential,South Pine Street,72.507,1,,,,,,,,,,6002817,
49456063,1234772876,0,True,secondary,West Baltimore Street,140.678,2,,,30 mph,,,,,,,188783439,
49456064,49456063,0,False,residential,South Pine Street,72.507,1,,,,,,,,,,6002817,
49456064,49502055,0,False,residential,West Redwood Street,105.556,2,,,,,,,,,,338084067,
49456064,49523954,0,False,residential,West Redwood Street,63.493,2,,,,,,,building_passage,,,"[338084066, 338084067, 6011301]",
49456638,49474659,0,True,primary,South Greene Street,133.209,3,,,40 mph,,,,,,,98040495,MD 295
49456638,49456640,0,True,primary,West Lombard Street,202.044,3,,,30 mph,,,,,,,98040542,
49456640,49523954,0,False,residential,Penn Street,125.785,3,,,,,,,,,,6013800,
49456640,907705675,0,True,primary,West Lombard Street,146.688,4,,,30 mph,,,,,,,"[130576350, 425002438]",
49474660,49474659,0,True,primary,West Pratt Street,102.086,4,,,30 mph,,,,,,,202623988,
49475720,49478013,0,True,primary,North Paca Street,121.01,4,,,40 mph,,,,,,,"[541985214, 6018607]",MD 295
49475722,49475720,0,True,primary,South Paca Street,73.297,4,,,40 mph,,,,,,,277457905,MD 295
49475722,49523953,0,False,residential,West Redwood Street,121.153,2,,,,,,,,,,277457906,
49478013,49478018,0,True,secondary,West Fayette Street,119.066,"['4', '3']",,,30 mph,,,,,,,"[543589117, 195640806]",
49478018,49510583,0,True,primary,North Greene Street,121.134,4,,,40 mph,,,,,,,198167866,MD 295
49478018,49478026,0,True,secondary,West Fayette Street,70.945,"['4', '3']",,,30 mph,,,,,,,"[195640808, 543589118]",
49478026,49478028,0,True,secondary,West Fayette Street,54.329,4,,,30 mph,,,,,,,195640808,
49478028,49478030,0,True,secondary,West Fayette Street,145.252,4,,,30 mph,,,,,,,195640808,
49502054,49456063,0,True,secondary,West Baltimore Street,84.153,2,,,30 mph,,,,,,,188783439,
49502055,49456064,0,False,residential,West Redwood Street,105.556,2,,,,,,,,,,338084067,
49502055,49502054,0,True,trunk,South Martin Luther King Jr. Boulevard,76.957,5,,,35 mph,,,,,,,425002426,
49510583,49523953,0,True,primary,South Greene Street,73.799,4,,,40 mph,,,,,,,6023507,MD 295
49510583,49475720,0,True,secondary,West Baltimore Street,120.995,3,,,30 mph,,,,,,,188783437,
49523953,49456638,0,True,primary,South Greene Street,124.675,4,,,40 mph,,,,,,,"[6023507, 425002422]",MD 295
49523953,49475722,0,False,residential,West Redwood Street,121.153,2,,,,,,,,,,277457906,
49523954,1234772720,0,False,residential,West Redwood Street,76.37,,,,,,,,,,,6011301,
49523954,49456640,0,False,residential,Penn Street,125.785,3,,,,,,,,,,6013800,
49523954,49456064,0,False,residential,West Redwood Street,63.493,2,,,,,,,building_passage,,,"[338084066, 338084067, 6011301]",
1234772720,49523954,0,False,residential,West Redwood Street,76.37,,,,,,,,,,,6011301,
1234772720,1234772896,0,False,residential,West Redwood Street,24.79,,,,,,,,,,,6011301,
1234772720,1234772876,0,False,residential,South Arch Street,72.255,2,,,,,,,,,,107438745,
1234772876,1234772720,0,False,residential,South Arch Street,72.255,2,,,,,,,,,,107438745,
1234772876,49478028,0,True,residential,North Arch Street,120.935,2,,,,,,,,,,107438759,
1234772876,49510583,0,True,secondary,West Baltimore Street,126.296,3,,,30 mph,,,,,,,"[192254091, 192254092]",
1234772896,1234772720,0,False,residential,West Redwood Street,24.79,,,,,,,,,,,6011301,
